company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,fedfundspurchased,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,noncontrollinginterests,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2009.0,FY,,2009-03-31,2010-05-28 15:19:14+00:00,-2784000.0,1084474000.0,,3434690000.0,293084000.0,20631000.0,1186747000.0,3922801000.0,2732002000.0,367043000.0,,2000370000.0,35094000.0,589459000.0,1002374000.0,,41688000.0,1131625000.0,258188000.0,9232299000.0,4598625000.0,4598625000.0,4598625000.0,4602654000.0,9232299000.0,0.0,336092000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2010.0,FY,,2010-03-31,2011-05-27 15:21:05+00:00,58227000.0,1508275000.0,,4433421000.0,349245000.0,,1315296000.0,3902222000.0,1165180000.0,361819000.0,,811530000.0,33095000.0,531875000.0,799122000.0,,2185000.0,1316981000.0,255154000.0,8622632000.0,5841724000.0,5841724000.0,5841724000.0,2751331000.0,8622632000.0,,372060000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2010.0,Q3,,2009-12-31,2010-02-05 16:06:00+00:00,63868000.0,1427529000.0,,4429310000.0,,0.0,1318662000.0,3908166000.0,1156546000.0,374698000.0,,1655455000.0,33291000.0,523322000.0,799959000.0,,5773000.0,1258943000.0,808087000.0,9100760000.0,5785412000.0,5785412000.0,5785412000.0,3287914000.0,9100760000.0,0.0,410477000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2010.0,Q2,,2009-09-30,2009-11-06 11:18:07+00:00,61022000.0,1548107000.0,,4416916000.0,,0.0,1301012000.0,3913704000.0,1698821000.0,384111000.0,,1640465000.0,33384000.0,665124000.0,805640000.0,,22656000.0,1218845000.0,258990000.0,9196652000.0,5730167000.0,5730167000.0,5730167000.0,3428575000.0,9196652000.0,0.0,386597000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2010.0,Q1,,2009-06-30,2009-08-05 15:30:00+00:00,38527000.0,1539295000.0,,3451274000.0,,5500000.0,1207579000.0,3918993000.0,2738524000.0,380408000.0,,1607690000.0,33238000.0,574848000.0,730816000.0,,34720000.0,1177376000.0,257964000.0,9044693000.0,4700415000.0,4700415000.0,4700415000.0,4307652000.0,9044693000.0,0.0,356008000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2011.0,Q3,,2010-12-31,2011-02-08 16:43:20+00:00,85964000.0,1305682000.0,,4149125000.0,,,1314289000.0,3882305000.0,1458187000.0,294587000.0,,1337268000.0,34396000.0,441941000.0,621701000.0,,7639000.0,1492771000.0,252314000.0,8568693000.0,5762256000.0,5762256000.0,5762256000.0,2774143000.0,8568693000.0,0.0,426923000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2011.0,Q2,,2010-09-30,2010-11-09 13:21:34+00:00,78281000.0,1314092000.0,,4132173000.0,,,1315228000.0,3891171000.0,1434134000.0,333677000.0,,1254550000.0,34147000.0,477880000.0,633529000.0,,6593000.0,1449526000.0,252850000.0,8523550000.0,5694127000.0,5694127000.0,5694127000.0,2798393000.0,8523550000.0,0.0,408239000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2011.0,Q1,,2010-06-30,2010-08-09 14:59:36+00:00,48673000.0,1165916000.0,,4132748000.0,,,1305980000.0,3896226000.0,1424804000.0,344810000.0,,1245311000.0,34125000.0,478367000.0,549123000.0,,4936000.0,1379955000.0,253852000.0,8331610000.0,5595501000.0,5595501000.0,5595501000.0,2706146000.0,8331610000.0,0.0,368431000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2012.0,Q1,,2011-06-30,2011-08-08 17:19:17+00:00,106792000.0,1237356000.0,0.0,4008227000.0,,,1313099000.0,3871278000.0,1385322000.0,277857000.0,,1399098000.0,34850000.0,497872000.0,664361000.0,47991000.0,7637000.0,1596529000.0,250996000.0,8592940000.0,5746398000.0,5746398000.0,5746398000.0,2798551000.0,8592940000.0,,486615000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2013.0,FY,,2013-03-31,2014-05-23 16:38:18+00:00,,,,,,,,,,,,,,,,,,,50438000.0,,,,,50438000.0,50438000.0,,
