company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commonequity,deferredacquisitioncost,futurepolicybenefits,interestbearingdeposits,longtermdebt,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,participatingpolicyholderequity,restrictedcash,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,tradingaccountsecurities,treasurystock
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2008.0,FY,,2008-12-31,2010-02-23 18:47:59+00:00,-1093000000.0,,4691000000.0,4383000000.0,29293000000.0,,2027000000.0,289000000.0,8229000000.0,17043000000.0,,4815000000.0,,,1883000000.0,4592000000.0,44746000000.0,44746000000.0,,95577000000.0,6178000000.0,6178000000.0,6467000000.0,89110000000.0,95577000000.0,27522000000.0,-2012000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,FY,,2009-12-31,2011-02-28 16:15:58+00:00,265000000.0,3278000000.0,5751000000.0,4334000000.0,30886000000.0,,2249000000.0,603000000.0,8554000000.0,9603000000.0,,3134000000.0,946000000.0,,,5276000000.0,59581000000.0,58129000000.0,,113770000000.0,9269000000.0,9269000000.0,9872000000.0,103898000000.0,113770000000.0,36974000000.0,-2023000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,Q3,,2009-09-30,2009-11-02 17:52:01+00:00,277000000.0,3580000000.0,5702000000.0,4323000000.0,31042000000.0,,,345000000.0,9028000000.0,9053000000.0,,6161000000.0,,,1822000000.0,5091000000.0,55576000000.0,55576000000.0,,111201000000.0,9049000000.0,9049000000.0,9394000000.0,101807000000.0,111201000000.0,36847000000.0,-2021000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,Q2,,2009-06-30,2009-08-04 17:40:52+00:00,-388000000.0,,5644000000.0,4361000000.0,30916000000.0,,2435000000.0,264000000.0,9216000000.0,13669000000.0,,3612000000.0,,,1730000000.0,4875000000.0,48661000000.0,48661000000.0,,103214000000.0,8110000000.0,8110000000.0,8374000000.0,94840000000.0,103214000000.0,34793000000.0,-2021000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2010.0,FY,,2010-12-31,2012-02-24 16:30:54+00:00,565000000.0,3310000000.0,6032000000.0,4619000000.0,30208000000.0,79000000.0,7852000000.0,560000000.0,8779000000.0,10769000000.0,,3150000000.0,1134000000.0,,,6748000000.0,70144000000.0,68330000000.0,397000000.0,131214000000.0,10725000000.0,10725000000.0,11285000000.0,119929000000.0,131214000000.0,42372000000.0,-2620000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2010.0,Q3,,2010-09-30,2010-11-05 10:46:07+00:00,897000000.0,0.0,5920000000.0,0.0,0.0,,,554000000.0,0.0,0.0,,117540000000.0,0.0,,0.0,6545000000.0,0.0,,0.0,,10950000000.0,10950000000.0,11504000000.0,117540000000.0,129044000000.0,,-2412000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2010.0,Q2,,2010-06-30,2010-08-04 16:19:30+00:00,607000000.0,0.0,5872000000.0,0.0,0.0,,,621000000.0,,0.0,620000000.0,109991000000.0,0.0,,0.0,5658000000.0,0.0,,0.0,,10498000000.0,10498000000.0,11119000000.0,109991000000.0,121110000000.0,,-2259000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2012.0,FY,,2012-12-31,2013-07-31 16:15:34+00:00,1194000000.0,2950000000.0,6506000000.0,2399000000.0,31217000000.0,0.0,7384000000.0,620000000.0,6526000000.0,13198000000.0,,5668000000.0,1324000000.0,,,6717000000.0,74935000000.0,72397000000.0,501000000.0,134729000000.0,9092000000.0,9092000000.0,9712000000.0,125017000000.0,134729000000.0,41247000000.0,-5325000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2013.0,FY,,2013-12-31,2014-11-03 15:43:28+00:00,595000000.0,3051000000.0,6932000000.0,2663000000.0,,,16912000000.0,1040000000.0,7062000000.0,136502000000.0,,-94146000000.0,1429000000.0,29620000000.0,,7626000000.0,2360000000.0,174467000000.0,,144576000000.0,8192000000.0,8192000000.0,9232000000.0,135344000000.0,144576000000.0,,-6961000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2013.0,Q3,,2013-09-30,2013-11-04 19:06:52+00:00,605000000.0,3465000000.0,6843000000.0,2610000000.0,29943000000.0,,8189000000.0,844000000.0,6744000000.0,14046000000.0,,6458000000.0,1417000000.0,,,7442000000.0,80047000000.0,77788000000.0,500000000.0,140208000000.0,8325000000.0,8325000000.0,9169000000.0,131039000000.0,140208000000.0,40040000000.0,-6565000000.0
