company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2008.0,Q4,2008-10-01,2008-12-31,,455000000.0,-350000000.0,-181000000.0,53000000.0,,-30000000.0,106000000.0,,8000000.0,1110000000.0,-767000000.0,1872000000.0,,,,1110000000.0,-767000000.0,1872000000.0,2185000000.0,457000000.0,-397000000.0,-397000000.0,1242000000.0,715000000.0,-105000000.0,,-38000000.0,413000000.0,-1915000000.0,-30000000.0,-2000000.0,1253000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 16:15:58+00:00,1054000000.0,-185000000.0,-120000000.0,267000000.0,,-54000000.0,-383000000.0,,81000000.0,525000000.0,-140000000.0,2061000000.0,,,,525000000.0,-140000000.0,2061000000.0,2392000000.0,1150000000.0,-90000000.0,-90000000.0,420000000.0,111000000.0,-128000000.0,,-143000000.0,793000000.0,-4753000000.0,-36000000.0,-638000000.0,4741000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-02 17:52:01+00:00,599000000.0,165000000.0,61000000.0,214000000.0,,-24000000.0,-489000000.0,0.0,73000000.0,-585000000.0,627000000.0,189000000.0,,,,-585000000.0,627000000.0,189000000.0,207000000.0,693000000.0,307000000.0,307000000.0,-822000000.0,-604000000.0,-23000000.0,,-105000000.0,380000000.0,-2838000000.0,-6000000.0,-636000000.0,3488000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2008.0,Q3,2008-07-01,2008-09-30,,265000000.0,38000000.0,,72000000.0,,-24000000.0,-433000000.0,,73000000.0,442000000.0,265000000.0,-13000000.0,,,,442000000.0,265000000.0,-13000000.0,670000000.0,399000000.0,-84000000.0,-84000000.0,-149000000.0,109000000.0,-96000000.0,,-37000000.0,316000000.0,-772000000.0,-6000000.0,-96000000.0,1133000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-04 17:40:52+00:00,334000000.0,127000000.0,61000000.0,142000000.0,,0.0,-56000000.0,0.0,0.0,-1027000000.0,362000000.0,202000000.0,,,,-1027000000.0,362000000.0,202000000.0,-463000000.0,294000000.0,391000000.0,391000000.0,-673000000.0,-713000000.0,73000000.0,,-68000000.0,64000000.0,-2066000000.0,0.0,-540000000.0,2355000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,Q4,2009-10-01,2009-12-31,,,-111000000.0,-335000000.0,19000000.0,,-1000000.0,-40000000.0,,172000000.0,106000000.0,-192000000.0,-396000000.0,,,,106000000.0,-192000000.0,-396000000.0,-483000000.0,-362000000.0,274000000.0,274000000.0,-674000000.0,344000000.0,-54000000.0,,-46000000.0,25000000.0,-3667000000.0,,-2000000.0,3529000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:30:54+00:00,,-98000000.0,-251000000.0,120000000.0,,15000000.0,-6000000.0,869000000.0,725000000.0,4545000000.0,-6373000000.0,-1318000000.0,,,,4545000000.0,-6373000000.0,-1318000000.0,-3131000000.0,421000000.0,737000000.0,737000000.0,-2301000000.0,3255000000.0,,,-164000000.0,132000000.0,-18234000000.0,-550000000.0,-11000000.0,11861000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,Q3TTM,2008-10-01,2009-09-30,,455000000.0,-337000000.0,-97000000.0,154000000.0,,-14000000.0,140000000.0,869000000.0,561000000.0,5549000000.0,-6948000000.0,950000000.0,,,,5549000000.0,-6948000000.0,950000000.0,-463000000.0,1240000000.0,66000000.0,66000000.0,-385000000.0,3626000000.0,-51000000.0,,-156000000.0,520000000.0,-16482000000.0,-580000000.0,-11000000.0,9585000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,Q3,2009-07-01,2009-09-30,,,10000000.0,26000000.0,20000000.0,,-6000000.0,-448000000.0,,425000000.0,-607000000.0,-900000000.0,624000000.0,,,,-607000000.0,-900000000.0,624000000.0,-889000000.0,-3892000000.0,463000000.0,463000000.0,564000000.0,3111000000.0,-8000000.0,,-192000000.0,25000000.0,-4334000000.0,-59000000.0,,3442000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,Q2TTM,2008-07-01,2009-06-30,,720000000.0,-309000000.0,-123000000.0,206000000.0,,-32000000.0,155000000.0,869000000.0,209000000.0,6598000000.0,-5783000000.0,313000000.0,,,,6598000000.0,-5783000000.0,313000000.0,1096000000.0,5531000000.0,-481000000.0,-481000000.0,-1098000000.0,624000000.0,-139000000.0,,-1000000.0,811000000.0,-12920000000.0,-527000000.0,-107000000.0,7276000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,Q2,2009-04-01,2009-06-30,,-335000000.0,4000000.0,55000000.0,25000000.0,,24000000.0,253000000.0,869000000.0,119000000.0,2835000000.0,-3212000000.0,-974000000.0,,,,2835000000.0,-3212000000.0,-974000000.0,-1327000000.0,4290000000.0,-116000000.0,-116000000.0,-844000000.0,-2176000000.0,104000000.0,,111000000.0,43000000.0,-5647000000.0,-378000000.0,,2331000000.0
Ameriprise Financial Inc,AMP,6ZLKQF7QB6JAEKQS5388,820027,2009.0,Q1,2009-01-01,2009-03-31,2010-05-04 17:21:42+00:00,335000000.0,-1000000.0,3000000.0,56000000.0,0.0,-2000000.0,229000000.0,0.0,9000000.0,2211000000.0,-2069000000.0,-572000000.0,,,,2211000000.0,-2069000000.0,-572000000.0,-432000000.0,385000000.0,116000000.0,116000000.0,-1347000000.0,1976000000.0,-42000000.0,,-37000000.0,39000000.0,-4586000000.0,-113000000.0,-9000000.0,2559000000.0
