company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2008.0,FY,2007-12-01,2008-11-30,2011-01-28 20:13:12+00:00,28500000.0,0.66,0.66,,4970000.0,0.66,41375000.0,,68268000.0,68268000.0,,68268000.0,123390000.0,430961000.0,-7357000.0,,,138311000.0,123390000.0,307571000.0,26932000.0,8142000.0,171781000.0,135790000.0,-26147000.0,109643000.0,430961000.0,103400000.0,100037000.0,100281000.0
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2009.0,FY,2008-12-01,2009-11-30,2012-02-29 06:18:47+00:00,25554000.0,0.8,0.8,,11957000.0,0.8,49920000.0,,81801000.0,81801000.0,,81801000.0,118665000.0,442948000.0,-641000.0,,,135780000.0,118665000.0,324283000.0,19683000.0,1053000.0,173291000.0,150992000.0,-19271000.0,131721000.0,442948000.0,102300000.0,100607000.0,100860000.0
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2009.0,Q3,2009-06-01,2009-08-31,2010-10-01 17:25:41+00:00,6429000.0,0.2,0.2,,2869000.0,0.2,12787000.0,,20924000.0,20924000.0,,20924000.0,28247000.0,108868000.0,168000.0,,,33525000.0,28247000.0,80621000.0,4628000.0,373000.0,42823000.0,37798000.0,-4087000.0,33711000.0,108868000.0,104600000.0,100402000.0,100833000.0
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2010.0,Q4,2010-09-01,2010-11-30,,16694000.0,0.24,0.24,,5530000.0,0.25,20813000.0,,30266000.0,30266000.0,,30266000.0,69131000.0,213318000.0,-2274000.0,,1943000.0,49300000.0,69131000.0,144187000.0,17495000.0,128000.0,73467000.0,70720000.0,-19641000.0,51079000.0,213318000.0,112400000.0,112074000.0,113357000.0
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2010.0,FY,2009-12-01,2010-11-30,2013-03-01 17:19:08+00:00,41599000.0,0.82,0.82,,17413000.0,0.81,61321000.0,,92170000.0,92170000.0,,92170000.0,198626000.0,662901000.0,-2288000.0,,8896000.0,190244000.0,198626000.0,464275000.0,51337000.0,993000.0,258152000.0,206123000.0,-52632000.0,153491000.0,662901000.0,112400000.0,112074000.0,113357000.0
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2010.0,Q3YTD,2009-12-01,2010-08-31,,24905000.0,0.58,0.58,,11883000.0,0.56,40508000.0,,61904000.0,61904000.0,,61904000.0,129495000.0,449583000.0,-14000.0,,6953000.0,140944000.0,129495000.0,320088000.0,33842000.0,865000.0,184685000.0,135403000.0,-32991000.0,102412000.0,449583000.0,114700000.0,118339000.0,120341000.0
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2010.0,Q3,2010-06-01,2010-08-31,2011-11-04 17:19:45+00:00,16350000.0,0.09,0.09,,4934000.0,0.08,10305000.0,,10319000.0,10319000.0,,10319000.0,69741000.0,202733000.0,-524000.0,,6953000.0,63306000.0,69741000.0,132992000.0,20415000.0,114000.0,91543000.0,41449000.0,-20825000.0,20624000.0,202733000.0,114700000.0,118339000.0,120341000.0
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2010.0,Q2YTD,2009-12-01,2010-05-31,,8555000.0,0.49,0.49,,6949000.0,0.48,30203000.0,,51585000.0,51585000.0,,51585000.0,59754000.0,246850000.0,510000.0,,,77638000.0,59754000.0,187096000.0,13427000.0,751000.0,93142000.0,93954000.0,-12166000.0,81788000.0,246850000.0,104600000.0,105345000.0,106003000.0
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2010.0,Q2,2010-03-01,2010-05-31,2011-08-05 13:06:40+00:00,4277000.0,0.23,0.23,,3556000.0,0.22,13884000.0,,24067000.0,24067000.0,,24067000.0,30463000.0,125170000.0,-98000.0,,,40177000.0,30463000.0,94707000.0,8991000.0,343000.0,48010000.0,46697000.0,-8746000.0,37951000.0,125170000.0,104600000.0,105345000.0,106003000.0
MSCI Inc,MSCI,549300HTIN2PD78UB763,1408198,2010.0,Q1,2009-12-01,2010-02-28,2011-05-06 17:05:41+00:00,4278000.0,0.26,0.26,,3393000.0,0.26,16319000.0,,27518000.0,27518000.0,,27518000.0,29291000.0,121680000.0,608000.0,,,37461000.0,29291000.0,92389000.0,4436000.0,408000.0,45132000.0,47257000.0,-3420000.0,43837000.0,121680000.0,105800000.0,105235000.0,105844000.0
