company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,currentandfuturebenefits,dilutedeps,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincometocommon,netinterestincome,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstoconsolidatednetincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,policyacquisitioncosts,premiumsearned,propertyliabilityinsuranceclaims,restructuringcharge,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Chubb Ltd,CB,,896159,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:15:15+00:00,3092000000.0,7.13,7.13,,,7.01,1130000000.0,,2807000000.0,2807000000.0,2807000000.0,,374000000.0,,,1738000000.0,335000000.0,49000000.0,444000000.0,11946000000.0,6299000000.0,,,10170000000.0,14107000000.0,3937000000.0,14107000000.0,393700000.0,393700000.0,400400000.0
Chubb Ltd,CB,,896159,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 17:41:30+00:00,3123000000.0,5.0,5.0,,,4.92,603000000.0,,1804000000.0,1804000000.0,1804000000.0,,-371000000.0,,,1732000000.0,352000000.0,32000000.0,441000000.0,11828000000.0,6898000000.0,,,10814000000.0,13221000000.0,2407000000.0,13221000000.0,360800000.0,360800000.0,366700000.0
Chubb Ltd,CB,,896159,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 18:00:39+00:00,581000000.0,0.16,0.16,,91000000.0,0.16,-7000000.0,68000000.0,54000000.0,54000000.0,54000000.0,-68000000.0,10000000.0,-6000000.0,,,457000000.0,,,3609000000.0,2369000000.0,,68000000.0,3498000000.0,3619000000.0,47000000.0,3551000000.0,337500000.0,337500000.0,337500000.0
Chubb Ltd,CB,,896159,2008.0,Q2,2008-04-01,2008-06-30,2009-08-10 12:29:47+00:00,781000000.0,1.29,1.29,0.33,,1.27,160000000.0,,469000000.0,469000000.0,469000000.0,,-76000000.0,,,438000000.0,85000000.0,6000000.0,110000000.0,2986000000.0,1749000000.0,,,2725000000.0,3354000000.0,629000000.0,3354000000.0,363600000.0,363600000.0,369300000.0
Chubb Ltd,CB,,896159,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:27:57+00:00,3021000000.0,6.24,6.24,,,6.18,779000000.0,,2183000000.0,2183000000.0,2183000000.0,,23000000.0,,,1649000000.0,349000000.0,13000000.0,416000000.0,11331000000.0,6268000000.0,,,10054000000.0,13016000000.0,2962000000.0,13016000000.0,349800000.0,349800000.0,353200000.0
Chubb Ltd,CB,,896159,2009.0,Q4,2009-10-01,2009-12-31,,969000000.0,2.27,2.27,0.39,-79000000.0,2.23,394000000.0,-60000000.0,797000000.0,797000000.0,797000000.0,60000000.0,-26000000.0,51000000.0,,839000000.0,-273000000.0,7000000.0,211000000.0,2284000000.0,1196000000.0,,-60000000.0,2024000000.0,3104000000.0,1191000000.0,3164000000.0,350100000.0,350100000.0,350100000.0
Chubb Ltd,CB,,896159,2009.0,Q3YTD,2009-01-01,2009-09-30,,2052000000.0,3.97,3.97,1.01,79000000.0,3.95,385000000.0,60000000.0,1386000000.0,1386000000.0,1386000000.0,-60000000.0,49000000.0,-51000000.0,,810000000.0,622000000.0,6000000.0,205000000.0,9047000000.0,5072000000.0,,60000000.0,8030000000.0,9912000000.0,1771000000.0,9852000000.0,337190828.0,337190828.0,337190828.0
Chubb Ltd,CB,,896159,2009.0,Q3,2009-07-01,2009-09-30,2010-11-08 13:56:09+00:00,567000000.0,1.46,1.46,,79000000.0,1.46,94000000.0,60000000.0,494000000.0,494000000.0,494000000.0,-60000000.0,288000000.0,-51000000.0,,,451000000.0,,,3393000000.0,1885000000.0,,60000000.0,2982000000.0,3681000000.0,588000000.0,3621000000.0,338400000.0,338400000.0,338400000.0
Chubb Ltd,CB,,896159,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 15:04:51+00:00,757000000.0,1.55,1.55,0.35,,1.54,202000000.0,,551000000.0,551000000.0,551000000.0,,27000000.0,,,408000000.0,82000000.0,3000000.0,102000000.0,2828000000.0,1572000000.0,,,2513000000.0,3266000000.0,753000000.0,3266000000.0,355500000.0,355500000.0,357800000.0
Chubb Ltd,CB,,896159,2009.0,Q2YTD,2009-01-01,2009-06-30,,1485000000.0,2.51,2.51,0.7,,2.49,291000000.0,,892000000.0,892000000.0,892000000.0,,-239000000.0,,,810000000.0,171000000.0,6000000.0,205000000.0,5654000000.0,3187000000.0,,,5048000000.0,6231000000.0,1183000000.0,6231000000.0,354800000.0,354800000.0,354800000.0
Chubb Ltd,CB,,896159,2009.0,Q1,2009-01-01,2009-03-31,2010-05-07 14:31:13+00:00,728000000.0,0.96,0.96,0.35,,0.95,89000000.0,,341000000.0,341000000.0,341000000.0,,-266000000.0,,,402000000.0,89000000.0,3000000.0,103000000.0,2826000000.0,1615000000.0,,,2535000000.0,2965000000.0,430000000.0,2965000000.0,355200000.0,355200000.0,358900000.0
