company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netrealizedcapitalgains,nonoperatingincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:42:16+00:00,1.13,1.13,,1.11,,365100000.0,857300000.0,857300000.0,857300000.0,,-99600000.0,771300000.0,3578200000.0,4128900000.0,3578200000.0,4900200000.0,1222400000.0,4900200000.0,758700000.0,760200000.0,772900000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q4,2008-10-01,2008-12-31,,0.34,0.34,,0.33,,65600000.0,239600000.0,239600000.0,239600000.0,,-29100000.0,215300000.0,957300000.0,1076300000.0,957300000.0,1291600000.0,305200000.0,1291600000.0,729400000.0,730100000.0,738200000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:52:01+00:00,1.26,1.26,,1.24,,319700000.0,919000000.0,919000000.0,919000000.0,,-116300000.0,896300000.0,3927000000.0,4385700000.0,3927000000.0,5282000000.0,1238700000.0,5282000000.0,729400000.0,730100000.0,738200000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q3YTD,2008-01-01,2008-09-30,,0.92,0.92,,0.91,,254100000.0,679400000.0,679400000.0,679400000.0,,-87200000.0,681000000.0,2969700000.0,3309400000.0,2969700000.0,3990400000.0,933500000.0,3990400000.0,729700000.0,724900000.0,737200000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 16:52:05+00:00,0.33,0.33,,0.33,,92200000.0,240800000.0,240800000.0,240800000.0,,-42200000.0,238700000.0,1002200000.0,1138700000.0,1002200000.0,1377400000.0,333000000.0,1377400000.0,729700000.0,724900000.0,737200000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q2YTD,2008-01-01,2008-06-30,,0.59,0.59,,0.58,,161900000.0,438600000.0,438600000.0,438600000.0,,-45000000.0,442300000.0,1967500000.0,2170700000.0,1967500000.0,2613000000.0,600500000.0,2613000000.0,746800000.0,736500000.0,747500000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q2,2008-04-01,2008-06-30,2009-08-04 16:41:45+00:00,0.31,0.31,,0.31,,76500000.0,231500000.0,231500000.0,231500000.0,,-28200000.0,232300000.0,1010900000.0,1114800000.0,1010900000.0,1347100000.0,308000000.0,1347100000.0,746800000.0,736500000.0,747500000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q1,2008-01-01,2008-03-31,2009-05-01 18:50:18+00:00,0.28,0.28,,0.27,,85400000.0,207100000.0,207100000.0,207100000.0,,-16800000.0,210000000.0,956600000.0,1055900000.0,956600000.0,1265900000.0,292500000.0,1265900000.0,739600000.0,746700000.0,756800000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2009.0,Q4,2009-10-01,2009-12-31,,0.32,0.32,,0.32,,60400000.0,223700000.0,223700000.0,223700000.0,,-34500000.0,250400000.0,995400000.0,1063600000.0,995400000.0,1314000000.0,284100000.0,1314000000.0,701500000.0,698900000.0,701000000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:38:32+00:00,1.21,1.21,,1.21,,282700000.0,848800000.0,848800000.0,848800000.0,,-151200000.0,910300000.0,3800900000.0,4173300000.0,3800900000.0,5083600000.0,1131500000.0,5083600000.0,701500000.0,698900000.0,701000000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.89,0.89,,0.89,,222300000.0,625100000.0,625100000.0,625100000.0,,-116700000.0,659900000.0,2805500000.0,3109700000.0,2805500000.0,3769600000.0,847400000.0,3769600000.0,696200000.0,698400000.0,701600000.0
