company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:42:16+00:00,74800000.0,340900000.0,185800000.0,49100000.0,,53300000.0,13600000.0,-530100000.0,-202000000.0,1103500000.0,-530100000.0,-202000000.0,1103500000.0,371400000.0,857300000.0,857300000.0,69000000.0,216100000.0,-30000000.0,-122800000.0,-111200000.0,-3000000.0,-726800000.0,32000000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q4,2008-10-01,2008-12-31,,21900000.0,72100000.0,79100000.0,15200000.0,,16200000.0,500000000.0,-132300000.0,-30300000.0,328600000.0,-132300000.0,-30300000.0,328600000.0,166000000.0,239600000.0,239600000.0,35700000.0,4300000.0,-28400000.0,-38600000.0,-14700000.0,-499100000.0,-109100000.0,23000000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:52:01+00:00,82300000.0,230300000.0,171600000.0,61700000.0,,105800000.0,500000000.0,-1297700000.0,-453700000.0,1253900000.0,-1297700000.0,-453700000.0,1253900000.0,-497500000.0,919000000.0,919000000.0,85100000.0,300500000.0,-28400000.0,-424700000.0,-70900000.0,-755300000.0,-1314500000.0,41900000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q3,2008-07-01,2008-09-30,,60400000.0,40600000.0,4600000.0,-22800000.0,,62700000.0,-30800000.0,-754400000.0,-355600000.0,365000000.0,-754400000.0,-355600000.0,365000000.0,-745000000.0,240800000.0,240800000.0,23900000.0,82000000.0,,-344400000.0,-16400000.0,-256200000.0,-549400000.0,5200000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-30 16:52:05+00:00,60400000.0,158200000.0,92500000.0,46500000.0,,89600000.0,0.0,-1165400000.0,-423400000.0,925300000.0,-1165400000.0,-423400000.0,925300000.0,-663500000.0,679400000.0,679400000.0,49400000.0,296200000.0,,-386100000.0,-56200000.0,-256200000.0,-1205400000.0,18900000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q2,2008-04-01,2008-06-30,,,93000000.0,77600000.0,36500000.0,,-39300000.0,-19000000.0,-213600000.0,-49500000.0,242300000.0,-213600000.0,-49500000.0,242300000.0,-20800000.0,231500000.0,231500000.0,13600000.0,152700000.0,,-34300000.0,-23400000.0,11300000.0,-358600000.0,8200000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-04 16:41:45+00:00,,117600000.0,87900000.0,69300000.0,,26900000.0,30800000.0,-411000000.0,-67800000.0,560300000.0,-411000000.0,-67800000.0,560300000.0,81500000.0,438600000.0,438600000.0,25500000.0,214200000.0,,-41700000.0,-39800000.0,0.0,-656000000.0,13700000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2008.0,Q1,2008-01-01,2008-03-31,2009-05-01 18:50:18+00:00,,24600000.0,10300000.0,32800000.0,,66200000.0,49800000.0,-197400000.0,-18300000.0,318000000.0,-197400000.0,-18300000.0,318000000.0,102300000.0,207100000.0,207100000.0,11900000.0,61500000.0,,-7400000.0,-16400000.0,-11300000.0,-297400000.0,5500000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2009.0,Q4,2009-10-01,2009-12-31,,27900000.0,51500000.0,45100000.0,14800000.0,,-22500000.0,,-205700000.0,5400000.0,260100000.0,-205700000.0,5400000.0,260100000.0,59800000.0,223700000.0,223700000.0,16200000.0,10500000.0,-41200000.0,-10100000.0,-22900000.0,,-175000000.0,38400000.0
Western Union Co,WU,28ID94QU1140NC23S047,1365135,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:38:32+00:00,98300000.0,162800000.0,150000000.0,55900000.0,,159900000.0,496600000.0,-504400000.0,-324100000.0,1218100000.0,-504400000.0,-324100000.0,1218100000.0,389600000.0,848800000.0,848800000.0,55200000.0,23200000.0,-41200000.0,-543200000.0,-71600000.0,-582800000.0,-400200000.0,290700000.0
