company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othertaxespayable,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2009.0,FY,,2010-01-02,2011-03-02 15:42:46+00:00,103591000.0,209784000.0,53739000.0,34460000.0,405175000.0,,93706000.0,,28937000.0,44559000.0,39773000.0,44266000.0,,59647000.0,4538000.0,13730000.0,245714000.0,212367000.0,5631000.0,18840000.0,27039000.0,,,12374000.0,,48868000.0,834615000.0,3618000.0,7995000.0,1276483000.0,962781000.0,946473000.0,245280000.0,962781000.0,968412000.0,308071000.0,1276483000.0,117643000.0,62791000.0,0.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,FY,,2011-01-01,2012-02-29 16:13:35+00:00,122266000.0,263218000.0,113611000.0,19418000.0,392794000.0,0.0,117894000.0,,41836000.0,46923000.0,51374000.0,44572000.0,,55737000.0,4513000.0,9023000.0,371935000.0,217424000.0,7590000.0,9088000.0,47893000.0,,,14883000.0,,62170000.0,1089820000.0,5314000.0,8864000.0,1467573000.0,1044118000.0,1140817000.0,339488000.0,1044118000.0,1051708000.0,415865000.0,1467573000.0,109332000.0,76377000.0,-183014000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q3,,2010-10-02,2010-11-12 10:31:47+00:00,118975000.0,258379000.0,107766000.0,26825000.0,362200000.0,,104990000.0,,32168000.0,23292000.0,38994000.0,44440000.0,,56480000.0,4449000.0,8882000.0,388252000.0,215515000.0,7657000.0,8070000.0,45047000.0,,,12605000.0,,59239000.0,993164000.0,3996000.0,9352000.0,1434907000.0,1064056000.0,1109590000.0,293023000.0,1064056000.0,1071713000.0,363194000.0,1434907000.0,109802000.0,70171000.0,-60923000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q2,,2010-07-03,2010-08-12 15:10:45+00:00,88993000.0,162918000.0,72660000.0,9024000.0,434544000.0,,97658000.0,,26292000.0,15492000.0,34893000.0,43081000.0,,55438000.0,4140000.0,8456000.0,297470000.0,202093000.0,5243000.0,7218000.0,36815000.0,,,12715000.0,,74897000.0,925007000.0,3776000.0,8445000.0,1313634000.0,1031689000.0,1004566000.0,215814000.0,1031689000.0,1036932000.0,276702000.0,1313634000.0,106975000.0,60888000.0,
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2011.0,FY,,2011-12-31,2013-02-27 15:42:55+00:00,157883000.0,302467000.0,126216000.0,22180000.0,287498000.0,0.0,149927000.0,,45803000.0,39425000.0,58745000.0,44054000.0,,73896000.0,6236000.0,7520000.0,488983000.0,282050000.0,10917000.0,17194000.0,86328000.0,,,25040000.0,,110496000.0,1384522000.0,9009000.0,155000.0,1642922000.0,1105929000.0,1235402000.0,391278000.0,1105929000.0,1116846000.0,526076000.0,1642922000.0,125470000.0,134798000.0,-450700000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2011.0,Q3,,2011-10-01,2011-11-10 12:56:59+00:00,163750000.0,273272000.0,97852000.0,27772000.0,231155000.0,0.0,145395000.0,,40827000.0,42003000.0,47649000.0,44426000.0,,69806000.0,4304000.0,7310000.0,511683000.0,264724000.0,11627000.0,14617000.0,63112000.0,,,25175000.0,,84567000.0,1266612000.0,10570000.0,8420000.0,1536190000.0,1055531000.0,1149924000.0,361824000.0,1055531000.0,1067158000.0,469032000.0,1536190000.0,121542000.0,107208000.0,-384248000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2011.0,Q2,,2011-07-02,2011-08-11 15:20:48+00:00,146854000.0,226060000.0,109804000.0,42207000.0,323454000.0,0.0,135545000.0,,42819000.0,35501000.0,44400000.0,45960000.0,,62456000.0,4814000.0,7620000.0,450698000.0,226697000.0,8732000.0,14479000.0,58911000.0,,,24817000.0,,99080000.0,1197003000.0,8870000.0,8729000.0,1493573000.0,1036391000.0,1150840000.0,345429000.0,1036391000.0,1045123000.0,448450000.0,1493573000.0,116036000.0,103021000.0,-338364000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2011.0,Q1,,2011-04-02,2011-05-12 15:34:44+00:00,110364000.0,219710000.0,97988000.0,33461000.0,346740000.0,,124096000.0,,41796000.0,54767000.0,38343000.0,45258000.0,,58741000.0,4522000.0,9723000.0,402642000.0,224202000.0,6062000.0,14318000.0,54833000.0,,,15272000.0,,69974000.0,1145643000.0,5165000.0,8513000.0,1427299000.0,1025665000.0,1089375000.0,306627000.0,1025665000.0,1031727000.0,395572000.0,1427299000.0,113722000.0,88945000.0,-277535000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2012.0,FY,,2012-12-29,2014-02-26 16:15:13+00:00,149561000.0,363456000.0,139622000.0,28760000.0,177236000.0,0.0,138693000.0,,34238000.0,59238000.0,55563000.0,184793000.0,,170673000.0,75140000.0,6965000.0,506314000.0,335446000.0,6929000.0,8662000.0,79756000.0,,,31189000.0,,62868000.0,1066082000.0,2794000.0,,1841989000.0,1233535000.0,1144112000.0,406778000.0,1233535000.0,1240464000.0,601525000.0,1841989000.0,362431000.0,194747000.0,
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2012.0,Q3,,2012-09-29,2012-11-08 14:30:48+00:00,144591000.0,290738000.0,113263000.0,27769000.0,142837000.0,0.0,140510000.0,,47510000.0,77352000.0,44681000.0,182681000.0,,166879000.0,178892000.0,8068000.0,589045000.0,318172000.0,15660000.0,6933000.0,89099000.0,,,27236000.0,,104964000.0,979136000.0,5953000.0,181000.0,1851075000.0,1147415000.0,1175275000.0,385840000.0,1147415000.0,1163075000.0,688000000.0,1851075000.0,357628000.0,302160000.0,
