company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2008.0,FY,2008-01-06,2009-01-03,2011-03-02 15:42:46+00:00,2.05,2.05,2.02,,52351000.0,489600000.0,141853000.0,141853000.0,138097000.0,3756000.0,732091000.0,1583242000.0,-11011000.0,,155781000.0,732091000.0,851151000.0,555000.0,645381000.0,205770000.0,-11566000.0,194204000.0,1583242000.0,67400000.0,67525000.0,68323000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2009.0,FY,2009-01-04,2010-01-02,2012-02-29 16:13:35+00:00,2.09,2.09,2.07,,75604000.0,478637000.0,144294000.0,144294000.0,139188000.0,5106000.0,703243000.0,1548093000.0,8506000.0,,154586000.0,703243000.0,844850000.0,235000.0,633223000.0,211627000.0,8271000.0,219898000.0,1548093000.0,66600000.0,66684000.0,67153000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2009.0,Q3,2009-07-05,2009-10-03,2010-11-12 10:31:47+00:00,,0.53,0.52,,19109000.0,115263000.0,36545000.0,36545000.0,35275000.0,1270000.0,170625000.0,381362000.0,-1660000.0,,38110000.0,170625000.0,210737000.0,50000.0,153373000.0,57364000.0,-1710000.0,55654000.0,381362000.0,,66714000.0,67408000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2009.0,Q2,2009-04-05,2009-07-04,2010-08-12 15:10:45+00:00,0.25,0.25,0.25,,9709000.0,107522000.0,17248000.0,17248000.0,16623000.0,625000.0,148683000.0,315865000.0,4550000.0,,37184000.0,148683000.0,167182000.0,69000.0,144706000.0,22476000.0,4481000.0,26957000.0,315865000.0,66500000.0,66668000.0,67110000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q4,2010-10-03,2011-01-01,,2.0,1.46,1.44,,54959000.0,191389000.0,99731000.0,99731000.0,96657000.0,3074000.0,300959000.0,701076000.0,6111000.0,,59193000.0,300959000.0,400117000.0,956000.0,250582000.0,149535000.0,5155000.0,154690000.0,701076000.0,66600000.0,66701000.0,67687000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,FY,2010-01-03,2011-01-01,2013-02-27 15:42:55+00:00,3.83,3.83,3.77,,119320000.0,583860000.0,264890000.0,264890000.0,255205000.0,9685000.0,875526000.0,2030690000.0,8915000.0,,194890000.0,875526000.0,1155164000.0,1119000.0,778750000.0,376414000.0,7796000.0,384210000.0,2030690000.0,66600000.0,66701000.0,67687000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q3YTD,2010-01-03,2010-10-02,,1.83,2.37,2.33,,64361000.0,392471000.0,165159000.0,165159000.0,158548000.0,6611000.0,574567000.0,1329614000.0,2804000.0,,135697000.0,574567000.0,755047000.0,163000.0,528168000.0,226879000.0,2641000.0,229520000.0,1329614000.0,66800000.0,67071000.0,67978000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q3,2010-07-04,2010-10-02,2011-11-10 12:56:59+00:00,1.02,1.02,1.0,,40353000.0,138424000.0,70904000.0,70904000.0,68156000.0,2748000.0,225082000.0,523825000.0,33000.0,,49049000.0,225082000.0,298743000.0,46000.0,187473000.0,111270000.0,-13000.0,111257000.0,523825000.0,66800000.0,67071000.0,67978000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q2YTD,2010-01-03,2010-07-03,,0.81,1.35,1.33,,24008000.0,254047000.0,94255000.0,94255000.0,90392000.0,3863000.0,349485000.0,805789000.0,2771000.0,,86648000.0,349485000.0,456304000.0,117000.0,340695000.0,115609000.0,2654000.0,118263000.0,805789000.0,67300000.0,67446000.0,68278000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q2,2010-04-04,2010-07-03,2011-08-11 15:20:48+00:00,0.81,0.81,0.8,,7965000.0,129192000.0,56559000.0,56559000.0,54485000.0,2074000.0,175675000.0,412560000.0,237000.0,,43347000.0,175675000.0,236885000.0,59000.0,172539000.0,64346000.0,178000.0,64524000.0,412560000.0,67300000.0,67446000.0,68278000.0
