company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2008.0,FY,2008-01-06,2009-01-03,2011-03-02 15:42:46+00:00,0.0,,37642000.0,,2145000.0,-93184000.0,,114462000.0,-112804000.0,-81527000.0,108954000.0,-112804000.0,-81527000.0,108954000.0,-83232000.0,141853000.0,141853000.0,22643000.0,5483000.0,,-6660000.0,-7106000.0,-87598000.0,-120216000.0,-105873000.0,12386000.0,791000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2009.0,Q4,2009-10-04,2010-01-02,,,,11062000.0,,-1179000.0,23816000.0,,3211000.0,3087000.0,-7679000.0,112983000.0,3087000.0,-7679000.0,112983000.0,107212000.0,71761000.0,71761000.0,6344000.0,3253000.0,,-91000.0,-126000.0,-8522000.0,-3286000.0,,893000.0,76000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2009.0,FY,2009-01-04,2010-01-02,2012-02-29 16:13:35+00:00,0.0,,41334000.0,,5185000.0,67296000.0,0.0,5111000.0,285000.0,-38295000.0,265988000.0,285000.0,-38295000.0,265988000.0,233163000.0,144294000.0,144294000.0,13064000.0,4922000.0,0.0,-2693000.0,-1237000.0,-38072000.0,-7055000.0,0.0,938000.0,76000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2009.0,Q3,2009-07-05,2009-10-03,,,,9822000.0,,6480000.0,-14700000.0,,339000.0,1104000.0,-10393000.0,36682000.0,1104000.0,-10393000.0,36682000.0,33873000.0,36545000.0,36545000.0,5015000.0,1179000.0,,,-243000.0,-10175000.0,-414000.0,,25000.0,
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2009.0,Q3YTD,2009-01-04,2009-10-03,2010-11-12 10:31:47+00:00,0.0,,30272000.0,,6364000.0,43480000.0,,1900000.0,-2802000.0,-30616000.0,153005000.0,-2802000.0,-30616000.0,153005000.0,125951000.0,72533000.0,72533000.0,6720000.0,1669000.0,,-2602000.0,-1111000.0,-29550000.0,-3769000.0,0.0,45000.0,
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2009.0,Q2YTD,2009-01-04,2009-07-04,2010-08-12 15:10:45+00:00,,,20450000.0,,-116000.0,58180000.0,,1561000.0,-3906000.0,-20223000.0,116323000.0,-3906000.0,-20223000.0,116323000.0,92078000.0,35988000.0,35988000.0,1705000.0,490000.0,,-2602000.0,-868000.0,-19375000.0,-3355000.0,0.0,20000.0,
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q4,2010-10-03,2011-01-01,,866000.0,,10371000.0,,-10078000.0,44539000.0,,1243000.0,-111525000.0,-14452000.0,166649000.0,-111525000.0,-14452000.0,166649000.0,30594000.0,99731000.0,99731000.0,12008000.0,12550000.0,-855000.0,-3141000.0,-168000.0,-14748000.0,-87000.0,-122090000.0,84000.0,369000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,FY,2010-01-03,2011-01-01,2013-02-27 15:42:55+00:00,,,40560000.0,,-3441000.0,-122254000.0,,1243000.0,-170584000.0,-47533000.0,209177000.0,-170584000.0,-47533000.0,209177000.0,-12381000.0,264890000.0,264890000.0,25981000.0,35371000.0,-855000.0,-7587000.0,-628000.0,-46812000.0,-389000.0,-199222000.0,314000.0,448000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q3TTM,2009-10-04,2010-10-02,,-866000.0,,41251000.0,,5458000.0,-142977000.0,,3211000.0,-55972000.0,-40760000.0,155511000.0,-55972000.0,-40760000.0,155511000.0,64237000.0,236920000.0,236920000.0,20317000.0,26074000.0,,-4537000.0,-586000.0,-40586000.0,-3588000.0,-77132000.0,1123000.0,155000.0
Fossil Group Inc,FOSL,DDMY8YZ6L8UEMS1FDM73,883569,2010.0,Q3,2010-07-04,2010-10-02,,-866000.0,,10153000.0,,24683000.0,-114144000.0,,-46000.0,-55974000.0,-12933000.0,-28120000.0,-55974000.0,-12933000.0,-28120000.0,-72344000.0,70904000.0,70904000.0,4967000.0,10302000.0,,-174000.0,-158000.0,-12067000.0,-81000.0,-65975000.0,79000.0,79000.0
