company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otheroperatingexpenses,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Evergy Inc,EVRG,,1711269,2017.0,FY,2017-01-01,2017-12-31,2020-03-02 06:47:35+00:00,2.27,2.27,1.6,371700000.0,2.27,151200000.0,660400000.0,336500000.0,647800000.0,12600000.0,1352900000.0,2571000000.0,323900000.0,6700000.0,-30800000.0,167600000.0,1352900000.0,1218100000.0,171000000.0,4000000.0,539300000.0,678800000.0,-197800000.0,481000000.0,2571000000.0,285400000.0,142500000.0,142600000.0
Evergy Inc,EVRG,,1711269,2017.0,Q3,2017-07-01,2017-09-30,2018-11-07 17:04:42+00:00,1.11,1.11,,94600000.0,1.11,55800000.0,319000000.0,160700000.0,316600000.0,2400000.0,378200000.0,794300000.0,158300000.0,1600000.0,-22400000.0,41800000.0,378200000.0,416100000.0,43400000.0,1000000.0,136400000.0,279700000.0,-64800000.0,214900000.0,794300000.0,285200000.0,142500000.0,142500000.0
Evergy Inc,EVRG,,1711269,2017.0,Q2,2017-04-01,2017-06-30,2018-08-08 17:11:07+00:00,0.5,0.5,0.4,94000000.0,0.5,35900000.0,148100000.0,76000000.0,144200000.0,3900000.0,313200000.0,609300000.0,72100000.0,1500000.0,-7200000.0,41900000.0,313200000.0,296100000.0,43700000.0,1100000.0,135900000.0,160200000.0,-49800000.0,110400000.0,609300000.0,288400000.0,142500000.0,142600000.0
Evergy Inc,EVRG,,1711269,2018.0,FY,2018-01-01,2018-12-31,2020-03-02 06:47:35+00:00,2.5,2.5,1.735,618800000.0,2.5,59000000.0,1081800000.0,546000000.0,1071600000.0,10200000.0,2454400000.0,4275900000.0,532800000.0,5400000.0,-63200000.0,269100000.0,2454400000.0,1821500000.0,279600000.0,8800000.0,887900000.0,933600000.0,-334000000.0,599600000.0,4275900000.0,428600000.0,213900000.0,214100000.0
Evergy Inc,EVRG,,1711269,2018.0,Q3,2018-07-01,2018-09-30,2019-11-06 16:37:07+00:00,1.32,1.32,,193900000.0,1.32,64100000.0,712600000.0,357600000.0,710000000.0,2600000.0,772500000.0,1582500000.0,355000000.0,2000000.0,-29200000.0,83000000.0,772500000.0,810000000.0,89100000.0,4900000.0,276900000.0,533100000.0,-113400000.0,419700000.0,1582500000.0,537900000.0,268600000.0,268800000.0
Evergy Inc,EVRG,,1711269,2018.0,Q3YTD,2018-01-01,2018-09-30,,2.3,2.3,,411500000.0,2.3,28300000.0,1039800000.0,524900000.0,1032200000.0,7600000.0,1697600000.0,3076100000.0,514900000.0,4800000.0,-49900000.0,183500000.0,1697600000.0,1378500000.0,191300000.0,6100000.0,595000000.0,783500000.0,-235100000.0,548400000.0,3076100000.0,537900000.0,268600000.0,268800000.0
Evergy Inc,EVRG,,1711269,2018.0,Q2,2018-04-01,2018-06-30,2019-08-07 16:39:27+00:00,0.56,0.56,,128000000.0,0.56,-45000000.0,206200000.0,104400000.0,203600000.0,2600000.0,581900000.0,893400000.0,101800000.0,1400000.0,-12100000.0,56600000.0,581900000.0,311500000.0,58400000.0,1600000.0,184600000.0,126900000.0,-68900000.0,58000000.0,893400000.0,363600000.0,180900000.0,181000000.0
Evergy Inc,EVRG,,1711269,2018.0,Q2YTD,2018-01-01,2018-06-30,,0.98,0.98,,217600000.0,0.98,-35800000.0,327200000.0,167300000.0,322200000.0,5000000.0,925100000.0,1493600000.0,159900000.0,2800000.0,-20700000.0,100500000.0,925100000.0,568500000.0,102200000.0,1200000.0,318100000.0,250400000.0,-121700000.0,128700000.0,1493600000.0,363600000.0,180900000.0,181000000.0
Evergy Inc,EVRG,,1711269,2018.0,Q1,2018-01-01,2018-03-31,2019-05-08 16:36:49+00:00,0.42,0.42,0.4,89600000.0,0.42,9200000.0,121000000.0,62900000.0,118600000.0,2400000.0,343200000.0,600200000.0,58100000.0,1400000.0,-8600000.0,43900000.0,343200000.0,257000000.0,43800000.0,-400000.0,133500000.0,123500000.0,-52800000.0,70700000.0,600200000.0,282400000.0,142600000.0,142700000.0
Evergy Inc,EVRG,,1711269,2019.0,Q4,2019-10-01,2019-12-31,,0.28,0.28,,216600000.0,0.27,-2200000.0,497400000.0,66700000.0,494600000.0,2800000.0,660100000.0,1131600000.0,430700000.0,1900000.0,-9900000.0,89100000.0,660100000.0,471500000.0,96700000.0,3400000.0,305700000.0,165800000.0,-103200000.0,62600000.0,1131600000.0,478500000.0,239500000.0,239900000.0
Evergy Inc,EVRG,,1711269,2019.0,FY,2019-01-01,2019-12-31,2020-03-02 06:47:35+00:00,2.8,2.8,1.93,861700000.0,2.79,97000000.0,1355500000.0,685600000.0,1339800000.0,15700000.0,2734800000.0,5147800000.0,669900000.0,9800000.0,-50000000.0,365500000.0,2734800000.0,2413000000.0,374000000.0,11000000.0,1227200000.0,1185800000.0,-413000000.0,772800000.0,5147800000.0,478500000.0,239500000.0,239900000.0
Evergy Inc,EVRG,,1711269,2019.0,Q3,2019-07-01,2019-09-30,2019-11-06 16:37:07+00:00,1.56,1.56,,216100000.0,1.56,65500000.0,370900000.0,370900000.0,366800000.0,4100000.0,731300000.0,1577600000.0,,3600000.0,-16900000.0,91500000.0,731300000.0,846300000.0,90800000.0,1800000.0,307600000.0,538700000.0,-105900000.0,432800000.0,1577600000.0,235100000.0,234600000.0,235000000.0
Evergy Inc,EVRG,,1711269,2019.0,Q3YTD,2019-01-01,2019-09-30,,2.52,2.52,,645100000.0,2.52,99200000.0,858100000.0,618900000.0,845200000.0,12900000.0,2074700000.0,4016200000.0,239200000.0,7900000.0,-40100000.0,276400000.0,2074700000.0,1941500000.0,277300000.0,7600000.0,921500000.0,1020000000.0,-309800000.0,710200000.0,4016200000.0,235100000.0,234600000.0,235000000.0
Evergy Inc,EVRG,,1711269,2019.0,Q3TTM,2018-10-01,2019-09-30,,2.72,2.72,,852400000.0,2.72,129900000.0,900100000.0,640000000.0,884600000.0,15500000.0,2831500000.0,5216000000.0,257100000.0,8500000.0,-53400000.0,362000000.0,2831500000.0,2384500000.0,365600000.0,10300000.0,1214400000.0,1170100000.0,-408700000.0,761400000.0,5216000000.0,235100000.0,234600000.0,235000000.0
Evergy Inc,EVRG,,1711269,2019.0,Q2,2019-04-01,2019-06-30,2019-08-07 16:39:27+00:00,0.57,0.57,,215400000.0,0.57,24400000.0,284300000.0,144600000.0,279400000.0,4900000.0,643000000.0,1221700000.0,139700000.0,2100000.0,-12000000.0,91600000.0,643000000.0,578700000.0,95400000.0,2600000.0,307000000.0,271700000.0,-104800000.0,166900000.0,1221700000.0,490200000.0,243200000.0,243400000.0
Evergy Inc,EVRG,,1711269,2019.0,Q2YTD,2019-01-01,2019-06-30,,0.96,0.96,,429000000.0,0.96,33700000.0,487200000.0,248000000.0,478400000.0,8800000.0,1343400000.0,2438600000.0,239200000.0,4300000.0,-23200000.0,184900000.0,1343400000.0,1095200000.0,186500000.0,5800000.0,613900000.0,481300000.0,-203900000.0,277400000.0,2438600000.0,490200000.0,243200000.0,243400000.0
Evergy Inc,EVRG,,1711269,2019.0,Q2TTM,2018-07-01,2019-06-30,,2.48,2.48,,830200000.0,2.48,128500000.0,1241800000.0,626700000.0,1227800000.0,14000000.0,2872700000.0,5220900000.0,612100000.0,6900000.0,-65700000.0,353500000.0,2872700000.0,2348200000.0,363900000.0,13400000.0,1183700000.0,1164500000.0,-416200000.0,748300000.0,5220900000.0,490200000.0,243200000.0,243400000.0
Evergy Inc,EVRG,,1711269,2019.0,Q1,2019-01-01,2019-03-31,2020-05-06 16:40:33+00:00,0.39,0.39,0.475,213600000.0,0.39,9300000.0,202900000.0,103400000.0,199000000.0,3900000.0,700400000.0,1216900000.0,99500000.0,2200000.0,-11200000.0,93300000.0,700400000.0,516500000.0,91100000.0,3200000.0,306900000.0,209600000.0,-99100000.0,110500000.0,1216900000.0,510300000.0,252800000.0,253000000.0
Evergy Inc,EVRG,,1711269,2019.0,Q1TTM,2018-04-01,2019-03-31,,2.47,2.47,,742800000.0,2.47,59100000.0,1163700000.0,586500000.0,1152000000.0,11700000.0,2811600000.0,4892600000.0,574200000.0,6200000.0,-65800000.0,318500000.0,2811600000.0,2081000000.0,326900000.0,12400000.0,1061300000.0,1019700000.0,-380300000.0,639400000.0,4892600000.0,510300000.0,252800000.0,253000000.0
Evergy Inc,EVRG,,1711269,2020.0,Q1,2020-01-01,2020-03-31,2020-05-06 16:40:33+00:00,0.31,0.31,0.505,218500000.0,0.31,10100000.0,72200000.0,72200000.0,69400000.0,2800000.0,608400000.0,1116700000.0,,2200000.0,-20400000.0,92300000.0,608400000.0,508300000.0,96200000.0,-800000.0,310800000.0,197500000.0,-117400000.0,80100000.0,1116700000.0,223900000.0,227100000.0,227500000.0
Evergy Inc,EVRG,,1711269,2020.0,Q1TTM,2019-04-01,2020-03-31,,2.72,2.72,,866600000.0,2.71,97800000.0,1224800000.0,654400000.0,1210200000.0,14600000.0,2642800000.0,5047600000.0,570400000.0,9800000.0,-59200000.0,364500000.0,2642800000.0,2404800000.0,379100000.0,7000000.0,1231100000.0,1173700000.0,-431300000.0,742400000.0,5047600000.0,223900000.0,227100000.0,227500000.0
