company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
C.H. Robinson Worldwide Inc,CHRW,,1043277,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 16:03:50+00:00,-22220000.0,190517000.0,172000.0,27366000.0,,-317000.0,-88253000.0,13740000.0,23559000.0,-262098000.0,-55722000.0,308430000.0,-262098000.0,-55722000.0,308430000.0,-9707000.0,324261000.0,324261000.0,45056000.0,16668000.0,-68000.0,,-125183000.0,-204020000.0,-43713000.0,-23559000.0,-167323000.0,214299000.0,
C.H. Robinson Worldwide Inc,CHRW,,1043277,2008.0,Q4,2008-10-01,2008-12-31,,35000.0,202246000.0,426000.0,7966000.0,,11000.0,171367000.0,3665000.0,8888000.0,-82505000.0,-6928000.0,272248000.0,-82505000.0,-6928000.0,272248000.0,182826000.0,88881000.0,88881000.0,4034000.0,2255000.0,92000.0,,-37718000.0,,-7640000.0,-8888000.0,-50707000.0,585000.0,
C.H. Robinson Worldwide Inc,CHRW,,1043277,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 11:52:53+00:00,-59661000.0,202246000.0,426000.0,31164000.0,,2839000.0,21850000.0,23327000.0,8888000.0,-326040000.0,31480000.0,447579000.0,-326040000.0,31480000.0,447579000.0,155858000.0,359177000.0,359177000.0,35388000.0,12057000.0,769000.0,,-151195000.0,-136954000.0,-23748000.0,-18271000.0,-200846000.0,251074000.0,
C.H. Robinson Worldwide Inc,CHRW,,1043277,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-09 10:56:04+00:00,-59696000.0,,,23198000.0,,2828000.0,-149517000.0,19662000.0,,-243535000.0,38408000.0,175331000.0,-243535000.0,38408000.0,175331000.0,-26968000.0,270296000.0,270296000.0,31354000.0,9802000.0,677000.0,,-113477000.0,-136954000.0,-16108000.0,-9383000.0,-150139000.0,250489000.0,
C.H. Robinson Worldwide Inc,CHRW,,1043277,2008.0,Q3,2008-07-01,2008-09-30,,-49781000.0,,,7828000.0,,-2317000.0,3217000.0,2542000.0,,-97890000.0,-18735000.0,112146000.0,-97890000.0,-18735000.0,112146000.0,-6796000.0,93560000.0,93560000.0,7541000.0,1296000.0,26000.0,,-37674000.0,-26637000.0,-5055000.0,-9383000.0,-54671000.0,62712000.0,
C.H. Robinson Worldwide Inc,CHRW,,1043277,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-10 11:45:55+00:00,-9915000.0,,,15370000.0,,5145000.0,-152734000.0,17120000.0,,-145645000.0,57143000.0,63185000.0,-145645000.0,57143000.0,63185000.0,-20172000.0,176736000.0,176736000.0,23813000.0,8506000.0,651000.0,,-75803000.0,-110317000.0,-11053000.0,,-95468000.0,187777000.0,
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q4,2009-10-01,2009-12-31,,2392000.0,224750000.0,189000.0,8319000.0,,-1377000.0,26111000.0,3493000.0,1341000.0,-125370000.0,-42419000.0,130200000.0,-125370000.0,-42419000.0,130200000.0,-38966000.0,87734000.0,87734000.0,8036000.0,1914000.0,-28000.0,,-40842000.0,-40522000.0,-5473000.0,-1341000.0,-89935000.0,1212000.0,
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 13:53:29+00:00,-41145000.0,224750000.0,189000.0,30514000.0,,-4054000.0,-57622000.0,17741000.0,1341000.0,-402064000.0,-123888000.0,372571000.0,-402064000.0,-123888000.0,372571000.0,-157435000.0,360830000.0,360830000.0,38849000.0,9966000.0,185000.0,,-162865000.0,-52437000.0,-34466000.0,-1341000.0,-266906000.0,3975000.0,
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 10:35:49+00:00,-43537000.0,,,22195000.0,,-2677000.0,-83733000.0,14248000.0,,-276694000.0,-81469000.0,242371000.0,-276694000.0,-81469000.0,242371000.0,-118469000.0,273096000.0,273096000.0,30813000.0,8052000.0,213000.0,,-122023000.0,-11915000.0,-28993000.0,,-176971000.0,2763000.0,
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q3TTM,2008-10-01,2009-09-30,,-43502000.0,202246000.0,426000.0,30161000.0,,-2666000.0,87634000.0,17913000.0,8888000.0,-359199000.0,-88397000.0,514619000.0,-359199000.0,-88397000.0,514619000.0,64357000.0,361977000.0,361977000.0,34847000.0,10307000.0,305000.0,,-159741000.0,-11915000.0,-36633000.0,-8888000.0,-227678000.0,3348000.0,
