company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
C.H. Robinson Worldwide Inc,CHRW,,1043277,2008.0,FY,,2008-12-31,2010-03-01 16:03:50+00:00,485167000.0,828884000.0,,87519000.0,2165000.0,494743000.0,0.0,194530000.0,5413000.0,35464000.0,93431000.0,324704000.0,191607000.0,14900000.0,,104088000.0,,9887000.0,14833000.0,,,,83591000.0,,,9325000.0,960000.0,16187000.0,,1207428000.0,,2644000.0,1815721000.0,1107221000.0,1347871000.0,697653000.0,1107221000.0,1107221000.0,708500000.0,1815721000.0,363762000.0,10847000.0,0.0,-296902000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,FY,,2009-12-31,2011-03-01 11:52:53+00:00,529256000.0,885543000.0,,102820000.0,-1636000.0,337308000.0,,181814000.0,6454000.0,34438000.0,90855000.0,361666000.0,220519000.0,18371000.0,,117699000.0,,10546000.0,14422000.0,,,,77258000.0,,,14821000.0,11995000.0,29654000.0,,1402306000.0,,48310000.0,1834248000.0,1079900000.0,1307269000.0,731807000.0,1079900000.0,1079900000.0,754348000.0,1834248000.0,409280000.0,22541000.0,0.0,-502584000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q3,,2009-09-30,2009-11-09 10:56:04+00:00,590798000.0,884565000.0,27974000.0,,202000.0,376274000.0,,183795000.0,7046000.0,,79249000.0,363195000.0,,32272000.0,,118785000.0,,10843000.0,15501000.0,,995000.0,,,,,,13931000.0,32477000.0,,1357134000.0,,11918000.0,1842033000.0,1118243000.0,1312280000.0,698021000.0,1118243000.0,1118243000.0,723790000.0,1842033000.0,410968000.0,25769000.0,0.0,-422888000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q2,,2009-06-30,2009-08-10 11:45:55+00:00,595440000.0,920686000.0,35434000.0,,-1548000.0,356871000.0,,186513000.0,8124000.0,,59179000.0,334586000.0,,23559000.0,,111795000.0,,,16856000.0,11324000.0,985000.0,,,,,,,30602000.0,,1302555000.0,,592000.0,1803671000.0,1101309000.0,1316875000.0,690053000.0,1101309000.0,1101309000.0,702362000.0,1803671000.0,375001000.0,12309000.0,0.0,-386211000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2010.0,FY,,2010-12-31,2012-02-29 13:53:29+00:00,567961000.0,1036070000.0,,118897000.0,-6425000.0,398607000.0,,194692000.0,5466000.0,47055000.0,96991000.0,359116000.0,233230000.0,13495000.0,,114333000.0,,10667000.0,7836000.0,,,,59600000.0,,,19151000.0,9357000.0,32335000.0,,1613912000.0,,9290000.0,1995699000.0,1204068000.0,1481768000.0,771607000.0,1204068000.0,1204068000.0,791631000.0,1995699000.0,399598000.0,20024000.0,0.0,-598111000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2010.0,Q3,,2010-09-30,2010-11-09 10:35:49+00:00,670910000.0,1142457000.0,41483000.0,,-4551000.0,249433000.0,,183774000.0,4142000.0,,77092000.0,359713000.0,,31297000.0,,116259000.0,,13286000.0,7875000.0,,,,0.0,,,,8733000.0,36785000.0,,1559738000.0,,34123000.0,1982084000.0,1170580000.0,1466940000.0,789485000.0,1170580000.0,1170580000.0,811504000.0,1982084000.0,398885000.0,22019000.0,0.0,-568381000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2010.0,Q2,,2010-06-30,2010-08-09 11:35:58+00:00,697375000.0,1150283000.0,39605000.0,,-11032000.0,166125000.0,,181093000.0,3151000.0,,55193000.0,357094000.0,,30044000.0,,115438000.0,,12195000.0,8462000.0,,,,0.0,,,0.0,12654000.0,41900000.0,,1499271000.0,,49397000.0,1921894000.0,1104872000.0,1410856000.0,792173000.0,1104872000.0,1104872000.0,817022000.0,1921894000.0,395600000.0,24849000.0,0.0,-564460000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2010.0,Q1,,2010-03-31,2010-05-10 10:39:39+00:00,643235000.0,1002807000.0,75571000.0,,-5764000.0,229645000.0,,178713000.0,4785000.0,,37254000.0,359266000.0,,30178000.0,,115543000.0,0.0,11539000.0,13782000.0,,,,0.0,,,,11513000.0,33485000.0,,1444152000.0,,52716000.0,1842207000.0,1063095000.0,1323438000.0,756060000.0,1063095000.0,1063095000.0,779112000.0,1842207000.0,403226000.0,23052000.0,0.0,-554006000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2011.0,FY,,2011-12-31,2013-03-01 14:15:36+00:00,642672000.0,1189637000.0,49901000.0,93243000.0,-9115000.0,373669000.0,,222138000.0,8382000.0,4456000.0,117541000.0,359688000.0,220073000.0,10029000.0,,126830000.0,,10501000.0,,842000.0,,,62062000.0,,,29951000.0,1592000.0,39855000.0,,1845032000.0,0.0,,2138041000.0,1248474000.0,1611543000.0,876632000.0,1248474000.0,1248474000.0,889567000.0,2138041000.0,399668000.0,12935000.0,0.0,-809581000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2011.0,Q3,,2011-09-30,2011-11-09 11:35:47+00:00,740977000.0,1238079000.0,,,-9063000.0,382737000.0,,218496000.0,5247000.0,50293000.0,105439000.0,360208000.0,,37830000.0,,114806000.0,,12261000.0,9846000.0,,,,,,,,2244000.0,30685000.0,,1790600000.0,,0.0,2179438000.0,1268224000.0,1656748000.0,896709000.0,1268224000.0,1268224000.0,911214000.0,2179438000.0,407884000.0,14505000.0,0.0,-731809000.0
