company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
C.H. Robinson Worldwide Inc,CHRW,,1043277,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 16:03:50+00:00,1.9,1.9,,1.86,199253000.0,324261000.0,324261000.0,324261000.0,6640431000.0,7316223000.0,,166108000.0,6640431000.0,675792000.0,-13830000.0,166108000.0,509684000.0,13830000.0,523514000.0,7316223000.0,170700000.0,170493000.0,174040000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 11:52:53+00:00,2.12,2.12,0.9,2.08,219210000.0,359177000.0,359177000.0,359177000.0,7805473000.0,8578614000.0,,201555000.0,7805473000.0,773141000.0,-6801000.0,201555000.0,571586000.0,6801000.0,578387000.0,8578614000.0,169400000.0,169056000.0,172733000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2008.0,Q3,2008-07-01,2008-09-30,2009-11-09 10:56:04+00:00,0.55,0.55,,0.54,56654000.0,93560000.0,93560000.0,93560000.0,2117336000.0,2316593000.0,,50638000.0,2117336000.0,199257000.0,-1595000.0,50638000.0,148619000.0,1595000.0,150214000.0,2316593000.0,170100000.0,168864000.0,172446000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2008.0,Q2,2008-04-01,2008-06-30,2009-08-10 11:45:55+00:00,0.53,0.53,,0.52,55797000.0,90418000.0,90418000.0,90418000.0,2127041000.0,2321706000.0,,50159000.0,2127041000.0,194665000.0,-1709000.0,50159000.0,144506000.0,1709000.0,146215000.0,2321706000.0,170600000.0,169731000.0,173483000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q4,2009-10-01,2009-12-31,,0.53,0.53,0.97,0.52,55616000.0,87734000.0,87734000.0,87734000.0,1813132000.0,2008366000.0,,52476000.0,1813132000.0,195234000.0,-592000.0,52476000.0,142758000.0,592000.0,143350000.0,2008366000.0,167800000.0,167695000.0,169194000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 13:53:29+00:00,2.15,2.15,0.97,2.13,226231000.0,360830000.0,360830000.0,360830000.0,6792798000.0,7577189000.0,,199580000.0,6792798000.0,784391000.0,-2250000.0,199580000.0,584811000.0,2250000.0,587061000.0,7577189000.0,167800000.0,167695000.0,169194000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 10:35:49+00:00,0.57,0.57,,0.57,59780000.0,95460000.0,95460000.0,95460000.0,1750987000.0,1954803000.0,,49015000.0,1750987000.0,203816000.0,-439000.0,49015000.0,154801000.0,439000.0,155240000.0,1954803000.0,167500000.0,167191000.0,168648000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.62,1.62,,1.61,170615000.0,273096000.0,273096000.0,273096000.0,4979666000.0,5568823000.0,,147104000.0,4979666000.0,589157000.0,-1658000.0,147104000.0,442053000.0,1658000.0,443711000.0,5568823000.0,167500000.0,167191000.0,168648000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 11:35:58+00:00,0.55,0.55,,0.54,58360000.0,92253000.0,92253000.0,92253000.0,1726059000.0,1926020000.0,,50077000.0,1726059000.0,199961000.0,-729000.0,50077000.0,149884000.0,729000.0,150613000.0,1926020000.0,167700000.0,167972000.0,169584000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.05,1.05,,1.04,110835000.0,177636000.0,177636000.0,177636000.0,3228679000.0,3614020000.0,,98089000.0,3228679000.0,385341000.0,-1219000.0,98089000.0,287252000.0,1219000.0,288471000.0,3614020000.0,167700000.0,167972000.0,169584000.0
C.H. Robinson Worldwide Inc,CHRW,,1043277,2009.0,Q1,2009-01-01,2009-03-31,2010-05-10 10:39:39+00:00,0.5,0.5,,0.5,52475000.0,85383000.0,85383000.0,85383000.0,1502620000.0,1688000000.0,,48012000.0,1502620000.0,185380000.0,-490000.0,48012000.0,137368000.0,490000.0,137858000.0,1688000000.0,170800000.0,169140000.0,170825000.0
