company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,assetretirementandlitigationobligation,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,dividendspayable,employeebenefitassets,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,prepaidexpenses,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2008.0,FY,,2008-12-31,2009-11-02 16:04:54+00:00,1499000000.0,2559000000.0,754000000.0,12174000000.0,-269000000.0,2746000000.0,,66000000.0,0.0,6176000000.0,,,,260000000.0,,3503000000.0,35448000000.0,,14956000000.0,1011000000.0,1166000000.0,23274000000.0,,4137000000.0,1525000000.0,2291000000.0,1100000000.0,1416000000.0,1707000000.0,,6604000000.0,561000000.0,,163000000.0,257000000.0,,4170000000.0,2474000000.0,,42053000000.0,10077000000.0,7661000000.0,7794000000.0,10077000000.0,10077000000.0,31719000000.0,42053000000.0,11118000000.0,23925000000.0,
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2009.0,FY,,2009-12-31,2011-02-28 16:10:25+00:00,1401000000.0,2180000000.0,676000000.0,13444000000.0,-211000000.0,2820000000.0,,48000000.0,0.0,6710000000.0,,,4000000.0,,702000000.0,3354000000.0,39036000000.0,693000000.0,15481000000.0,867000000.0,1185000000.0,25592000000.0,,4244000000.0,1260000000.0,1981000000.0,1892000000.0,1018000000.0,428000000.0,,4529000000.0,474000000.0,,405000000.0,257000000.0,0.0,4686000000.0,2432000000.0,,42554000000.0,11185000000.0,6817000000.0,6833000000.0,11185000000.0,11185000000.0,31112000000.0,42554000000.0,10145000000.0,24279000000.0,
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2009.0,Q3,,2009-09-30,2009-11-02 16:04:54+00:00,1046000000.0,1865000000.0,742000000.0,13230000000.0,-254000000.0,2689000000.0,,50000000.0,0.0,6625000000.0,,,,0.0,,3503000000.0,37913000000.0,,16223000000.0,871000000.0,1178000000.0,24683000000.0,,4088000000.0,1592000000.0,2283000000.0,1016000000.0,1360000000.0,1286000000.0,,6179000000.0,463000000.0,,115000000.0,257000000.0,,4956000000.0,1358000000.0,,42087000000.0,11327000000.0,6851000000.0,5448000000.0,11327000000.0,11327000000.0,30503000000.0,42087000000.0,10553000000.0,25055000000.0,
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2009.0,Q2,,2009-06-30,2009-07-31 16:02:45+00:00,1008000000.0,2014000000.0,701000000.0,13019000000.0,-165000000.0,2595000000.0,,64000000.0,0.0,6552000000.0,,,,0.0,,3503000000.0,36893000000.0,,15707000000.0,974000000.0,1077000000.0,23874000000.0,,3810000000.0,1568000000.0,2494000000.0,893000000.0,1345000000.0,1584000000.0,,6035000000.0,576000000.0,,117000000.0,257000000.0,,4623000000.0,1788000000.0,,41497000000.0,11010000000.0,7111000000.0,5974000000.0,11010000000.0,11010000000.0,30230000000.0,41497000000.0,10512000000.0,24256000000.0,
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2010.0,FY,,2010-12-31,2012-02-28 17:20:58+00:00,1562000000.0,2246000000.0,849000000.0,13142000000.0,-330000000.0,2969000000.0,,62000000.0,,5909000000.0,,,132000000.0,,712000000.0,3141000000.0,39855000000.0,642000000.0,15758000000.0,1254000000.0,1163000000.0,26713000000.0,0.0,4708000000.0,765000000.0,1652000000.0,1347000000.0,,,,4955000000.0,590000000.0,,277000000.0,257000000.0,,6418000000.0,1883000000.0,,42817000000.0,11997000000.0,5400000000.0,5773000000.0,11997000000.0,11997000000.0,30563000000.0,42817000000.0,10704000000.0,24790000000.0,
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2010.0,Q3,,2010-09-30,2010-10-29 16:04:25+00:00,1342000000.0,1825000000.0,953000000.0,13056000000.0,-186000000.0,2925000000.0,,446000000.0,0.0,5895000000.0,,,,,,3141000000.0,39112000000.0,,16023000000.0,866000000.0,1222000000.0,26056000000.0,,4366000000.0,1159000000.0,2370000000.0,934000000.0,0.0,822000000.0,,6171000000.0,477000000.0,,132000000.0,257000000.0,,6386000000.0,876000000.0,,42229000000.0,12095000000.0,5995000000.0,4927000000.0,12095000000.0,12095000000.0,29877000000.0,42229000000.0,10178000000.0,24950000000.0,
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2010.0,Q2,,2010-06-30,2010-08-02 16:04:10+00:00,1286000000.0,1874000000.0,392000000.0,12892000000.0,-200000000.0,2738000000.0,,411000000.0,0.0,6269000000.0,,1083000000.0,,,,3141000000.0,38350000000.0,,15349000000.0,856000000.0,1107000000.0,25458000000.0,,4000000000.0,1145000000.0,1976000000.0,1079000000.0,0.0,936000000.0,,5958000000.0,482000000.0,,107000000.0,257000000.0,,6077000000.0,895000000.0,900000000.0,41788000000.0,12146000000.0,6375000000.0,5671000000.0,12146000000.0,12146000000.0,29385000000.0,41788000000.0,9955000000.0,23714000000.0,
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2010.0,Q1,,2010-03-31,2010-04-29 16:04:11+00:00,1324000000.0,2060000000.0,772000000.0,13691000000.0,-41000000.0,2869000000.0,,85000000.0,0.0,6507000000.0,,,,,,3275000000.0,39729000000.0,,15364000000.0,877000000.0,984000000.0,26038000000.0,,4251000000.0,1385000000.0,2757000000.0,1724000000.0,0.0,1123000000.0,,5940000000.0,494000000.0,,147000000.0,257000000.0,,4585000000.0,1549000000.0,,42163000000.0,11051000000.0,6033000000.0,6492000000.0,11051000000.0,11051000000.0,30855000000.0,42163000000.0,10092000000.0,24363000000.0,
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2011.0,FY,,2011-12-31,2012-10-25 13:51:18+00:00,1250000000.0,2035000000.0,0.0,13320000000.0,-610000000.0,2707000000.0,,102000000.0,0.0,5359000000.0,,,,,,3141000000.0,42990000000.0,0.0,17394000000.0,845000000.0,1348000000.0,29670000000.0,57000000.0,5216000000.0,,1945000000.0,951000000.0,,1468000000.0,,6387000000.0,1575000000.0,141000000.0,0.0,257000000.0,,6697000000.0,3293000000.0,,45614000000.0,11446000000.0,5430000000.0,6962000000.0,11446000000.0,11503000000.0,33854000000.0,45614000000.0,10514000000.0,26892000000.0,
Dominion Energy Inc,D,ILUL7B6Z54MRYCF6H308,715957,2011.0,Q3,,2011-09-30,2011-10-28 13:38:54+00:00,1138000000.0,1874000000.0,647000000.0,13744000000.0,-499000000.0,2905000000.0,,212000000.0,0.0,5353000000.0,,,,,,3141000000.0,42155000000.0,0.0,17153000000.0,849000000.0,1326000000.0,28411000000.0,,5130000000.0,,1855000000.0,,,1601000000.0,,6158000000.0,1457000000.0,,0.0,257000000.0,,6778000000.0,2110000000.0,,44030000000.0,11632000000.0,5267000000.0,5496000000.0,11632000000.0,11632000000.0,32141000000.0,44030000000.0,10148000000.0,26645000000.0,
