company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2008.0,FY,2007-11-01,2008-10-31,2010-12-17 16:08:16+00:00,16774000.0,1.42,1.42,,1.42,,10006000.0,63956000.0,63956000.0,63956000.0,,437345000.0,1047375000.0,,0.0,35468000.0,1521000.0,429304000.0,437345000.0,610030000.0,53029000.0,483067000.0,126963000.0,-53029000.0,73962000.0,1047375000.0,45000000.0,44995000.0,45117000.0
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2009.0,FY,2008-11-01,2009-10-31,2011-12-16 16:17:25+00:00,17860000.0,2.23,2.23,,2.21,,14280000.0,100548000.0,100548000.0,100548000.0,,483927000.0,1080421000.0,7292000.0,,33298000.0,3887000.0,391593000.0,483927000.0,596494000.0,42320000.0,446638000.0,149856000.0,-35028000.0,114828000.0,1080421000.0,45100000.0,45173000.0,45478000.0
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2009.0,Q3,2009-05-01,2009-07-31,2010-09-03 16:01:12+00:00,4233000.0,0.48,0.48,,0.48,,777000.0,21908000.0,21908000.0,21908000.0,,138835000.0,285230000.0,-155000.0,0.0,7737000.0,462000.0,100038000.0,138835000.0,146395000.0,11085000.0,112470000.0,33925000.0,-11240000.0,22685000.0,285230000.0,45600000.0,45180000.0,45694000.0
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q4,2010-08-01,2010-10-31,,4617000.0,1.06,1.06,,1.03,,5679000.0,48197000.0,48197000.0,48197000.0,,125872000.0,313353000.0,-643000.0,,10487000.0,,109874000.0,125872000.0,187481000.0,7984000.0,124978000.0,62503000.0,-8627000.0,53876000.0,313353000.0,45500000.0,45530000.0,46505000.0
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,FY,2009-11-01,2010-10-31,2012-12-19 19:21:01+00:00,18056000.0,2.48,2.48,,2.43,,11623000.0,112803000.0,112803000.0,112803000.0,0.0,481794000.0,1158517000.0,-28818000.0,,35274000.0,424000.0,433057000.0,481794000.0,676723000.0,36668000.0,486811000.0,189912000.0,-65486000.0,124426000.0,1158517000.0,45500000.0,45530000.0,46505000.0
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q3YTD,2009-11-01,2010-07-31,,13439000.0,1.42,1.42,,1.4,,5944000.0,64606000.0,64606000.0,64606000.0,,355922000.0,845164000.0,-28175000.0,,24787000.0,424000.0,323183000.0,355922000.0,489242000.0,28684000.0,361833000.0,127409000.0,-56859000.0,70550000.0,845164000.0,45700000.0,45605000.0,46402000.0
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q3,2010-05-01,2010-07-31,2011-09-02 17:22:31+00:00,4723000.0,0.87,0.87,,0.86,,3925000.0,39727000.0,39727000.0,39727000.0,,119649000.0,295635000.0,985000.0,0.0,8588000.0,14000.0,111265000.0,119649000.0,175986000.0,8729000.0,124590000.0,51396000.0,-7744000.0,43652000.0,295635000.0,45700000.0,45605000.0,46402000.0
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q2YTD,2009-11-01,2010-04-30,,8716000.0,0.55,0.55,,0.54,,2019000.0,24879000.0,24879000.0,24879000.0,,236273000.0,549529000.0,-29160000.0,,16199000.0,410000.0,211918000.0,236273000.0,313256000.0,19955000.0,237243000.0,76013000.0,-49115000.0,26898000.0,549529000.0,44600000.0,45481000.0,46367000.0
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q2,2010-02-01,2010-04-30,2011-06-03 16:06:50+00:00,4499000.0,0.1,0.1,,0.1,,-1984000.0,4456000.0,4456000.0,4456000.0,,125778000.0,289271000.0,-26832000.0,0.0,8573000.0,47000.0,111340000.0,125778000.0,163493000.0,9730000.0,124459000.0,39034000.0,-36562000.0,2472000.0,289271000.0,44600000.0,45481000.0,46367000.0
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q1,2009-11-01,2010-01-31,2011-03-04 16:09:53+00:00,4217000.0,0.45,0.45,,0.44,,4003000.0,20423000.0,20423000.0,20423000.0,,110495000.0,260258000.0,-2328000.0,0.0,7626000.0,363000.0,100578000.0,110495000.0,149763000.0,10225000.0,112784000.0,36979000.0,-12553000.0,24426000.0,260258000.0,45400000.0,45293000.0,46123000.0
