company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2008.0,FY,2007-11-01,2008-10-31,2010-12-17 16:08:16+00:00,,11568000.0,48616000.0,82185000.0,-257000.0,-78257000.0,6250000.0,894220000.0,31204000.0,-128757000.0,96528000.0,31204000.0,-128757000.0,96528000.0,-1282000.0,63956000.0,63956000.0,28644000.0,1758000.0,-3872000.0,-2699000.0,-124885000.0,-868325000.0,,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2009.0,Q4,2009-08-01,2009-10-31,,,6359000.0,42999000.0,24609000.0,14000.0,20616000.0,1116000.0,151942000.0,-57709000.0,-20639000.0,78476000.0,-57709000.0,-20639000.0,78476000.0,142000.0,30118000.0,30118000.0,3133000.0,,-675000.0,-1357000.0,-19964000.0,-209441000.0,31000.0,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2009.0,FY,2008-11-01,2009-10-31,2011-12-16 16:17:25+00:00,,6359000.0,42999000.0,92602000.0,236000.0,4489000.0,1116000.0,736467000.0,-122739000.0,-98637000.0,223128000.0,-122739000.0,-98637000.0,223128000.0,1988000.0,100548000.0,100548000.0,25489000.0,135000.0,-4731000.0,-2712000.0,-93906000.0,-857745000.0,,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2009.0,Q3YTD,2008-11-01,2009-07-31,2010-09-03 16:01:12+00:00,,,,67993000.0,222000.0,-16127000.0,,584525000.0,-65030000.0,-77998000.0,144652000.0,-65030000.0,-77998000.0,144652000.0,1846000.0,70430000.0,70430000.0,22356000.0,135000.0,-4056000.0,-1355000.0,-73942000.0,-648304000.0,-31000.0,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q4,2010-08-01,2010-10-31,,,8603000.0,36658000.0,23216000.0,145000.0,20363000.0,5657000.0,206715000.0,-31248000.0,-33174000.0,64610000.0,-31248000.0,-33174000.0,64610000.0,333000.0,48198000.0,48198000.0,-27167000.0,,-405000.0,-1370000.0,-32769000.0,-242250000.0,,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,FY,2009-11-01,2010-10-31,2012-12-19 19:21:01+00:00,,8603000.0,36658000.0,94001000.0,149000.0,44214000.0,11096000.0,576222000.0,-161567000.0,-106604000.0,267663000.0,-161567000.0,-106604000.0,267663000.0,-359000.0,112803000.0,112803000.0,16645000.0,407000.0,-32847000.0,-2732000.0,-73757000.0,-746560000.0,0.0,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q3TTM,2009-08-01,2010-07-31,,,6359000.0,42999000.0,95394000.0,18000.0,44467000.0,6555000.0,521449000.0,-188028000.0,-94069000.0,281529000.0,-188028000.0,-94069000.0,281529000.0,-550000.0,94723000.0,94723000.0,46945000.0,407000.0,-33117000.0,-2719000.0,-60952000.0,-713751000.0,31000.0,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q3,2010-05-01,2010-07-31,,,,,23888000.0,3000.0,3351000.0,2732000.0,84823000.0,-63545000.0,-18340000.0,75293000.0,-63545000.0,-18340000.0,75293000.0,-6589000.0,39727000.0,39727000.0,8327000.0,,-1471000.0,,-16869000.0,-151100000.0,,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q3YTD,2009-11-01,2010-07-31,2011-09-02 17:22:31+00:00,,,,70785000.0,4000.0,23851000.0,5439000.0,369507000.0,-130319000.0,-73430000.0,203053000.0,-130319000.0,-73430000.0,203053000.0,-692000.0,64605000.0,64605000.0,43812000.0,407000.0,-32442000.0,-1362000.0,-40988000.0,-504310000.0,,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q2,2010-02-01,2010-04-30,,,,,23992000.0,5000.0,19855000.0,1788000.0,163930000.0,-29944000.0,-33672000.0,71618000.0,-29944000.0,-33672000.0,71618000.0,8007000.0,4455000.0,4455000.0,23316000.0,,-22464000.0,-1362000.0,-11208000.0,-194300000.0,,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q2YTD,2009-11-01,2010-04-30,2011-06-03 16:06:50+00:00,,,,46897000.0,1000.0,20500000.0,2707000.0,284684000.0,-66774000.0,-55090000.0,127760000.0,-66774000.0,-55090000.0,127760000.0,5897000.0,24878000.0,24878000.0,35485000.0,407000.0,-30971000.0,-1362000.0,-24119000.0,-353210000.0,,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2010.0,Q1,2009-11-01,2010-01-31,2011-03-04 16:09:53+00:00,,,,22905000.0,-4000.0,645000.0,919000.0,120754000.0,-36830000.0,-21418000.0,56142000.0,-36830000.0,-21418000.0,56142000.0,-2110000.0,20423000.0,20423000.0,12169000.0,407000.0,-8507000.0,,-12911000.0,-158910000.0,,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2011.0,FY,2010-11-01,2011-10-31,2013-12-20 16:09:34+00:00,,12207000.0,25629000.0,98149000.0,-131000.0,29126000.0,82035000.0,1437842000.0,-172873000.0,-161675000.0,337031000.0,-172873000.0,-161675000.0,336281000.0,1602000.0,175430000.0,175430000.0,34326000.0,2895000.0,-58010000.0,-2816000.0,-103665000.0,-1692829000.0,0.0,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2011.0,Q3TTM,2010-08-01,2011-07-31,,,8603000.0,36658000.0,95026000.0,468000.0,19939000.0,82531000.0,1383720000.0,-140441000.0,-145296000.0,289901000.0,-140441000.0,-145296000.0,289901000.0,4632000.0,166990000.0,166990000.0,7946000.0,2895000.0,-41371000.0,-2755000.0,-103925000.0,-1606832000.0,,
Cooper Companies Inc,COO,QJKMVPIGLH7530PCUE20,711404,2011.0,Q3,2011-05-01,2011-07-31,,,,,25405000.0,-73000.0,14487000.0,40709000.0,139540000.0,-64447000.0,-23507000.0,87469000.0,-64447000.0,-23507000.0,87469000.0,-558000.0,44217000.0,44217000.0,3360000.0,2895000.0,-4367000.0,,-19140000.0,-247591000.0,,
