company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otherrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
H & R Block Inc,HRB,,12659,2008.0,FY,2007-05-01,2008-04-30,2010-06-28 19:07:51+00:00,,-0.95,-0.95,0.56,,-0.95,,289124000.0,,-308647000.0,445947000.0,-754594000.0,-308647000.0,2588193000.0,3393906000.0,,25532000.0,541166000.0,788898000.0,2588193000.0,1346879000.0,,151558000.0,788898000.0,557981000.0,177090000.0,735071000.0,3935072000.0,324900000.0,324900000.0,324900000.0
H & R Block Inc,HRB,,12659,2009.0,Q4,2009-02-01,2009-04-30,,,1.31,1.31,0.15,,1.31,,470245000.0,,706903000.0,707809000.0,-906000.0,706903000.0,1112748000.0,2081162000.0,,2303000.0,324573000.0,178254000.0,1112748000.0,1292987000.0,,61018000.0,178254000.0,1114733000.0,63321000.0,1178054000.0,2405735000.0,332787000.0,332787000.0,332787000.0
H & R Block Inc,HRB,,12659,2009.0,FY,2008-05-01,2009-04-30,2011-06-23 17:07:05+00:00,,1.45,1.45,0.59,,1.45,,326315000.0,,485673000.0,513055000.0,-27382000.0,485673000.0,2596218000.0,3437906000.0,,501000.0,491155000.0,648490000.0,2596218000.0,1332843000.0,,154516000.0,648490000.0,684353000.0,155017000.0,839370000.0,3929061000.0,332787000.0,332787000.0,332787000.0
H & R Block Inc,HRB,,12659,2009.0,Q3YTD,2008-05-01,2009-01-31,,,0.14,0.14,0.44,,0.14,,-143930000.0,,-221230000.0,-194754000.0,-26476000.0,-221230000.0,1483470000.0,1356744000.0,,-1802000.0,166582000.0,470236000.0,1483470000.0,39856000.0,,93498000.0,470236000.0,-430380000.0,91696000.0,-338684000.0,1523326000.0,338300000.0,337338000.0,338687000.0
H & R Block Inc,HRB,,12659,2009.0,Q3,2008-11-01,2009-01-31,2010-03-08 17:26:51+00:00,,0.14,0.14,0.15,,0.14,,34909000.0,,47363000.0,66830000.0,-19467000.0,47363000.0,684567000.0,799687000.0,,1674000.0,135155000.0,208814000.0,684567000.0,250275000.0,,58604000.0,208814000.0,41461000.0,60278000.0,101739000.0,934842000.0,338300000.0,337338000.0,338687000.0
H & R Block Inc,HRB,,12659,2009.0,Q2YTD,2008-05-01,2008-10-31,,,,,0.29,,,,-178839000.0,,-268593000.0,-261584000.0,-7009000.0,-268593000.0,798903000.0,557057000.0,,-3476000.0,31427000.0,261422000.0,798903000.0,-210419000.0,,34894000.0,261422000.0,-471841000.0,31418000.0,-440423000.0,588484000.0,329810000.0,329810000.0,329810000.0
H & R Block Inc,HRB,,12659,2009.0,Q2,2008-08-01,2008-10-31,2009-12-09 17:26:25+00:00,,,,0.15,,,,-94292000.0,,-135874000.0,-133161000.0,-2713000.0,-135874000.0,438765000.0,316337000.0,,-2121000.0,18085000.0,138036000.0,438765000.0,-104343000.0,,17047000.0,138036000.0,-242379000.0,14926000.0,-227453000.0,334422000.0,329810000.0,329810000.0,329810000.0
H & R Block Inc,HRB,,12659,2009.0,Q1,2008-05-01,2008-07-31,2009-09-04 17:21:13+00:00,,,,0.14,,,,-84547000.0,,-132719000.0,-128423000.0,-4296000.0,-132719000.0,360138000.0,240720000.0,,-1355000.0,13342000.0,123386000.0,360138000.0,-106076000.0,,17847000.0,123386000.0,-229462000.0,16492000.0,-212970000.0,254062000.0,327141000.0,327141000.0,327141000.0
H & R Block Inc,HRB,,12659,2010.0,Q4,2010-02-01,2010-04-30,,,2.07,2.07,0.15,,2.06,,391080000.0,,690828000.0,658609000.0,32219000.0,690828000.0,-102284000.0,1120278000.0,389725000.0,1604000.0,312505000.0,53041000.0,287441000.0,1145342000.0,89830000.0,45614000.0,53041000.0,1092301000.0,-42612000.0,1049689000.0,1432783000.0,332283000.0,332283000.0,332283000.0
H & R Block Inc,HRB,,12659,2010.0,FY,2009-05-01,2010-04-30,2012-06-26 17:18:58+00:00,,1.44,1.44,0.6,,1.43,,268291000.0,,479242000.0,455123000.0,24119000.0,479242000.0,1340862000.0,2407548000.0,389725000.0,9600000.0,488927000.0,480604000.0,1730587000.0,1165888000.0,89830000.0,118360000.0,480604000.0,685284000.0,38130000.0,723414000.0,2896475000.0,332283000.0,332283000.0,332283000.0
