company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
H & R Block Inc,HRB,,12659,2008.0,FY,2007-05-01,2008-04-30,2010-06-28 19:07:51+00:00,-24872000.0,-238803000.0,173181000.0,119514000.0,,,83051000.0,,13237999000.0,-1493630000.0,102299000.0,45715000.0,-64439000.0,1044990000.0,213045000.0,-1558069000.0,1147289000.0,258760000.0,-152020000.0,-308647000.0,-308647000.0,151797000.0,-322069000.0,14738000.0,-183628000.0,-11794000.0,-101554000.0,-14218652000.0,-7280000.0,225781000.0,
H & R Block Inc,HRB,,12659,2009.0,FY,2008-05-01,2009-04-30,2011-06-23 17:07:05+00:00,-293805000.0,-1593000.0,89541000.0,123631000.0,18865000.0,,109171000.0,141415000.0,4744786000.0,-45016000.0,-249506000.0,926861000.0,4783000.0,255066000.0,97578000.0,-40233000.0,5560000.0,1024439000.0,989766000.0,485673000.0,485673000.0,208386000.0,135951000.0,22002000.0,-198685000.0,-5092000.0,-97880000.0,-4762294000.0,-106189000.0,106404000.0,
H & R Block Inc,HRB,,12659,2009.0,Q3,2008-11-01,2009-01-31,,0.0,-112916000.0,32178000.0,,0.0,,,-108000.0,1805787000.0,2298133000.0,,,,,,2298133000.0,35075000.0,-1757631000.0,575577000.0,,,,1375371000.0,0.0,-51014000.0,0.0,0.0,-828983000.0,-2920000.0,0.0,0.0
H & R Block Inc,HRB,,12659,2009.0,Q3YTD,2008-05-01,2009-01-31,2010-03-08 17:26:51+00:00,-290868000.0,-13006000.0,70891000.0,,11556000.0,,,141450000.0,2582825000.0,3036811000.0,-268792000.0,,4783000.0,255066000.0,,3041594000.0,-13726000.0,-2423562000.0,604306000.0,,,,1396475000.0,12283000.0,-147569000.0,,-73913000.0,-928983000.0,-7387000.0,72150000.0,
H & R Block Inc,HRB,,12659,2009.0,Q2,2008-08-01,2008-10-31,,,16799000.0,11455000.0,,4709000.0,,,113051000.0,762038000.0,809259000.0,-16186000.0,,4783000.0,-48917000.0,,814042000.0,-64871000.0,-301008000.0,448163000.0,,,,29899000.0,-8009000.0,-49765000.0,-54501000.0,14648000.0,-45613000.0,-351000.0,-31619000.0,58586000.0
H & R Block Inc,HRB,,12659,2009.0,Q2YTD,2008-05-01,2008-10-31,2009-12-09 17:26:25+00:00,,99910000.0,38713000.0,,4709000.0,0.0,,141558000.0,777038000.0,738678000.0,-116000.0,,4783000.0,-48917000.0,,743461000.0,-48801000.0,-665931000.0,28729000.0,,,,21104000.0,-8910000.0,-96555000.0,-54501000.0,,-100000000.0,-4467000.0,,58586000.0
H & R Block Inc,HRB,,12659,2009.0,Q1,2008-05-01,2008-07-31,2009-09-04 17:21:13+00:00,,83111000.0,27258000.0,,,0.0,,28507000.0,15000000.0,-70581000.0,16070000.0,,,,,-70581000.0,16070000.0,-364923000.0,-419434000.0,,,,-8795000.0,-901000.0,-46790000.0,,-14648000.0,-54387000.0,-4116000.0,31619000.0,
H & R Block Inc,HRB,,12659,2010.0,FY,2009-05-01,2010-04-30,2012-06-26 17:18:58+00:00,-10539000.0,359559000.0,78305000.0,126901000.0,66623000.0,11678000.0,-224339000.0,,5648740000.0,-481118000.0,31353000.0,587469000.0,,,,-481118000.0,31353000.0,587469000.0,149382000.0,479242000.0,479242000.0,205665000.0,34221000.0,-17441000.0,-200899000.0,-5365000.0,-90515000.0,-5708930000.0,-254250000.0,88590000.0,
H & R Block Inc,HRB,,12659,2010.0,Q3,2009-11-01,2010-01-31,,-4222000.0,73347000.0,23814000.0,,66760000.0,1115000.0,,,2657436000.0,2209320000.0,-52191000.0,,,,,2209320000.0,-52191000.0,-1862810000.0,295434000.0,,,,734157000.0,-76188000.0,-50533000.0,,-55962000.0,-981324000.0,-150416000.0,17421000.0,
H & R Block Inc,HRB,,12659,2010.0,Q3YTD,2009-05-01,2010-01-31,2011-03-09 16:57:28+00:00,-10828000.0,269774000.0,61118000.0,,66760000.0,10336000.0,,,2657436000.0,2720551000.0,-8911000.0,,,,,2720551000.0,-8911000.0,-2648962000.0,73014000.0,,,,1380841000.0,-57715000.0,-151317000.0,,-63242000.0,-1012208000.0,-154201000.0,56114000.0,
H & R Block Inc,HRB,,12659,2010.0,Q2YTD,2009-05-01,2009-10-31,2010-12-08 15:37:57+00:00,-6606000.0,196427000.0,37304000.0,,,9221000.0,,,0.0,511231000.0,43280000.0,,,,,511231000.0,43280000.0,-786152000.0,-222420000.0,,,,646684000.0,18473000.0,-100784000.0,,-7280000.0,-30884000.0,-3785000.0,38693000.0,
H & R Block Inc,HRB,,12659,2010.0,Q2,2009-08-01,2009-10-31,,-5121000.0,40623000.0,11136000.0,,,2158000.0,,,,727437000.0,27920000.0,,,,,727437000.0,27920000.0,-331575000.0,425940000.0,,,,783232000.0,12132000.0,-50497000.0,,1480000.0,-4996000.0,-302000.0,19429000.0,
H & R Block Inc,HRB,,12659,2010.0,Q1,2009-05-01,2009-07-31,2010-09-13 19:56:03+00:00,-1485000.0,155804000.0,26168000.0,,,7063000.0,,,,-216206000.0,15360000.0,,,,,-216206000.0,15360000.0,-454577000.0,-648360000.0,,,,-136548000.0,6341000.0,-50287000.0,,-8760000.0,-25888000.0,-3483000.0,19264000.0,
H & R Block Inc,HRB,,12659,2011.0,FY,2010-05-01,2011-04-30,2013-06-26 16:47:35+00:00,-54171000.0,244917000.0,73791000.0,121633000.0,71083000.0,5844000.0,-233391000.0,,4818766000.0,-534391000.0,-110157000.0,512503000.0,,,,-534391000.0,-110157000.0,512503000.0,-126201000.0,406110000.0,406110000.0,218151000.0,-11016000.0,-554000.0,-186802000.0,-138824000.0,-62959000.0,-4871805000.0,-283534000.0,75268000.0,
H & R Block Inc,HRB,,12659,2011.0,Q3,2010-11-01,2011-01-31,,-7522000.0,56113000.0,38380000.0,,3464000.0,2109000.0,,,3172113000.0,1480760000.0,-19508000.0,,,,,1480760000.0,-19508000.0,-957417000.0,505944000.0,,,,922892000.0,-13744000.0,-45858000.0,,-16193000.0,-2568363000.0,-24000.0,14487000.0,
H & R Block Inc,HRB,,12659,2011.0,Q3YTD,2010-05-01,2011-01-31,2012-03-07 17:14:11+00:00,-50832000.0,159916000.0,69313000.0,,62298000.0,4330000.0,,,3286603000.0,1198876000.0,-36143000.0,,,,,1198876000.0,-36143000.0,-1505418000.0,-338355000.0,,,,1001408000.0,-41727000.0,-140926000.0,,-51198000.0,-2664715000.0,-283494000.0,45316000.0,
H & R Block Inc,HRB,,12659,2011.0,Q2,2010-08-01,2010-10-31,,-10084000.0,39152000.0,3668000.0,,32447000.0,4453000.0,,,114490000.0,67065000.0,-10632000.0,,,,,67065000.0,-10632000.0,-199750000.0,-138864000.0,,,,198417000.0,-19835000.0,-46376000.0,,-26371000.0,-80365000.0,-119101000.0,13211000.0,
H & R Block Inc,HRB,,12659,2011.0,Q2YTD,2010-05-01,2010-10-31,2011-12-05 17:10:50+00:00,-43310000.0,103803000.0,30933000.0,,58834000.0,2221000.0,,,114490000.0,-281884000.0,-16635000.0,,,,,-281884000.0,-16635000.0,-548001000.0,-844299000.0,,,,78516000.0,-27983000.0,-95068000.0,,-35005000.0,-96352000.0,-283470000.0,30829000.0,
H & R Block Inc,HRB,,12659,2011.0,Q1,2010-05-01,2010-07-31,2011-09-01 17:01:29+00:00,-33226000.0,64651000.0,27265000.0,,26387000.0,-2232000.0,,,,-348949000.0,-6003000.0,,,,,-348949000.0,-6003000.0,-348251000.0,-705435000.0,,,,-119901000.0,-8148000.0,-48692000.0,,-8634000.0,-15987000.0,-164369000.0,17618000.0,
H & R Block Inc,HRB,,12659,2012.0,FY,2011-05-01,2012-04-30,2014-06-19 16:08:47+00:00,-15258000.0,218444000.0,69681000.0,103576000.0,560499000.0,-2364000.0,-233743000.0,,664167000.0,-445062000.0,351867000.0,362049000.0,,,,-445062000.0,351867000.0,362049000.0,266490000.0,265932000.0,265932000.0,226284000.0,-13816000.0,29732000.0,-208801000.0,-256173000.0,-82457000.0,-706020000.0,-180592000.0,115524000.0,
H & R Block Inc,HRB,,12659,2012.0,Q3,2011-11-01,2012-01-31,,-7858000.0,40639000.0,27518000.0,,496019000.0,2589000.0,,,566189000.0,993277000.0,450650000.0,,,,,993277000.0,450650000.0,-800143000.0,646373000.0,,,,864643000.0,-13323000.0,-58612000.0,-22855000.0,-31039000.0,-378599000.0,-344000.0,29706000.0,
H & R Block Inc,HRB,,12659,2012.0,Q3YTD,2011-05-01,2012-01-31,2013-03-07 17:19:37+00:00,-16022000.0,163471000.0,55266000.0,,533055000.0,-3446000.0,,,644168000.0,603827000.0,323530000.0,,,,,603827000.0,323530000.0,-1382771000.0,-458860000.0,,,,734928000.0,-19873000.0,-150058000.0,-178014000.0,-71549000.0,-444645000.0,-180566000.0,75933000.0,
