company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:26:04+00:00,,-128873000.0,373344000.0,-76332000.0,0.0,2030768000.0,1013344000.0,-1782992000.0,773290000.0,1013344000.0,-1782992000.0,773290000.0,3642000.0,372376000.0,372376000.0,232775000.0,17719000.0,,-30779000.0,,-2203866000.0,-782940000.0,-221424000.0,,420874000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2008.0,Q4,2008-10-01,2008-12-31,,,134390000.0,151563000.0,164878000.0,,233314000.0,30852000.0,-266691000.0,217359000.0,30852000.0,-266691000.0,217359000.0,-18480000.0,-63151000.0,-63151000.0,-170321000.0,46000.0,,-24715000.0,,-416259000.0,-82257000.0,-95536000.0,,149568000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:21:57+00:00,,-124062000.0,474608000.0,26827000.0,165978000.0,1032998000.0,153713000.0,-1151410000.0,1033863000.0,153713000.0,-1151410000.0,1033863000.0,36166000.0,231655000.0,231655000.0,424835000.0,642000.0,,-44552000.0,,-1444330000.0,-819616000.0,-181737000.0,,292920000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2008.0,Q3,2008-07-01,2008-09-30,,,-24227000.0,121265000.0,-27866000.0,,170431000.0,111001000.0,-393238000.0,305772000.0,111001000.0,-393238000.0,305772000.0,23535000.0,3188000.0,3188000.0,233412000.0,2203000.0,,-2944000.0,,-390817000.0,,-58689000.0,,-2421000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 17:05:09+00:00,,-71821000.0,338153000.0,-15722000.0,165978000.0,799684000.0,122861000.0,-884719000.0,816504000.0,122861000.0,-884719000.0,816504000.0,54646000.0,294806000.0,294806000.0,271088000.0,8389000.0,,-19837000.0,,-1028071000.0,-745152000.0,-86201000.0,,143352000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-12 15:03:57+00:00,,-47594000.0,216888000.0,12144000.0,165978000.0,629253000.0,11860000.0,-491481000.0,510732000.0,11860000.0,-491481000.0,510732000.0,31111000.0,291618000.0,291618000.0,37676000.0,6186000.0,,-16893000.0,,-637254000.0,-745152000.0,-27512000.0,,145773000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2009.0,Q4,2009-10-01,2009-12-31,,,-160280000.0,54727000.0,-17927000.0,61133000.0,629573000.0,-62487000.0,-97994000.0,132234000.0,-62487000.0,-97994000.0,132234000.0,-28247000.0,54230000.0,54230000.0,201484000.0,4621000.0,,-9811000.0,,-125347000.0,-747895000.0,-108000.0,,27353000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 15:53:24+00:00,,-110267000.0,564149000.0,-128334000.0,61133000.0,1015842000.0,-153043000.0,-410985000.0,543059000.0,-153043000.0,-410985000.0,543059000.0,-20969000.0,-42267000.0,-42267000.0,259778000.0,8993000.0,,-29382000.0,,-462585000.0,-1187708000.0,-21921000.0,,51600000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2009.0,Q3TTM,2008-10-01,2009-09-30,,,184403000.0,660985000.0,54471000.0,,619583000.0,-59704000.0,-579682000.0,628184000.0,-59704000.0,-579682000.0,628184000.0,-11202000.0,-159648000.0,-159648000.0,-112027000.0,4418000.0,,-44286000.0,,-753497000.0,-522070000.0,-117349000.0,,173815000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2009.0,Q3,2009-07-01,2009-09-30,,,17261000.0,155335000.0,21717000.0,,214269000.0,-118021000.0,-53184000.0,162497000.0,-118021000.0,-53184000.0,162497000.0,-8708000.0,6429000.0,6429000.0,-38245000.0,5755000.0,,-4992000.0,,-73689000.0,-331639000.0,-1414000.0,,20505000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-01 15:37:49+00:00,,-60888000.0,509422000.0,-101504000.0,150000.0,386269000.0,-90556000.0,-312991000.0,410825000.0,-90556000.0,-312991000.0,410825000.0,7278000.0,-96497000.0,-96497000.0,160292000.0,4372000.0,,-19721000.0,,-337238000.0,-439813000.0,-21813000.0,,24247000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2009.0,Q2TTM,2008-07-01,2009-06-30,,,142915000.0,626915000.0,4888000.0,,575745000.0,169318000.0,-919736000.0,771459000.0,169318000.0,-919736000.0,771459000.0,21041000.0,-162889000.0,-162889000.0,159630000.0,866000.0,,-42238000.0,,-1070625000.0,-190431000.0,-174624000.0,,150889000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-30 14:11:22+00:00,,-40943000.0,346817000.0,-107111000.0,150000.0,172000000.0,27465000.0,-259807000.0,248328000.0,27465000.0,-259807000.0,248328000.0,15986000.0,-98330000.0,-98330000.0,147895000.0,-1383000.0,,-14729000.0,,-263549000.0,-108174000.0,-20399000.0,,3742000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2010.0,Q4,2010-10-01,2010-12-31,,,-101560000.0,45936000.0,-99416000.0,,92558000.0,40348000.0,-390654000.0,383301000.0,40348000.0,-390654000.0,383301000.0,32995000.0,82126000.0,82126000.0,456215000.0,-24875000.0,,-11382000.0,-72864000.0,-333828000.0,-15690000.0,-263000.0,,16038000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2010.0,FY,2010-01-01,2010-12-31,2013-02-13 16:03:08+00:00,0.0,-50362000.0,499856000.0,350460000.0,1151000.0,292342000.0,-246375000.0,-954856000.0,1285023000.0,-246375000.0,-954856000.0,1285023000.0,83792000.0,645995000.0,645995000.0,-160926000.0,-14107000.0,,-36325000.0,-72864000.0,-1195772000.0,-475397000.0,-14039000.0,,313780000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2010.0,Q3TTM,2009-10-01,2010-09-30,,,-109082000.0,508647000.0,431949000.0,62284000.0,829357000.0,-349210000.0,-662196000.0,1033956000.0,-349210000.0,-662196000.0,1033956000.0,22550000.0,618099000.0,618099000.0,-415657000.0,15389000.0,,-34754000.0,,-987291000.0,-1207602000.0,-13884000.0,,325095000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2010.0,Q3,2010-07-01,2010-09-30,,,17229000.0,152838000.0,31731000.0,,16787000.0,-2200000.0,-325829000.0,208508000.0,-2200000.0,-325829000.0,208508000.0,-119521000.0,114574000.0,114574000.0,-107864000.0,3226000.0,,-6709000.0,,-326259000.0,-15130000.0,-374000.0,,430000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 16:51:03+00:00,,-39108000.0,435833000.0,413077000.0,1151000.0,199784000.0,-286723000.0,-564202000.0,901722000.0,-286723000.0,-564202000.0,901722000.0,50797000.0,563868000.0,563868000.0,-471948000.0,-9900000.0,,-24943000.0,-15651000.0,-846293000.0,-439039000.0,-13776000.0,,297742000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2010.0,Q2TTM,2009-07-01,2010-06-30,,,-109050000.0,511144000.0,421935000.0,62284000.0,1026839000.0,-465031000.0,-389551000.0,987945000.0,-465031000.0,-389551000.0,987945000.0,133363000.0,509954000.0,509954000.0,-346038000.0,17918000.0,,-33037000.0,,-734721000.0,-1524111000.0,-14924000.0,,345170000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2010.0,Q2,2010-04-01,2010-06-30,,,46828000.0,156654000.0,247152000.0,,95843000.0,-158875000.0,-71830000.0,393851000.0,-158875000.0,-71830000.0,393851000.0,163146000.0,188689000.0,188689000.0,-245472000.0,-4564000.0,,-11564000.0,,-334157000.0,-238166000.0,-424000.0,,262327000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-05 14:28:16+00:00,,-26021000.0,288737000.0,373310000.0,1151000.0,182997000.0,-284523000.0,-238373000.0,693214000.0,-284523000.0,-238373000.0,693214000.0,170318000.0,449295000.0,449295000.0,-392107000.0,-12783000.0,,-18234000.0,-108000.0,-535577000.0,-424252000.0,-13402000.0,,297312000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2010.0,Q1,2010-01-01,2010-03-31,2011-05-09 18:05:09+00:00,,-12859000.0,144428000.0,170993000.0,1151000.0,87154000.0,-125648000.0,-166543000.0,299363000.0,-125648000.0,-166543000.0,299363000.0,7172000.0,260606000.0,260606000.0,-263805000.0,12106000.0,,-6670000.0,,-201528000.0,-206411000.0,-12978000.0,,34985000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,Q4,2011-10-01,2011-12-31,,,-35034000.0,28772000.0,-17457000.0,607136000.0,94000000.0,533177000.0,-705934000.0,499676000.0,533177000.0,-705934000.0,499676000.0,326919000.0,-113188000.0,-113188000.0,636583000.0,2572000.0,,-11502000.0,,-705340000.0,-159000000.0,-29000.0,,-594000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,FY,2011-01-01,2011-12-31,2014-02-26 18:21:36+00:00,0.0,-3509000.0,489579000.0,212661000.0,607136000.0,196616000.0,457397000.0,-1560787000.0,1529714000.0,457397000.0,-1560787000.0,1529714000.0,426324000.0,881914000.0,881914000.0,-50931000.0,33882000.0,,-36258000.0,-89620000.0,-2290211000.0,-303624000.0,-40355000.0,,819044000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,Q3TTM,2010-10-01,2011-09-30,,,-70035000.0,506743000.0,130702000.0,,195174000.0,-35432000.0,-1245507000.0,1413339000.0,-35432000.0,-1245507000.0,1413339000.0,132400000.0,1077228000.0,1077228000.0,-231299000.0,6435000.0,,-36138000.0,-162484000.0,-1918699000.0,-160314000.0,-40589000.0,,835676000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,Q3,2011-07-01,2011-09-30,,,10370000.0,166536000.0,226799000.0,,30006000.0,5561000.0,-613001000.0,465584000.0,5561000.0,-613001000.0,465584000.0,-141856000.0,385598000.0,385598000.0,-323719000.0,3316000.0,,-6578000.0,-6763000.0,-612356000.0,-20075000.0,-1108000.0,,6118000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-05 17:23:12+00:00,0.0,21317000.0,387320000.0,251735000.0,,102616000.0,-75780000.0,-854853000.0,1030038000.0,-75780000.0,-854853000.0,1030038000.0,99405000.0,995102000.0,995102000.0,-625436000.0,31310000.0,,-24756000.0,-89620000.0,-1584871000.0,-144624000.0,-40326000.0,,819638000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,Q2TTM,2010-07-01,2011-06-30,,,-63176000.0,493045000.0,-64366000.0,,181955000.0,-43193000.0,-958335000.0,1156263000.0,-43193000.0,-958335000.0,1156263000.0,154735000.0,806204000.0,806204000.0,-15444000.0,6345000.0,,-36269000.0,-155721000.0,-1632602000.0,-155369000.0,-39855000.0,,829988000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,Q2,2011-04-01,2011-06-30,,,10981000.0,153898000.0,212125000.0,,12000000.0,-13450000.0,-576020000.0,421240000.0,-13450000.0,-576020000.0,421240000.0,-168230000.0,265700000.0,265700000.0,-221464000.0,-406000.0,37048000.0,-11441000.0,-82857000.0,-533261000.0,-10067000.0,-3536000.0,,3050000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-06 18:19:18+00:00,0.0,-1135000.0,258345000.0,15149000.0,,72610000.0,-81341000.0,-241852000.0,564454000.0,-81341000.0,-241852000.0,564454000.0,241261000.0,609504000.0,609504000.0,-317409000.0,27994000.0,,-18178000.0,-82857000.0,-972515000.0,-124549000.0,-39218000.0,,813520000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,Q1TTM,2010-04-01,2011-03-31,,,-27329000.0,495801000.0,-29339000.0,,265798000.0,-188618000.0,-454145000.0,1128874000.0,-188618000.0,-454145000.0,1128874000.0,486111000.0,729193000.0,729193000.0,-39452000.0,2187000.0,-37048000.0,-36392000.0,-72864000.0,-1433498000.0,-383468000.0,-36743000.0,,1089265000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2011.0,Q1,2011-01-01,2011-03-31,2012-05-07 14:04:13+00:00,,-909000.0,126681000.0,-196585000.0,,60610000.0,-67891000.0,334168000.0,143214000.0,-67891000.0,334168000.0,143214000.0,409491000.0,343804000.0,343804000.0,-129777000.0,28400000.0,,-6737000.0,-37048000.0,-439254000.0,-114482000.0,-35682000.0,,810470000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2012.0,Q4,2012-10-01,2012-12-31,,-41000.0,-16711000.0,131936000.0,72262000.0,,168382000.0,155979000.0,-739911000.0,479530000.0,155979000.0,-739911000.0,479530000.0,-104402000.0,39880000.0,39880000.0,252163000.0,26492000.0,,-14002000.0,,-743397000.0,-18570000.0,-6323000.0,,3527000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2012.0,FY,2012-01-01,2012-12-31,2015-02-19 17:30:17+00:00,-297000000.0,57000000.0,689000000.0,260000000.0,0.0,1777000000.0,1111000000.0,-3256000000.0,1837000000.0,1111000000.0,-3256000000.0,1837000000.0,-308000000.0,243000000.0,243000000.0,588000000.0,64000000.0,,-46000000.0,0.0,-3055000000.0,-621000000.0,-63000000.0,,96000000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2012.0,Q3TTM,2011-10-01,2012-09-30,,-296959000.0,38677000.0,585836000.0,170281000.0,607136000.0,1702618000.0,1488198000.0,-3222023000.0,1857146000.0,1488198000.0,-3222023000.0,1857146000.0,123321000.0,89932000.0,89932000.0,972420000.0,40080000.0,,-43500000.0,,-3016943000.0,-761430000.0,-56706000.0,,91879000.0
Pioneer Natural Resources Co,PXD,FY8JBF7CCL2VE4F1B628,1038357,2012.0,Q3,2012-07-01,2012-09-30,,-985000.0,42741000.0,174725000.0,151123000.0,,269525000.0,278080000.0,-694023000.0,432060000.0,278080000.0,-694023000.0,432060000.0,16117000.0,21699000.0,21699000.0,41772000.0,19699000.0,,-9014000.0,,-722566000.0,-1770000.0,-360000.0,,29528000.0
