company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 17:23:23+00:00,5.7,5.7,2.12,932000000.0,5.69,,364000000.0,787000000.0,791000000.0,-4000000.0,971000000.0,-184000000.0,6444000000.0,8475000000.0,,58000000.0,357000000.0,-900000000.0,37000000.0,6444000000.0,2031000000.0,533000000.0,25000000.0,426000000.0,1605000000.0,-450000000.0,1155000000.0,8475000000.0,170400000.0,170000000.0,171000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2008.0,FY,2008-01-01,2008-12-31,2010-02-23 17:23:23+00:00,3.34,3.34,2.12,901000000.0,3.34,,288000000.0,553000000.0,531000000.0,22000000.0,546000000.0,7000000.0,7000000000.0,9329000000.0,,40000000.0,304000000.0,-128000000.0,-11000000.0,7000000000.0,2329000000.0,503000000.0,19000000.0,1066000000.0,1263000000.0,-444000000.0,819000000.0,9329000000.0,163500000.0,163000000.0,163000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 16:33:10+00:00,1.08,1.08,0.53,235000000.0,1.08,,97000000.0,178000000.0,170000000.0,8000000.0,177000000.0,1000000.0,1662000000.0,2338000000.0,,12000000.0,71000000.0,0.0,-5000000.0,1662000000.0,676000000.0,125000000.0,5000000.0,301000000.0,375000000.0,-108000000.0,267000000.0,2338000000.0,163900000.0,163000000.0,163000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2008.0,Q2,2008-04-01,2008-06-30,2009-08-28 12:45:18+00:00,0.17,0.17,0.53,216000000.0,0.17,,18000000.0,32000000.0,30000000.0,2000000.0,28000000.0,4000000.0,1032000000.0,2251000000.0,,9000000.0,78000000.0,14000000.0,754000000.0,1032000000.0,1219000000.0,122000000.0,4000000.0,1062000000.0,157000000.0,-109000000.0,48000000.0,2251000000.0,164700000.0,163000000.0,163000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,FY,2009-01-01,2009-12-31,2011-02-18 17:12:00+00:00,3.24,3.24,2.12,1020000000.0,3.24,,247000000.0,535000000.0,535000000.0,,532000000.0,3000000.0,5490000000.0,8014000000.0,,59000000.0,275000000.0,,-20000000.0,5490000000.0,2524000000.0,545000000.0,19000000.0,1275000000.0,1249000000.0,-467000000.0,782000000.0,8014000000.0,164200000.0,164000000.0,164000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,Q4,2009-10-01,2009-12-31,,1.81,1.81,0.53,282000000.0,1.81,,54000000.0,121000000.0,121000000.0,,120000000.0,1000000.0,1478000000.0,2121000000.0,,2000000.0,71000000.0,,-17000000.0,1478000000.0,643000000.0,136000000.0,2000000.0,336000000.0,307000000.0,-132000000.0,175000000.0,2121000000.0,164200000.0,164000000.0,164000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 15:57:25+00:00,0.92,0.92,0.53,266000000.0,0.92,,69000000.0,151000000.0,151000000.0,,151000000.0,,1289000000.0,1950000000.0,,20000000.0,63000000.0,,,1289000000.0,661000000.0,143000000.0,11000000.0,329000000.0,332000000.0,-112000000.0,220000000.0,1950000000.0,164100000.0,165000000.0,165000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.43,1.43,1.59,738000000.0,1.43,,193000000.0,414000000.0,414000000.0,,412000000.0,2000000.0,4012000000.0,5893000000.0,,57000000.0,204000000.0,,-3000000.0,4012000000.0,1881000000.0,409000000.0,17000000.0,939000000.0,942000000.0,-335000000.0,607000000.0,5893000000.0,164100000.0,165000000.0,165000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,Q2,2009-04-01,2009-06-30,2010-08-27 11:25:05+00:00,0.51,0.51,0.53,240000000.0,0.51,,27000000.0,84000000.0,84000000.0,,83000000.0,1000000.0,1172000000.0,1688000000.0,,27000000.0,61000000.0,,,1172000000.0,516000000.0,134000000.0,3000000.0,301000000.0,215000000.0,-104000000.0,111000000.0,1688000000.0,162700000.0,164000000.0,164000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.51,0.51,1.06,472000000.0,0.51,,124000000.0,263000000.0,263000000.0,,261000000.0,2000000.0,2723000000.0,3943000000.0,,37000000.0,141000000.0,,-3000000.0,2723000000.0,1220000000.0,266000000.0,6000000.0,610000000.0,610000000.0,-223000000.0,387000000.0,3943000000.0,162700000.0,164000000.0,164000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,Q1,2009-01-01,2009-03-31,2010-04-29 12:11:37+00:00,,,0.53,232000000.0,,,97000000.0,179000000.0,179000000.0,,178000000.0,1000000.0,1551000000.0,2255000000.0,,10000000.0,80000000.0,,-3000000.0,1551000000.0,704000000.0,132000000.0,3000000.0,309000000.0,395000000.0,-119000000.0,276000000.0,2255000000.0,,163000000.0,163000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2010.0,Q4,2010-10-01,2010-12-31,,2.27,2.27,0.56,237000000.0,2.27,,63000000.0,156000000.0,164000000.0,-8000000.0,152000000.0,4000000.0,1493000000.0,2141000000.0,,-7000000.0,75000000.0,,-20000000.0,1493000000.0,648000000.0,125000000.0,3000000.0,292000000.0,356000000.0,-129000000.0,227000000.0,2141000000.0,168000000.0,168000000.0,169000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2010.0,FY,2010-01-01,2010-12-31,2013-02-20 17:30:10+00:00,3.75,3.75,2.18,1012000000.0,3.74,,315000000.0,639000000.0,647000000.0,-8000000.0,630000000.0,9000000.0,5757000000.0,8525000000.0,,23000000.0,306000000.0,,-20000000.0,5757000000.0,2768000000.0,543000000.0,12000000.0,1298000000.0,1470000000.0,-508000000.0,962000000.0,8525000000.0,168000000.0,168000000.0,169000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2010.0,Q3,2010-07-01,2010-09-30,2010-10-29 15:57:25+00:00,0.97,0.97,0.56,271000000.0,0.96,,92000000.0,166000000.0,166000000.0,,163000000.0,3000000.0,1412000000.0,2139000000.0,,11000000.0,69000000.0,,1000000.0,1412000000.0,727000000.0,142000000.0,3000000.0,341000000.0,386000000.0,-128000000.0,258000000.0,2139000000.0,168000000.0,169000000.0,170000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.48,1.48,1.62,775000000.0,1.47,,252000000.0,483000000.0,483000000.0,,478000000.0,5000000.0,4264000000.0,6384000000.0,,30000000.0,231000000.0,,,4264000000.0,2120000000.0,418000000.0,9000000.0,1006000000.0,1114000000.0,-379000000.0,735000000.0,6384000000.0,168000000.0,169000000.0,170000000.0
