company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,assetretirementandlitigationobligation,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,dividendspayable,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2008.0,FY,,2008-12-31,2010-02-23 17:23:23+00:00,899000000.0,1832000000.0,119000000.0,7834000000.0,-165000000.0,2656000000.0,62000000.0,86000000.0,,3175000000.0,227000000.0,86000000.0,2037000000.0,20065000000.0,70000000.0,7679000000.0,595000000.0,539000000.0,12231000000.0,43000000.0,,2054000000.0,2305000000.0,115000000.0,242000000.0,803000000.0,,6214000000.0,783000000.0,86000000.0,2985000000.0,1106000000.0,316000000.0,24590000000.0,5995000000.0,3328000000.0,3013000000.0,5995000000.0,6038000000.0,18552000000.0,24590000000.0,9031000000.0,15539000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,FY,,2009-12-31,2011-02-18 17:12:00+00:00,723000000.0,1655000000.0,,8157000000.0,-147000000.0,2893000000.0,51000000.0,52000000.0,,3257000000.0,167000000.0,88000000.0,2024000000.0,20588000000.0,54000000.0,7319000000.0,598000000.0,509000000.0,12431000000.0,38000000.0,,2181000000.0,2168000000.0,113000000.0,410000000.0,722000000.0,114000000.0,6098000000.0,622000000.0,84000000.0,3168000000.0,998000000.0,,24195000000.0,6278000000.0,2877000000.0,2645000000.0,6278000000.0,6316000000.0,17879000000.0,24195000000.0,8887000000.0,15234000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,Q3,,2009-09-30,2009-10-30 16:33:10+00:00,578000000.0,1217000000.0,149000000.0,8110000000.0,-141000000.0,2787000000.0,54000000.0,83000000.0,,3235000000.0,226000000.0,87000000.0,2037000000.0,20505000000.0,57000000.0,7820000000.0,630000000.0,585000000.0,12395000000.0,36000000.0,,2179000000.0,2200000000.0,114000000.0,244000000.0,787000000.0,,6072000000.0,671000000.0,28000000.0,3142000000.0,375000000.0,271000000.0,23959000000.0,6236000000.0,2654000000.0,1976000000.0,6236000000.0,6272000000.0,17687000000.0,23959000000.0,8910000000.0,15711000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2009.0,Q2,,2009-06-30,2009-08-28 12:45:18+00:00,611000000.0,1281000000.0,117000000.0,7966000000.0,-145000000.0,2698000000.0,54000000.0,42000000.0,,3214000000.0,207000000.0,87000000.0,2037000000.0,20359000000.0,58000000.0,7889000000.0,610000000.0,459000000.0,12393000000.0,38000000.0,,2116000000.0,2211000000.0,117000000.0,158000000.0,893000000.0,,6145000000.0,672000000.0,69000000.0,3072000000.0,368000000.0,319000000.0,23895000000.0,6141000000.0,2535000000.0,2076000000.0,6141000000.0,6179000000.0,17716000000.0,23895000000.0,8967000000.0,15640000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2010.0,FY,,2010-12-31,2012-02-16 17:18:05+00:00,729000000.0,1753000000.0,,8582000000.0,-149000000.0,2975000000.0,43000000.0,65000000.0,,3440000000.0,139000000.0,95000000.0,2020000000.0,21574000000.0,67000000.0,7046000000.0,518000000.0,662000000.0,12992000000.0,45000000.0,,2707000000.0,2141000000.0,123000000.0,428000000.0,739000000.0,111000000.0,6009000000.0,468000000.0,120000000.0,3431000000.0,1075000000.0,,24896000000.0,6722000000.0,3167000000.0,2749000000.0,6722000000.0,6767000000.0,18129000000.0,24896000000.0,8737000000.0,15380000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2010.0,Q3,,2010-09-30,2010-10-29 15:57:25+00:00,641000000.0,1237000000.0,135000000.0,8548000000.0,-150000000.0,3024000000.0,43000000.0,84000000.0,,3422000000.0,150000000.0,95000000.0,2024000000.0,21370000000.0,63000000.0,7031000000.0,467000000.0,732000000.0,12822000000.0,43000000.0,,2385000000.0,2018000000.0,125000000.0,482000000.0,699000000.0,,6024000000.0,563000000.0,56000000.0,3374000000.0,943000000.0,,24266000000.0,6646000000.0,2741000000.0,2513000000.0,6646000000.0,6689000000.0,17577000000.0,24266000000.0,8703000000.0,15064000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2010.0,Q2,,2010-06-30,2010-08-27 11:25:05+00:00,684000000.0,1314000000.0,114000000.0,8366000000.0,-153000000.0,3015000000.0,43000000.0,124000000.0,,3405000000.0,151000000.0,89000000.0,2024000000.0,21137000000.0,58000000.0,6590000000.0,428000000.0,565000000.0,12771000000.0,43000000.0,,2289000000.0,2016000000.0,127000000.0,340000000.0,709000000.0,,6044000000.0,549000000.0,87000000.0,3305000000.0,1335000000.0,,24033000000.0,6557000000.0,2581000000.0,2931000000.0,6557000000.0,6600000000.0,17433000000.0,24033000000.0,8681000000.0,14502000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2010.0,Q1,,2010-03-31,2010-04-29 12:11:37+00:00,637000000.0,1463000000.0,148000000.0,8270000000.0,-146000000.0,2960000000.0,47000000.0,193000000.0,,3388000000.0,163000000.0,88000000.0,2024000000.0,20924000000.0,54000000.0,7248000000.0,477000000.0,443000000.0,12654000000.0,44000000.0,,2273000000.0,2037000000.0,130000000.0,167000000.0,932000000.0,,6131000000.0,561000000.0,39000000.0,3309000000.0,677000000.0,265000000.0,24203000000.0,6551000000.0,2733000000.0,2482000000.0,6551000000.0,6595000000.0,17608000000.0,24203000000.0,8816000000.0,15126000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2011.0,FY,,2011-12-31,2013-02-20 17:30:10+00:00,782000000.0,1407000000.0,,8795000000.0,-158000000.0,2758000000.0,23000000.0,68000000.0,,3417000000.0,51000000.0,99000000.0,2020000000.0,22541000000.0,73000000.0,7164000000.0,525000000.0,791000000.0,13746000000.0,44000000.0,,3181000000.0,2782000000.0,123000000.0,732000000.0,707000000.0,95000000.0,6326000000.0,420000000.0,147000000.0,3750000000.0,945000000.0,,26009000000.0,7009000000.0,3196000000.0,2628000000.0,7009000000.0,7053000000.0,18956000000.0,26009000000.0,9067000000.0,16328000000.0
DTE Energy Co,DTE,549300IX8SD6XXD71I78,936340,2011.0,Q3,,2011-09-30,2011-11-04 15:30:26+00:00,708000000.0,1327000000.0,,8890000000.0,-146000000.0,2741000000.0,27000000.0,46000000.0,0.0,3418000000.0,130000000.0,99000000.0,2020000000.0,22312000000.0,74000000.0,7470000000.0,527000000.0,776000000.0,13422000000.0,39000000.0,,3144000000.0,1896000000.0,124000000.0,559000000.0,650000000.0,121000000.0,5702000000.0,393000000.0,73000000.0,3698000000.0,522000000.0,,24780000000.0,6970000000.0,2911000000.0,2100000000.0,6970000000.0,7009000000.0,17771000000.0,24780000000.0,8447000000.0,15671000000.0
