company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,capitalleaseobligations,cashandequivalents,commonequity,currentdeferredtaxassets,customerdeposits,dividendspayable,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2008.0,FY,,2008-12-31,2009-11-06 11:58:11+00:00,20819000000.0,21411000000.0,34096000000.0,-21853000000.0,,48187000000.0,41092000000.0,,,,81759000000.0,14977000000.0,330067000000.0,0.0,13674000000.0,78530000000.0,8947000000.0,,,4584000000.0,,,365168000000.0,13439000000.0,,,106899000000.0,98828000000.0,12279000000.0,2068000000.0,,122123000000.0,193695000000.0,41446000000.0,797769000000.0,104665000000.0,503325000000.0,248610000000.0,104665000000.0,113612000000.0,684157000000.0,797769000000.0,215914000000.0,435547000000.0,0.0,-36697000000.0
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2009.0,FY,,2009-12-31,2011-02-25 16:33:50+00:00,19527000000.0,16458000000.0,25578000000.0,-15265000000.0,,70488000000.0,38431000000.0,,,1141000000.0,65076000000.0,11751000000.0,373574000000.0,0.0,11987000000.0,68970000000.0,7845000000.0,,,2081000000.0,,,319247000000.0,14056000000.0,,,103286000000.0,90417000000.0,49239000000.0,14578000000.0,,126363000000.0,129869000000.0,51343000000.0,781901000000.0,117291000000.0,483579000000.0,176115000000.0,117291000000.0,125136000000.0,656765000000.0,781901000000.0,229352000000.0,480650000000.0,0.0,-32238000000.0
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2009.0,Q3,,2009-09-30,2009-11-06 11:58:11+00:00,18931000000.0,19613000000.0,31740000000.0,-12761000000.0,,61374000000.0,38563000000.0,,,,84880000000.0,15010000000.0,358092000000.0,0.0,13092000000.0,72993000000.0,8280000000.0,,,5308000000.0,,,340688000000.0,14339000000.0,,,110235000000.0,86257000000.0,2861000000.0,1594000000.0,,124530000000.0,160115000000.0,52761000000.0,787846000000.0,117529000000.0,501867000000.0,210786000000.0,117529000000.0,125809000000.0,662037000000.0,787846000000.0,212986000000.0,451251000000.0,0.0,-32803000000.0
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2009.0,Q2,,2009-06-30,2009-08-03 09:57:53+00:00,19194000000.0,19194000000.0,31075000000.0,-16566000000.0,,52316000000.0,39073000000.0,,,,83825000000.0,15227000000.0,339420000000.0,0.0,13307000000.0,72937000000.0,8340000000.0,,,2858000000.0,,,351601000000.0,14517000000.0,,,107565000000.0,88770000000.0,2465000000.0,1748000000.0,,123166000000.0,174644000000.0,45214000000.0,778168000000.0,112119000000.0,496149000000.0,224913000000.0,112119000000.0,120459000000.0,657709000000.0,778168000000.0,209082000000.0,432796000000.0,0.0,-33554000000.0
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2010.0,FY,,2010-12-31,2011-11-07 18:23:06+00:00,33311000000.0,29004000000.0,48901000000.0,-39421000000.0,,158441000000.0,102811000000.0,,,,128776000000.0,19942000000.0,722018000000.0,68984000000.0,23052000000.0,132424000000.0,10524000000.0,,,5506000000.0,,312234000000.0,303012000000.0,23260000000.0,,24800000000.0,193036000000.0,177071000000.0,73824000000.0,37268000000.0,,307342000000.0,237212000000.0,87878000000.0,1578667000000.0,306856000000.0,649447000000.0,319424000000.0,306856000000.0,317380000000.0,1261287000000.0,1578667000000.0,796796000000.0,941863000000.0,0.0,-63876000000.0
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2010.0,Q3,,2010-09-30,2010-11-03 17:02:41+00:00,14617000000.0,17738000000.0,25912000000.0,-18764000000.0,,78392000000.0,37684000000.0,,,,64128000000.0,10231000000.0,379942000000.0,0.0,11997000000.0,65538000000.0,5074000000.0,,,1993000000.0,,,322294000000.0,8672000000.0,,,98842000000.0,87857000000.0,35302000000.0,13014000000.0,,128126000000.0,114879000000.0,45690000000.0,758824000000.0,115536000000.0,484783000000.0,155408000000.0,115536000000.0,120610000000.0,638214000000.0,758824000000.0,208503000000.0,482806000000.0,0.0,-31510000000.0
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2010.0,Q2,,2010-06-30,2010-08-02 13:58:50+00:00,14230000000.0,17589000000.0,25181000000.0,-20326000000.0,,73848000000.0,38059000000.0,,,,63094000000.0,10946000000.0,369583000000.0,0.0,11366000000.0,65358000000.0,6791000000.0,,,2434000000.0,,,324145000000.0,8577000000.0,,,98363000000.0,85878000000.0,34542000000.0,11745000000.0,,127436000000.0,120154000000.0,42102000000.0,749930000000.0,113934000000.0,477627000000.0,159565000000.0,113934000000.0,120725000000.0,629205000000.0,749930000000.0,206945000000.0,469640000000.0,0.0,-31235000000.0
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2010.0,Q1,,2010-03-31,2010-05-06 18:53:47+00:00,14498000000.0,17729000000.0,25897000000.0,-16784000000.0,,69628000000.0,38290000000.0,,,,64910000000.0,11545000000.0,392696000000.0,0.0,11751000000.0,68016000000.0,7756000000.0,,,2615000000.0,,,346939000000.0,9993000000.0,,,100475000000.0,87103000000.0,34820000000.0,7664000000.0,,125446000000.0,123931000000.0,41549000000.0,777355000000.0,115195000000.0,497589000000.0,164326000000.0,115195000000.0,122951000000.0,654404000000.0,777355000000.0,211750000000.0,490078000000.0,0.0,-31757000000.0
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2011.0,Q3,,2011-09-30,2011-11-07 18:23:06+00:00,37349000000.0,30582000000.0,63011000000.0,-29154000000.0,,183338000000.0,96691000000.0,,,,146582000000.0,24866000000.0,678233000000.0,75959000000.0,30042000000.0,132150000000.0,4624000000.0,,,3960000000.0,,293737000000.0,285844000000.0,22181000000.0,,3082000000.0,231402000000.0,184509000000.0,6396000000.0,7140000000.0,,321872000000.0,255372000000.0,92918000000.0,1559079000000.0,324881000000.0,647987000000.0,355732000000.0,324881000000.0,329505000000.0,1229574000000.0,1559079000000.0,778942000000.0,873842000000.0,0.0,-64528000000.0
General Electric Co,GE,3C7474T6CDKPR9K6YT90,40545,2011.0,Q2,,2011-06-30,2011-07-29 16:40:26+00:00,36330000000.0,30506000000.0,56370000000.0,-26133000000.0,,182625000000.0,102232000000.0,,,,141072000000.0,23596000000.0,697788000000.0,75108000000.0,29232000000.0,137692000000.0,4646000000.0,,,-1410000000.0,,300749000000.0,292917000000.0,22796000000.0,,12876000000.0,220043000000.0,183138000000.0,1840000000.0,5290000000.0,,318899000000.0,248334000000.0,90690000000.0,1561742000000.0,331256000000.0,661642000000.0,341034000000.0,331256000000.0,335902000000.0,1225840000000.0,1561742000000.0,762408000000.0,884806000000.0,0.0,-63742000000.0
