company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
TripAdvisor Inc,TRIP,,1526520,2009.0,FY,2009-01-01,2009-12-31,2012-03-15 16:33:01+00:00,13806000.0,0.77,0.77,,9330000.0,0.77,64325000.0,105679000.0,102215000.0,102215000.0,102427000.0,-212000.0,4569000.0,352089000.0,,-660000.0,6910000.0,43617000.0,4569000.0,347520000.0,978000.0,,179342000.0,168178000.0,-1638000.0,166540000.0,352089000.0,133000000.0,133461000.0,133461000.0
TripAdvisor Inc,TRIP,,1526520,2010.0,FY,2010-01-01,2010-12-31,2013-02-15 17:04:49+00:00,14609000.0,1.04,1.04,,12871000.0,1.04,85461000.0,140470000.0,138954000.0,138954000.0,138776000.0,178000.0,7345000.0,484635000.0,,-1644000.0,7900000.0,75140000.0,7345000.0,477290000.0,241000.0,,250990000.0,226300000.0,-1885000.0,224415000.0,484635000.0,133400000.0,133461000.0,133461000.0
TripAdvisor Inc,TRIP,,1526520,2011.0,Q4,2011-10-01,2011-12-31,,1880000.0,0.16,0.16,,5116000.0,0.15,11529000.0,51947000.0,22017000.0,22017000.0,22021000.0,-4000.0,2680000.0,137798000.0,,126000.0,64397000.0,-21778000.0,2680000.0,135118000.0,944000.0,808000.0,101562000.0,33556000.0,-10000.0,33546000.0,137798000.0,133600000.0,133461000.0,134865000.0
TripAdvisor Inc,TRIP,,1526520,2011.0,FY,2011-01-01,2011-12-31,2014-02-11 16:07:26+00:00,7523000.0,1.33,1.33,,18362000.0,1.32,94103000.0,209176000.0,177791000.0,177791000.0,177677000.0,114000.0,10873000.0,637063000.0,,-1254000.0,73602000.0,44770000.0,10873000.0,626190000.0,417000.0,808000.0,353433000.0,272757000.0,-863000.0,271894000.0,637063000.0,133600000.0,133461000.0,134865000.0
TripAdvisor Inc,TRIP,,1526520,2011.0,Q3YTD,2011-01-01,2011-09-30,,5643000.0,1.17,1.17,,13246000.0,1.17,82574000.0,157229000.0,155774000.0,155774000.0,155656000.0,118000.0,8193000.0,499265000.0,,-1380000.0,9205000.0,66548000.0,8193000.0,491072000.0,-527000.0,,251871000.0,239201000.0,-853000.0,238348000.0,499265000.0,132500000.0,133461000.0,133461000.0
TripAdvisor Inc,TRIP,,1526520,2011.0,Q3,2011-07-01,2011-09-30,2012-11-05 16:37:43+00:00,2394000.0,0.41,0.41,,4630000.0,0.41,25185000.0,60349000.0,54293000.0,54293000.0,54314000.0,-21000.0,3227000.0,180801000.0,,-2802000.0,4191000.0,23942000.0,3227000.0,177574000.0,-212000.0,,95506000.0,82068000.0,-2590000.0,79478000.0,180801000.0,132500000.0,133461000.0,133461000.0
TripAdvisor Inc,TRIP,,1526520,2011.0,Q2YTD,2011-01-01,2011-06-30,,3249000.0,0.76,0.76,,8616000.0,0.76,57389000.0,96880000.0,101481000.0,101481000.0,101342000.0,139000.0,4966000.0,318464000.0,,1422000.0,5014000.0,42606000.0,4966000.0,313498000.0,-315000.0,,156365000.0,157133000.0,1737000.0,158870000.0,318464000.0,131900000.0,133461000.0,133461000.0
TripAdvisor Inc,TRIP,,1526520,2011.0,Q2,2011-04-01,2011-06-30,2012-07-26 16:05:51+00:00,1132000.0,0.41,0.41,,4514000.0,0.41,30383000.0,52685000.0,54110000.0,54110000.0,54064000.0,46000.0,2735000.0,169242000.0,,457000.0,3034000.0,21323000.0,2735000.0,166507000.0,-217000.0,,82688000.0,83819000.0,674000.0,84493000.0,169242000.0,131900000.0,133461000.0,133461000.0
TripAdvisor Inc,TRIP,,1526520,2011.0,Q1,2011-01-01,2011-03-31,2012-05-03 16:16:02+00:00,2117000.0,0.35,0.35,,4102000.0,0.35,27006000.0,44195000.0,47371000.0,47371000.0,47278000.0,93000.0,2231000.0,149222000.0,,965000.0,1980000.0,21283000.0,2231000.0,146991000.0,-98000.0,,73677000.0,73314000.0,1063000.0,74377000.0,149222000.0,135100000.0,133461000.0,133461000.0
TripAdvisor Inc,TRIP,,1526520,2012.0,FY,2012-01-01,2012-12-31,2015-02-17 17:01:52+00:00,6000000.0,1.39,1.39,0.0,20000000.0,1.37,87000000.0,266000000.0,195000000.0,195000000.0,194000000.0,,12000000.0,763000000.0,1000000.0,-3000000.0,87000000.0,76000000.0,12000000.0,751000000.0,11000000.0,,455000000.0,296000000.0,-14000000.0,282000000.0,763000000.0,139600000.0,139462000.0,141341000.0
