company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 10:07:18+00:00,2.91,2.91,0.2,2.86,13500000.0,128400000.0,561100000.0,238100000.0,323000000.0,561200000.0,-100000.0,2315300000.0,2892900000.0,2800000.0,14800000.0,,302500000.0,2315300000.0,577600000.0,190200000.0,277500000.0,316000000.0,261600000.0,102100000.0,363700000.0,2892900000.0,192900000.0,193100000.0,196500000.0
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 14:22:40+00:00,1.12,1.12,0.2,1.11,26000000.0,57600000.0,219500000.0,123000000.0,96500000.0,214800000.0,4700000.0,2616100000.0,3359500000.0,-200000.0,1500000.0,,381000000.0,2616100000.0,743400000.0,163400000.0,6300000.0,407000000.0,336400000.0,-155600000.0,180800000.0,3359500000.0,191800000.0,191600000.0,193500000.0
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 15:55:38+00:00,,0.23,0.05,0.23,,27000000.0,46400000.0,46000000.0,400000.0,43600000.0,2800000.0,661800000.0,884000000.0,0.0,-100000.0,22500000.0,79900000.0,661800000.0,222200000.0,47700000.0,1000000.0,102400000.0,119800000.0,-46800000.0,73000000.0,884000000.0,,189500000.0,191800000.0
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2008.0,Q2,2008-04-01,2008-06-30,2009-08-05 17:25:00+00:00,0.37,0.37,0.05,0.37,,3300000.0,72800000.0,13600000.0,59200000.0,71900000.0,900000.0,674000000.0,869700000.0,-200000.0,1300000.0,19900000.0,117900000.0,674000000.0,195700000.0,43600000.0,1500000.0,137800000.0,57900000.0,-40800000.0,17100000.0,869700000.0,194300000.0,192500000.0,194400000.0
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2009.0,Q4,2009-10-01,2009-12-31,,-0.38,-0.38,0.05,-0.39,136900000.0,-28000000.0,-52800000.0,-49200000.0,-3600000.0,-53900000.0,1100000.0,894900000.0,1259100000.0,,600000.0,,268800000.0,894900000.0,364200000.0,39700000.0,3400000.0,405700000.0,-41500000.0,-35700000.0,-77200000.0,1259100000.0,235300000.0,236400000.0,239400000.0
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 09:30:48+00:00,0.45,0.45,0.2,0.44,136900000.0,54700000.0,108500000.0,109000000.0,-500000.0,105900000.0,2600000.0,2741500000.0,3711100000.0,,8700000.0,,547100000.0,2741500000.0,969600000.0,134000000.0,3400000.0,684000000.0,285600000.0,-121900000.0,163700000.0,3711100000.0,235300000.0,236400000.0,239400000.0
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.83,0.83,0.15,0.83,,82700000.0,161300000.0,158200000.0,3100000.0,159800000.0,1500000.0,1846600000.0,2452000000.0,,8100000.0,,278300000.0,1846600000.0,605400000.0,94300000.0,,278300000.0,327100000.0,-86200000.0,240900000.0,2452000000.0,193100000.0,191100000.0,194600000.0
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 15:06:44+00:00,0.35,0.35,0.05,0.35,,35500000.0,69000000.0,68000000.0,1000000.0,67600000.0,1400000.0,605400000.0,828700000.0,,1400000.0,,89400000.0,605400000.0,223300000.0,31800000.0,,89400000.0,133900000.0,-30400000.0,103500000.0,828700000.0,193100000.0,191100000.0,194600000.0
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.48,0.48,0.1,0.48,,47200000.0,92300000.0,90200000.0,2100000.0,92200000.0,100000.0,1241200000.0,1623300000.0,,6700000.0,,188900000.0,1241200000.0,382100000.0,62500000.0,,188900000.0,193200000.0,-55800000.0,137400000.0,1623300000.0,191000000.0,190300000.0,192700000.0
Fidelity National Information Services Inc,FIS,6WQI0GK1PRFVBA061U48,1136893,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 12:07:23+00:00,0.31,0.31,0.05,0.31,,30100000.0,59600000.0,57500000.0,2100000.0,59200000.0,400000.0,622800000.0,829200000.0,,5500000.0,,93000000.0,622800000.0,206400000.0,31300000.0,,93000000.0,113400000.0,-25800000.0,87600000.0,829200000.0,191000000.0,190300000.0,192700000.0
