company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,accruedinvestmentincome,allowanceforloanandleaselosses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,fedfundspurchased,fedfundssold,goodwill,intangibleassets,interestbearingdeposits,interestbearingdepositsatotherbanks,loansandleases,loansheldforsale,longtermdebt,netloansandleases,netpremisesandequipment,noninterestbearingdeposits,otherassets,otherlongtermliabilities,othershorttermpayables,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2008.0,FY,,2008-11-30,2010-01-27 20:21:05+00:00,,,1374585000.0,-66338000.0,10171143000.0,,2943462000.0,,,255421000.0,203319000.0,28452146000.0,,25216611000.0,,1735383000.0,23842026000.0,552502000.0,78375000.0,3640027000.0,473000000.0,2737655000.0,0.0,3046956000.0,500000000.0,39892382000.0,5915823000.0,5915823000.0,5915823000.0,33976559000.0,39892382000.0,0.0,1227944000.0,-8257000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2009.0,FY,,2009-11-30,2011-01-26 17:12:28+00:00,,,1757899000.0,-154818000.0,13020719000.0,,3578679000.0,,,255421000.0,195636000.0,32028506000.0,,3394782000.0,,2428101000.0,1636883000.0,499303000.0,64506000.0,25377728000.0,808757000.0,2255570000.0,0.0,3873262000.0,,46020987000.0,7277481000.0,8435547000.0,8435547000.0,37585440000.0,46020987000.0,1158066000.0,5035297000.0,-19642000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2009.0,Q3,,2009-08-31,2009-10-07 17:10:53+00:00,234619000.0,183230000.0,1832360000.0,-24972000.0,485994000.0,,3569432000.0,,0.0,255421000.0,197556000.0,29469059000.0,10342248000.0,25489809000.0,,1795134000.0,23657449000.0,518105000.0,98079000.0,3289461000.0,653500000.0,2061697000.0,502292000.0,3705608000.0,0.0,42698290000.0,7231463000.0,8386202000.0,8386202000.0,34312088000.0,42698290000.0,1154739000.0,3266534000.0,-18605000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2010.0,FY,,2010-11-30,2012-01-26 17:19:14+00:00,,,3304118000.0,-82548000.0,5098733000.0,0.0,3440789000.0,0.0,,255421000.0,188973000.0,34309839000.0,,48836413000.0,,17705728000.0,45532295000.0,460732000.0,103544000.0,2809661000.0,,2209011000.0,1363758000.0,3126488000.0,,60784968000.0,6456846000.0,6456846000.0,6456846000.0,54328122000.0,60784968000.0,,5075395000.0,-27883000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2010.0,Q3,,2010-08-31,2010-10-06 17:10:54+00:00,,,3743721000.0,-82297000.0,7916091000.0,,3433559000.0,,,255421000.0,190639000.0,34148932000.0,,3444906000.0,1437592000.0,17708753000.0,-298815000.0,456943000.0,97872000.0,48182237000.0,,1990699000.0,691698000.0,2787822000.0,,60057553000.0,6111297000.0,6111297000.0,6111297000.0,53946256000.0,60057553000.0,,1225747000.0,-27787000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2010.0,Q2,,2010-05-31,2010-07-07 17:11:19+00:00,,,3930624000.0,-73940000.0,10335729000.0,,3599154000.0,,,255421000.0,192304000.0,34933914000.0,,3279785000.0,1416603000.0,18311127000.0,-650839000.0,469001000.0,88061000.0,48379202000.0,,2782309000.0,685113000.0,2538164000.0,,62153678000.0,6038267000.0,6038267000.0,6038267000.0,56115411000.0,62153678000.0,,1071144000.0,-25111000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2010.0,Q1,,2010-02-28,2010-04-08 19:52:26+00:00,,,4207360000.0,-74038000.0,12728321000.0,,3589972000.0,,,255421000.0,193970000.0,34954443000.0,,4332277000.0,,22392200000.0,124917000.0,482833000.0,97223000.0,48619908000.0,0.0,2360037000.0,3676000000.0,2362685000.0,,66818951000.0,5853594000.0,7015048000.0,7015048000.0,59803903000.0,66818951000.0,1161454000.0,737581000.0,-25025000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2011.0,FY,,2011-11-30,2013-01-24 17:38:48+00:00,,,2205000000.0,-52000000.0,2850000000.0,0.0,3513000000.0,50000000.0,,255000000.0,188000000.0,39464000000.0,,57670000000.0,,18287000000.0,55465000000.0,483000000.0,114000000.0,2384000000.0,,2960000000.0,1286000000.0,5243000000.0,,69117000000.0,8242000000.0,8242000000.0,8242000000.0,60875000000.0,69117000000.0,0.0,6206000000.0,-462000000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2011.0,Q3,,2011-08-31,2011-09-28 17:07:43+00:00,,,2273058000.0,-19979000.0,3957525000.0,0.0,3498158000.0,100000000.0,,255421000.0,189298000.0,37470037000.0,,54082451000.0,,17718200000.0,51809393000.0,465871000.0,116847000.0,2158761000.0,,2314667000.0,937230000.0,4763180000.0,,65725667000.0,8005916000.0,8005916000.0,8005916000.0,57719751000.0,65725667000.0,,5952168000.0,-235443000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2011.0,Q2,,2011-05-31,2011-07-01 06:14:33+00:00,,,2632320000.0,-66358000.0,3772960000.0,0.0,3475041000.0,,,255421000.0,191296000.0,35115848000.0,,52509855000.0,,17938507000.0,49877535000.0,471112000.0,103335000.0,2297430000.0,,2656543000.0,1014369000.0,4147598000.0,100000000.0,63437533000.0,7523300000.0,7523300000.0,7523300000.0,55914233000.0,63437533000.0,,5557410000.0,-32981000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2011.0,Q1,,2011-02-28,2011-04-07 19:56:38+00:00,,,3033459000.0,-106279000.0,5171425000.0,,3457993000.0,,,255421000.0,193293000.0,34728329000.0,,51663228000.0,,18990170000.0,48629769000.0,458950000.0,130665000.0,2880796000.0,,2658280000.0,676074000.0,3580338000.0,100000000.0,63506609000.0,6899165000.0,6899165000.0,6899165000.0,56607444000.0,63506609000.0,,5240881000.0,-32887000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2012.0,FY,,2012-11-30,2013-04-30 17:25:54+00:00,,,1725000000.0,-75000000.0,3926000000.0,0.0,3598000000.0,284000000.0,,286000000.0,190000000.0,42034000000.0,,121712000000.0,,19729000000.0,119987000000.0,534000000.0,121000000.0,-64426000000.0,,3337000000.0,2344000000.0,7373000000.0,,75283000000.0,9218000000.0,9778000000.0,9778000000.0,65505000000.0,75283000000.0,560000000.0,12442000000.0,-1678000000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2012.0,Q3,,2012-08-31,2012-10-03 20:02:01+00:00,,,1687664000.0,-31326000.0,6237610000.0,0.0,3575897000.0,250139000.0,,287043000.0,192181000.0,42175032000.0,,59157512000.0,,19246113000.0,57469848000.0,519621000.0,143280000.0,2433505000.0,,2948187000.0,301349000.0,6877990000.0,,73908664000.0,9145913000.0,9145913000.0,9145913000.0,64762751000.0,73908664000.0,,6467507000.0,-1276648000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2012.0,Q2,,2012-05-31,2012-06-26 17:06:26+00:00,,,1869253000.0,-41016000.0,5112069000.0,0.0,3560627000.0,0.0,,255421000.0,184501000.0,41427004000.0,,57057657000.0,,19023907000.0,55188404000.0,492444000.0,124282000.0,2395721000.0,,2609354000.0,1802881000.0,6303466000.0,,72083405000.0,8898858000.0,8898858000.0,8898858000.0,63184547000.0,72083405000.0,,6651964000.0,-924219000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2012.0,Q1,,2012-02-29,2012-04-03 17:34:21+00:00,,,1978591000.0,-48604000.0,6315152000.0,0.0,3533995000.0,0.0,,255421000.0,186232000.0,40014625000.0,,56299261000.0,,18753958000.0,54320670000.0,486520000.0,133287000.0,2290940000.0,,2755196000.0,361307000.0,5820609000.0,,70486018000.0,8828952000.0,8828952000.0,8828952000.0,61657066000.0,70486018000.0,,6269776000.0,-477048000.0
