company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2007.0,FY,2006-12-01,2007-11-30,2010-01-27 20:21:05+00:00,,-22484000.0,531253000.0,1233366000.0,257131000.0,0.0,10865000.0,40813000.0,0.0,2102951000.0,0.0,7458993000.0,-1595145000.0,2038025000.0,7458993000.0,-1595145000.0,2038025000.0,7912738000.0,11345340000.0,588630000.0,588630000.0,223770000.0,273138000.0,0.0,-879146000.0,950165000.0,-9921924000.0,-118265000.0,-5381871000.0,-1419000.0,,8445044000.0,0.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2008.0,Q4,2008-09-01,2008-11-30,,,-39644000.0,437701000.0,307295000.0,58278000.0,,,641599000.0,,,,1919025000.0,-3861660000.0,1631059000.0,1919025000.0,-3861660000.0,1631059000.0,-311576000.0,1567911000.0,432335000.0,432335000.0,-175684000.0,,,-29197000.0,714175000.0,-3849016000.0,-15118000.0,381401000.0,-1090000.0,,2474000.0,
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2008.0,FY,2007-12-01,2008-11-30,2011-01-26 17:12:28+00:00,,-84174000.0,670763000.0,1305554000.0,231398000.0,69529000.0,-24592000.0,1806259000.0,0.0,0.0,0.0,3035443000.0,-6130962000.0,4504159000.0,3035443000.0,-6130962000.0,4504159000.0,1384048000.0,3816157000.0,927750000.0,927750000.0,7301000.0,,,-116956000.0,1615625000.0,-11706354000.0,-93532000.0,-656920000.0,-6838000.0,0.0,5599395000.0,0.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2008.0,Q3YTD,2007-12-01,2008-08-31,2009-10-07 17:10:53+00:00,,-44530000.0,233062000.0,998259000.0,173120000.0,69529000.0,-24592000.0,1164660000.0,0.0,0.0,0.0,1116418000.0,-2269302000.0,2873100000.0,1116418000.0,-2269302000.0,2873100000.0,1695624000.0,2248246000.0,495415000.0,495415000.0,182985000.0,,0.0,-87759000.0,901450000.0,-7857338000.0,-78414000.0,-1038321000.0,-5748000.0,,5596921000.0,0.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2009.0,Q4,2009-09-01,2009-11-30,,-141019000.0,109761000.0,382162000.0,336885000.0,35902000.0,,,140805000.0,1148673000.0,698194000.0,-1148691000.0,3132129000.0,-1941395000.0,1001743000.0,3132129000.0,-1941395000.0,1001743000.0,2192477000.0,2526200000.0,352537000.0,352537000.0,-36994000.0,,,-26297000.0,399732000.0,-4226412000.0,-12140000.0,-64913000.0,-1037000.0,,2438174000.0,2000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2009.0,FY,2008-12-01,2009-11-30,2012-01-26 17:19:14+00:00,-643311000.0,,913988000.0,1266427000.0,203492000.0,,,-108735000.0,1758380000.0,1098194000.0,,5412464000.0,-6160780000.0,3597892000.0,5412464000.0,-6160780000.0,3597892000.0,2849576000.0,3572520000.0,1276185000.0,1276185000.0,-135455000.0,,,-101034000.0,2362405000.0,-10358775000.0,-53793000.0,-904211000.0,-11385000.0,0.0,4893850000.0,1249000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2009.0,Q3TTM,2008-09-01,2009-08-31,,-502292000.0,-149405000.0,969527000.0,1236837000.0,225868000.0,,,392059000.0,609707000.0,400000000.0,1148691000.0,4199360000.0,-8081045000.0,4227208000.0,4199360000.0,-8081045000.0,4227208000.0,345523000.0,2614231000.0,1355983000.0,1355983000.0,-274145000.0,,,-103934000.0,2676848000.0,-9981379000.0,-56771000.0,-457897000.0,-11438000.0,,2458150000.0,1247000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2009.0,Q3,2009-06-01,2009-08-31,,-74935000.0,-34156000.0,232949000.0,285875000.0,51501000.0,,,-420327000.0,533840000.0,400000000.0,,793714000.0,-342868000.0,682571000.0,793714000.0,-342868000.0,682571000.0,1133417000.0,420274000.0,577454000.0,577454000.0,127100000.0,,,-25070000.0,380999000.0,-1881647000.0,-11721000.0,-531579000.0,-3751000.0,,1625701000.0,-266000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2009.0,Q3YTD,2008-12-01,2009-08-31,2010-10-06 17:10:54+00:00,-502292000.0,-109761000.0,531826000.0,929542000.0,167590000.0,,,-249540000.0,609707000.0,400000000.0,1148691000.0,2280335000.0,-4219385000.0,2596149000.0,2280335000.0,-4219385000.0,2596149000.0,657099000.0,1046320000.0,923648000.0,923648000.0,-98461000.0,,,-74737000.0,1962673000.0,-6132363000.0,-41653000.0,-839298000.0,-10348000.0,,2455676000.0,1247000.0
Discover Financial Services,DFS,Z1YLO2USPORE63VVUL20,1393612,2009.0,Q2,2009-03-01,2009-05-31,,-427357000.0,-40200000.0,299085000.0,316322000.0,56466000.0,,,528270000.0,75867000.0,-1875000000.0,1148691000.0,142117000.0,-556699000.0,1385199000.0,142117000.0,-556699000.0,1385199000.0,970617000.0,818662000.0,225800000.0,225800000.0,-28998000.0,,,-20404000.0,643861000.0,-946979000.0,-11806000.0,-5263000.0,-436000.0,,829069000.0,374000.0
