company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Macerich Co,MAC,,912242,2009.0,Q4,2009-10-01,2009-12-31,,,278000.0,50318000.0,78292000.0,,-24395000.0,397953000.0,13458000.0,-62823000.0,,47155000.0,-62823000.0,29365000.0,47155000.0,13697000.0,,-17174000.0,-17174000.0,584000.0,-12810000.0,0.0,-11195000.0,9570000.0,0.0,,-450229000.0,,0.0
Macerich Co,MAC,,912242,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 14:55:55+00:00,,670000.0,258151000.0,277472000.0,,-104833000.0,397953000.0,425703000.0,-396520000.0,302356000.0,120890000.0,-396520000.0,302356000.0,120890000.0,26726000.0,,139250000.0,139250000.0,-201239000.0,161966000.0,134246000.0,-98032000.0,9570000.0,-250623000.0,,-1284110000.0,,418733000.0
Macerich Co,MAC,,912242,2009.0,Q3,2009-07-01,2009-09-30,,,91000.0,70683000.0,64619000.0,,-43812000.0,,169328000.0,-295463000.0,309488000.0,7948000.0,-295463000.0,309184000.0,7948000.0,21669000.0,,164373000.0,164373000.0,-177323000.0,177580000.0,34153000.0,-5855000.0,,-58380000.0,,-636516000.0,,333715000.0
Macerich Co,MAC,,912242,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 15:14:06+00:00,,301000.0,137150000.0,134561000.0,0.0,-36626000.0,0.0,242917000.0,-38234000.0,-36193000.0,65787000.0,-38234000.0,-36193000.0,65787000.0,-8640000.0,,-7949000.0,-7949000.0,-24500000.0,-2804000.0,71502000.0,-80982000.0,,-116727000.0,,-197365000.0,0.0,9032000.0
Macerich Co,MAC,,912242,2010.0,Q4,2010-10-01,2010-12-31,,,1437000.0,-365569000.0,68534000.0,,-34171000.0,-51000.0,315287000.0,-84672000.0,-29719000.0,73610000.0,-84672000.0,-29719000.0,73610000.0,-40781000.0,,31082000.0,31082000.0,5794000.0,24156000.0,38449000.0,-75524000.0,934000.0,-68830000.0,,-330901000.0,-17639000.0,662000.0
Macerich Co,MAC,,912242,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 16:01:02+00:00,,2940000.0,-211830000.0,260252000.0,,-44331000.0,1220829000.0,927514000.0,294127000.0,-142172000.0,200435000.0,294127000.0,-142172000.0,200435000.0,352390000.0,,28420000.0,28420000.0,-51207000.0,-10295000.0,57230000.0,-239930000.0,4361000.0,-212481000.0,,-1586352000.0,-17639000.0,13079000.0
Macerich Co,MAC,,912242,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 12:30:57+00:00,,1503000.0,153739000.0,191718000.0,0.0,-10160000.0,1220880000.0,612227000.0,378799000.0,-112453000.0,126825000.0,378799000.0,-112453000.0,126825000.0,393171000.0,,-2662000.0,-2662000.0,-57001000.0,-34451000.0,18781000.0,-164406000.0,3427000.0,-143651000.0,,-1255451000.0,0.0,12417000.0
Macerich Co,MAC,,912242,2010.0,Q3TTM,2009-10-01,2010-09-30,,,1781000.0,204057000.0,270010000.0,,-34555000.0,1618833000.0,625685000.0,315976000.0,-83392000.0,173980000.0,315976000.0,-83088000.0,173980000.0,406868000.0,,-19836000.0,-19836000.0,-56417000.0,-47261000.0,47372000.0,-175601000.0,12997000.0,-219167000.0,,-1705680000.0,,88403000.0
Macerich Co,MAC,,912242,2010.0,Q3,2010-07-01,2010-09-30,,,711000.0,47455000.0,66450000.0,,18766000.0,,262087000.0,-75647000.0,-88684000.0,54039000.0,-75647000.0,-88684000.0,54039000.0,-110292000.0,,4144000.0,4144000.0,-37030000.0,-10928000.0,-19533000.0,-75539000.0,998000.0,-69151000.0,,-251267000.0,,
Macerich Co,MAC,,912242,2010.0,Q2TTM,2009-07-01,2010-06-30,,,1161000.0,227285000.0,268179000.0,,-97133000.0,1618833000.0,532926000.0,96160000.0,314780000.0,127889000.0,96160000.0,314780000.0,127889000.0,538829000.0,,140393000.0,140393000.0,-196710000.0,141247000.0,101058000.0,-105917000.0,11999000.0,-208396000.0,,-2090929000.0,,422118000.0
