company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Broadridge Financial Solutions Inc,BR,,1383312,2009.0,FY,2008-07-01,2009-06-30,2011-08-12 10:46:00+00:00,1.6,1.6,0.28,1.58,,122900000.0,223300000.0,223100000.0,200000.0,223300000.0,1510100000.0,2073000000.0,-4000000.0,212900000.0,1510100000.0,562900000.0,,212900000.0,350000000.0,-4000000.0,346000000.0,2073000000.0,139600000.0,140000000.0,141600000.0
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,FY,2009-07-01,2010-06-30,2011-08-12 10:46:00+00:00,1.4,1.4,0.56,1.37,,117000000.0,190000000.0,225100000.0,-35100000.0,190000000.0,1616400000.0,2209200000.0,-9100000.0,241600000.0,1616400000.0,592800000.0,,241600000.0,351200000.0,-9100000.0,342100000.0,2209200000.0,135700000.0,135900000.0,139100000.0
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q4,2010-04-01,2010-06-30,,0.78,0.78,0.14,0.76,,66500000.0,105100000.0,116200000.0,-11100000.0,105100000.0,497300000.0,750500000.0,-700000.0,69800000.0,497300000.0,253200000.0,,69800000.0,183400000.0,-700000.0,182700000.0,750500000.0,135700000.0,135900000.0,139100000.0
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q3,2010-01-01,2010-03-31,2011-05-10 11:30:02+00:00,0.18,0.18,0.14,0.18,,17600000.0,24900000.0,30800000.0,-5900000.0,24900000.0,380900000.0,490800000.0,-1500000.0,60000000.0,380900000.0,109900000.0,,60000000.0,49900000.0,-1500000.0,48400000.0,490800000.0,138300000.0,134800000.0,138800000.0
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q2YTD,2009-07-01,2009-12-31,,0.44,0.44,0.28,0.43,,32900000.0,60000000.0,78100000.0,-18100000.0,60000000.0,738200000.0,967900000.0,-6900000.0,111800000.0,738200000.0,229700000.0,,111800000.0,117900000.0,-6900000.0,111000000.0,967900000.0,134400000.0,135700000.0,139500000.0
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q2,2009-10-01,2009-12-31,2011-02-08 14:46:07+00:00,0.25,0.25,0.14,0.24,,17000000.0,33600000.0,51500000.0,-17900000.0,33600000.0,399700000.0,529700000.0,-3100000.0,58400000.0,399700000.0,130000000.0,,58400000.0,71600000.0,-3100000.0,68500000.0,529700000.0,134400000.0,135700000.0,139500000.0
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q1,2009-07-01,2009-09-30,2010-11-04 15:02:37+00:00,0.19,0.19,0.14,0.19,,15900000.0,26400000.0,26600000.0,-200000.0,26400000.0,338500000.0,438200000.0,-3800000.0,53400000.0,338500000.0,99700000.0,,53400000.0,46300000.0,-3800000.0,42500000.0,438200000.0,138900000.0,138100000.0,140400000.0
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q4,2011-04-01,2011-06-30,,0.93,0.93,0.15,0.91,,65900000.0,116200000.0,115300000.0,900000.0,116200000.0,517300000.0,776100000.0,-2900000.0,74700000.0,517300000.0,258800000.0,,74700000.0,184100000.0,-2900000.0,181200000.0,776100000.0,124700000.0,124800000.0,128300000.0
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,FY,2010-07-01,2011-06-30,2013-08-08 11:47:22+00:00,1.36,1.36,0.6,1.32,,97900000.0,169600000.0,171800000.0,-2200000.0,169600000.0,1617100000.0,2166900000.0,-10100000.0,270000000.0,1617100000.0,549800000.0,,270000000.0,279800000.0,-10100000.0,269700000.0,2166900000.0,124700000.0,124800000.0,128300000.0
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q3TTM,2010-04-01,2011-03-31,,1.21,1.21,0.59,1.17,,98500000.0,158500000.0,172700000.0,-14200000.0,158500000.0,1597100000.0,2141300000.0,-7900000.0,265100000.0,1597100000.0,544200000.0,,265100000.0,279100000.0,-7900000.0,271200000.0,2141300000.0,123800000.0,124200000.0,128200000.0
