company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,FY,2009-07-01,2010-06-30,2011-08-12 10:46:00+00:00,-45600000.0,15700000.0,107900000.0,11100000.0,41300000.0,100000.0,46400000.0,,-278100000.0,-88300000.0,360100000.0,4400000.0,133500000.0,-273700000.0,-88300000.0,493600000.0,131700000.0,190000000.0,225100000.0,-35100000.0,31600000.0,57400000.0,,,-66600000.0,,-42700000.0,,-268900000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q4,2010-04-01,2010-06-30,,-27800000.0,3500000.0,25400000.0,5800000.0,11000000.0,-1800000.0,39900000.0,,-130900000.0,-48000000.0,179300000.0,4400000.0,133500000.0,-126500000.0,-48000000.0,312800000.0,106800000.0,105100000.0,116200000.0,-11100000.0,8700000.0,14500000.0,,-29700000.0,-19000000.0,,-20200000.0,,-126400000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q3,2010-01-01,2010-03-31,,-10800000.0,4000000.0,10900000.0,400000.0,10300000.0,-1100000.0,19000000.0,-600000.0,-15700000.0,-20300000.0,62000000.0,,,-15700000.0,-20300000.0,62000000.0,-216800000.0,24900000.0,30800000.0,-5900000.0,-2100000.0,14300000.0,,-241700000.0,-18800000.0,,-9500000.0,,-10600000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q3YTD,2009-07-01,2010-03-31,2011-05-10 11:30:02+00:00,-17800000.0,12200000.0,82500000.0,5300000.0,30300000.0,1900000.0,6500000.0,,-147200000.0,-40300000.0,180800000.0,,,-147200000.0,-40300000.0,180800000.0,24900000.0,84900000.0,108900000.0,-24000000.0,22900000.0,42900000.0,,29700000.0,-47600000.0,,-22500000.0,,-142500000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q2,2009-10-01,2009-12-31,,-6900000.0,4100000.0,38800000.0,4300000.0,10400000.0,1400000.0,-19300000.0,600000.0,-64000000.0,-16300000.0,88900000.0,,,-64000000.0,-16300000.0,88900000.0,291100000.0,33600000.0,51500000.0,-17900000.0,42200000.0,14400000.0,,281100000.0,-19000000.0,,-9400000.0,,-60000000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q2YTD,2009-07-01,2009-12-31,2011-02-08 14:46:07+00:00,-7000000.0,8200000.0,71600000.0,4900000.0,20000000.0,3000000.0,-12500000.0,600000.0,-131500000.0,-20000000.0,118800000.0,,,-131500000.0,-20000000.0,118800000.0,241700000.0,60000000.0,78100000.0,-18100000.0,25000000.0,28600000.0,,271400000.0,-28800000.0,,-13000000.0,,-131900000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,Q1,2009-07-01,2009-09-30,2010-11-04 15:02:37+00:00,-100000.0,4100000.0,32800000.0,600000.0,9600000.0,1600000.0,6800000.0,,-67500000.0,-3700000.0,29900000.0,,,-67500000.0,-3700000.0,29900000.0,-49400000.0,26400000.0,26600000.0,-200000.0,-17200000.0,14200000.0,,-9700000.0,-9800000.0,,-3600000.0,0.0,-71900000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q4,2011-04-01,2011-06-30,,-8900000.0,18400000.0,27000000.0,4500000.0,2600000.0,1500000.0,18300000.0,241700000.0,-54100000.0,-17500000.0,152000000.0,7200000.0,-15100000.0,-46900000.0,-17500000.0,136900000.0,90200000.0,116200000.0,115300000.0,900000.0,-2600000.0,-218100000.0,,16200000.0,-18400000.0,,-8600000.0,-40000000.0,-19300000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,FY,2010-07-01,2011-06-30,2013-08-08 11:47:22+00:00,-311600000.0,29200000.0,58400000.0,9700000.0,43100000.0,7900000.0,-75700000.0,241700000.0,-45300000.0,-340800000.0,190900000.0,,,-45300000.0,-340800000.0,190900000.0,-171100000.0,169600000.0,171800000.0,-2200000.0,22500000.0,49900000.0,,16200000.0,-74800000.0,,-29200000.0,-40000000.0,-222100000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q3TTM,2010-04-01,2011-03-31,,-330500000.0,14300000.0,56800000.0,11000000.0,51500000.0,4600000.0,-54100000.0,,-122100000.0,-371300000.0,218200000.0,-2800000.0,148600000.0,-124900000.0,-371300000.0,366800000.0,-154500000.0,158500000.0,172700000.0,-14200000.0,33800000.0,282500000.0,,-29700000.0,-75400000.0,,-40800000.0,,-329200000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q3YTD,2010-07-01,2011-03-31,2011-05-10 11:30:02+00:00,-302700000.0,10800000.0,31400000.0,5200000.0,40500000.0,6400000.0,-94000000.0,,8800000.0,-323300000.0,38900000.0,-7200000.0,15100000.0,1600000.0,-323300000.0,54000000.0,-261300000.0,53400000.0,56500000.0,-3100000.0,25100000.0,268000000.0,,,-56400000.0,,-20600000.0,,-202800000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q3,2011-01-01,2011-03-31,,-204300000.0,3600000.0,13300000.0,500000.0,15600000.0,1900000.0,-39100000.0,,158400000.0,-211300000.0,12000000.0,,2500000.0,158400000.0,-211300000.0,14500000.0,-36500000.0,29700000.0,32600000.0,-2900000.0,-700000.0,259500000.0,,,-18700000.0,,-7000000.0,,-82000000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q2TTM,2010-01-01,2010-12-31,,-137000000.0,14700000.0,54400000.0,10900000.0,46200000.0,1600000.0,4000000.0,-600000.0,-296200000.0,-180300000.0,268200000.0,-2800000.0,146100000.0,-299000000.0,-180300000.0,414300000.0,-334800000.0,153700000.0,170900000.0,-17200000.0,32400000.0,37300000.0,,-271400000.0,-75500000.0,,-43300000.0,,-257800000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q2YTD,2010-07-01,2010-12-31,2011-02-08 14:46:07+00:00,-98400000.0,7200000.0,18100000.0,4700000.0,24900000.0,4500000.0,-54900000.0,,-149600000.0,-112000000.0,26900000.0,-7200000.0,12600000.0,-156800000.0,-112000000.0,39500000.0,-224800000.0,23700000.0,23900000.0,-200000.0,25800000.0,8500000.0,,,-37700000.0,,-13600000.0,,-120800000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q2,2010-10-01,2010-12-31,,-20200000.0,3600000.0,3800000.0,4200000.0,12900000.0,1500000.0,-3000000.0,,-19400000.0,-27500000.0,51400000.0,,1100000.0,-19400000.0,-27500000.0,52500000.0,7100000.0,10400000.0,10600000.0,-200000.0,27300000.0,,,,,,-7300000.0,,,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q1,2010-07-01,2010-09-30,2010-11-04 15:02:37+00:00,-78200000.0,3600000.0,14300000.0,500000.0,12000000.0,3000000.0,-51900000.0,,-130200000.0,-84500000.0,-24500000.0,-7200000.0,11500000.0,-137400000.0,-84500000.0,-13000000.0,-231900000.0,13300000.0,13300000.0,0.0,-1500000.0,4000000.0,,,-18800000.0,,-6300000.0,-100000.0,-115300000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q1TTM,2009-10-01,2010-09-30,,-123700000.0,15200000.0,89400000.0,11000000.0,43700000.0,1500000.0,-12300000.0,,-340800000.0,-169100000.0,305700000.0,-2800000.0,145000000.0,-343600000.0,-169100000.0,450700000.0,-50800000.0,176900000.0,211800000.0,-34900000.0,47300000.0,47200000.0,,9700000.0,-75600000.0,,-45400000.0,-100000.0,-312300000.0,
Broadridge Financial Solutions Inc,BR,,1383312,2012.0,Q4,2012-04-01,2012-06-30,,-3300000.0,27500000.0,9300000.0,5500000.0,13700000.0,-6000000.0,32500000.0,490000000.0,-68200000.0,-7800000.0,186700000.0,,1300000.0,-68200000.0,-7800000.0,188000000.0,101700000.0,83400000.0,83400000.0,,29600000.0,-28600000.0,4400000.0,-4300000.0,-19900000.0,,-11000000.0,-493900000.0,-15800000.0,2100000.0
