company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,goodwill,grossppe,intangibleassets,longtermdebt,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Broadridge Financial Solutions Inc,BR,,1383312,2010.0,FY,,2010-06-30,2011-08-12 10:46:00+00:00,91300000.0,354300000.0,261200000.0,-1400000.0,412600000.0,0.0,589300000.0,34800000.0,509500000.0,,46100000.0,324100000.0,87400000.0,47800000.0,56200000.0,101700000.0,123800000.0,99100000.0,159000000.0,72800000.0,546900000.0,,1794400000.0,807100000.0,992400000.0,486400000.0,807100000.0,807100000.0,987300000.0,1794400000.0,714600000.0,500900000.0,0.0,-327700000.0
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,FY,,2011-06-30,2012-08-09 14:02:25+00:00,119000000.0,406600000.0,230300000.0,16100000.0,241500000.0,0.0,668900000.0,33400000.0,735600000.0,,147200000.0,124300000.0,83100000.0,47300000.0,71300000.0,103300000.0,,,186700000.0,81100000.0,642200000.0,400000000.0,1904000000.0,797300000.0,751400000.0,782700000.0,797300000.0,797300000.0,1106700000.0,1904000000.0,1069500000.0,324000000.0,,-529900000.0
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q3,,2011-03-31,2011-05-10 11:30:02+00:00,109800000.0,395300000.0,193200000.0,18900000.0,151300000.0,,639400000.0,99500000.0,733400000.0,,146000000.0,124200000.0,84600000.0,51500000.0,59000000.0,128100000.0,30900000.0,12600000.0,183800000.0,71300000.0,544600000.0,440000000.0,1853400000.0,692300000.0,705600000.0,855100000.0,692300000.0,692300000.0,1161100000.0,1853400000.0,1063200000.0,306000000.0,0.0,-510600000.0
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q2,,2010-12-31,2011-02-08 14:46:07+00:00,76500000.0,291300000.0,170400000.0,10200000.0,187800000.0,,612500000.0,24400000.0,578800000.0,,74000000.0,324200000.0,84600000.0,54600000.0,44600000.0,93400000.0,35500000.0,16300000.0,169600000.0,75300000.0,533200000.0,,1515000000.0,728700000.0,608000000.0,287600000.0,728700000.0,728700000.0,786300000.0,1515000000.0,822400000.0,498700000.0,,-427200000.0
Broadridge Financial Solutions Inc,BR,,1383312,2011.0,Q1,,2010-09-30,2010-11-04 15:02:37+00:00,70500000.0,293700000.0,160300000.0,5300000.0,180700000.0,,599700000.0,26000000.0,560800000.0,1200000.0,69300000.0,324200000.0,86500000.0,56400000.0,46100000.0,110000000.0,55900000.0,35500000.0,162400000.0,75700000.0,541400000.0,,1519300000.0,724600000.0,640300000.0,292300000.0,724600000.0,724600000.0,794700000.0,1519300000.0,792500000.0,502400000.0,0.0,-421800000.0
Broadridge Financial Solutions Inc,BR,,1383312,2012.0,FY,,2012-06-30,2013-08-08 11:47:22+00:00,102200000.0,370700000.0,260600000.0,3500000.0,320500000.0,0.0,740900000.0,47500000.0,780000000.0,,143300000.0,524400000.0,79000000.0,38300000.0,63200000.0,86200000.0,,,207900000.0,100900000.0,686100000.0,,1987600000.0,850500000.0,777400000.0,410300000.0,850500000.0,850500000.0,1137100000.0,1987600000.0,1131200000.0,726800000.0,,-580000000.0
Broadridge Financial Solutions Inc,BR,,1383312,2012.0,Q3,,2012-03-31,2012-05-08 12:10:35+00:00,107100000.0,388500000.0,194500000.0,11600000.0,218800000.0,0.0,730800000.0,136700000.0,790500000.0,,152800000.0,564300000.0,78500000.0,38200000.0,65200000.0,142300000.0,,,242900000.0,107500000.0,622700000.0,,2014300000.0,800800000.0,749600000.0,438300000.0,800800000.0,800800000.0,1213500000.0,2014300000.0,1186200000.0,775200000.0,0.0,-564300000.0
Broadridge Financial Solutions Inc,BR,,1383312,2012.0,Q2,,2011-12-31,2012-02-07 14:48:34+00:00,92600000.0,296600000.0,170100000.0,6300000.0,238200000.0,0.0,700900000.0,38100000.0,789300000.0,,160900000.0,594300000.0,78500000.0,52800000.0,63400000.0,100100000.0,,,233300000.0,101800000.0,625800000.0,,1896900000.0,783800000.0,634900000.0,300800000.0,783800000.0,783800000.0,1113100000.0,1896900000.0,1183500000.0,812300000.0,0.0,-549200000.0
Broadridge Financial Solutions Inc,BR,,1383312,2012.0,Q1,,2011-09-30,2011-11-03 12:13:32+00:00,93500000.0,328500000.0,171000000.0,11700000.0,252800000.0,0.0,680000000.0,29100000.0,793100000.0,,165200000.0,614300000.0,78900000.0,60100000.0,68000000.0,104000000.0,,,204700000.0,98700000.0,639100000.0,,1927200000.0,792500000.0,685300000.0,293600000.0,792500000.0,792500000.0,1134700000.0,1927200000.0,1163000000.0,841100000.0,0.0,-538300000.0
Broadridge Financial Solutions Inc,BR,,1383312,2013.0,FY,,2013-06-30,2014-08-07 16:47:32+00:00,143100000.0,442400000.0,277200000.0,4200000.0,266000000.0,0.0,784600000.0,49200000.0,778400000.0,,120600000.0,524500000.0,80900000.0,40200000.0,71200000.0,98600000.0,,,231300000.0,96800000.0,811300000.0,,2018200000.0,816000000.0,807000000.0,469500000.0,816000000.0,816000000.0,1202200000.0,2018200000.0,1130300000.0,732700000.0,0.0,-784100000.0
