company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,goodwill,longtermdebt,mortgageservicingrights,otherassets,otherequity,otherlongtermliabilities,participatingpolicyholderequity,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,unearnedpremiumsdebit
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2008.0,FY,,2008-12-31,2010-02-25 15:58:44+00:00,814000000.0,-2803000000.0,5588000000.0,,7035000000.0,11402000000.0,18431000000.0,3696000000.0,4731000000.0,7715000000.0,23692000000.0,,14957000000.0,60570000000.0,3745000000.0,55655000000.0,55655000000.0,815000000.0,163136000000.0,7977000000.0,7977000000.0,7977000000.0,155159000000.0,163136000000.0,0.0,54125000000.0,449000000.0
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2009.0,FY,,2009-12-31,2011-02-25 10:58:57+00:00,,,,,,,,,,,,,,,,,,,,11700000000.0,,11700000000.0,,,,,
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2009.0,Q3,,2009-09-30,2009-11-06 15:53:48+00:00,943000000.0,-220000000.0,3161000000.0,,7842000000.0,9182000000.0,15970000000.0,3096000000.0,4789000000.0,7277000000.0,22618000000.0,,14608000000.0,63956000000.0,3234000000.0,70111000000.0,70111000000.0,400000000.0,181490000000.0,10856000000.0,11656000000.0,11656000000.0,169834000000.0,181490000000.0,800000000.0,64779000000.0,323000000.0
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2009.0,Q2,,2009-06-30,2009-08-07 15:54:51+00:00,881000000.0,-1707000000.0,2539000000.0,0.0,7681000000.0,10456000000.0,16128000000.0,3344000000.0,4775000000.0,7468000000.0,22000000000.0,,13094000000.0,62427000000.0,3101000000.0,61091000000.0,61091000000.0,455000000.0,167045000000.0,9075000000.0,9075000000.0,9075000000.0,157970000000.0,167045000000.0,0.0,58837000000.0,429000000.0
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2010.0,FY,,2010-12-31,2012-02-23 15:04:05+00:00,,,,,,,,,,,,,,,,,,,,12806000000.0,,12806000000.0,,,,,
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2010.0,Q3,,2010-09-30,2010-11-08 15:57:34+00:00,989000000.0,1662000000.0,3547000000.0,,8142000000.0,7918000000.0,17295000000.0,3019000000.0,8510000000.0,6799000000.0,14213000000.0,,5546000000.0,66903000000.0,3755000000.0,78576000000.0,78576000000.0,101000000.0,190490000000.0,13559000000.0,13559000000.0,13559000000.0,176931000000.0,190490000000.0,0.0,75121000000.0,308000000.0
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2010.0,Q2,,2010-06-30,2010-08-09 12:27:58+00:00,945000000.0,938000000.0,3700000000.0,,8188000000.0,8535000000.0,17478000000.0,3013000000.0,8241000000.0,6882000000.0,14078000000.0,,5367000000.0,65462000000.0,3512000000.0,70844000000.0,70844000000.0,99000000.0,180129000000.0,12638000000.0,12638000000.0,12638000000.0,167491000000.0,180129000000.0,0.0,71815000000.0,317000000.0
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2010.0,Q1,,2010-03-31,2010-05-07 14:22:38+00:00,940000000.0,302000000.0,3445000000.0,,7845000000.0,9195000000.0,15270000000.0,3013000000.0,5060000000.0,7013000000.0,13895000000.0,,6941000000.0,65452000000.0,3409000000.0,76429000000.0,76429000000.0,101000000.0,181621000000.0,11556000000.0,12368000000.0,12368000000.0,169253000000.0,181621000000.0,812000000.0,67294000000.0,397000000.0
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2011.0,FY,,2011-12-31,2013-03-01 13:57:22+00:00,,,,,,,,,,,,,,,,,,,,13101000000.0,,13101000000.0,,,,,
Lincoln National Corp,LNC,EFQMQROEDSNBRIP7LE47,59558,2011.0,Q3,,2011-09-30,2011-11-03 16:20:56+00:00,1023000000.0,2463000000.0,4833000000.0,0.0,7792000000.0,8130000000.0,19969000000.0,3019000000.0,9203000000.0,6893000000.0,14088000000.0,0.0,6330000000.0,68581000000.0,4664000000.0,78195000000.0,78195000000.0,550000000.0,197747000000.0,14919000000.0,14919000000.0,14919000000.0,182828000000.0,197747000000.0,0.0,81183000000.0,383000000.0
