company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 15:13:34+00:00,7.29,7.29,,7.1,,1335000000.0,3033000000.0,3033000000.0,,3033000000.0,37353000000.0,41862000000.0,193000000.0,-293000000.0,,275000000.0,37353000000.0,4509000000.0,352000000.0,-18000000.0,4527000000.0,-159000000.0,4368000000.0,41862000000.0,416000000.0,416000000.0,427200000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 18:26:38+00:00,8.05,8.05,1.83,7.86,,1459000000.0,3217000000.0,3167000000.0,50000000.0,3217000000.0,36798000000.0,41372000000.0,-91000000.0,-475000000.0,,,36798000000.0,4574000000.0,332000000.0,-475000000.0,5049000000.0,-423000000.0,4626000000.0,41372000000.0,399700000.0,399700000.0,399700000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2008.0,Q3,2008-06-30,2008-09-28,2009-10-22 17:51:13+00:00,1.97,1.97,0.42,1.92,,362000000.0,782000000.0,782000000.0,,782000000.0,9400000000.0,10577000000.0,-13000000.0,-120000000.0,,55000000.0,9400000000.0,1177000000.0,85000000.0,-65000000.0,1242000000.0,-98000000.0,1144000000.0,10577000000.0,397000000.0,397000000.0,407300000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2008.0,Q2,2008-03-31,2008-06-29,2009-07-22 17:09:08+00:00,2.21,2.21,0.42,2.15,,423000000.0,882000000.0,882000000.0,,882000000.0,9804000000.0,11039000000.0,34000000.0,-172000000.0,,44000000.0,9804000000.0,1235000000.0,92000000.0,-128000000.0,1363000000.0,-58000000.0,1305000000.0,11039000000.0,399100000.0,399100000.0,410200000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2009.0,Q4,2009-09-28,2009-12-31,,2.05,2.05,0.63,2.01,,308000000.0,776000000.0,770000000.0,6000000.0,776000000.0,10570000000.0,11202000000.0,25000000.0,-8000000.0,,-502000000.0,10570000000.0,632000000.0,89000000.0,-510000000.0,1142000000.0,-64000000.0,1078000000.0,11202000000.0,384800000.0,384800000.0,384800000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 14:21:16+00:00,7.73,7.73,2.34,7.64,,1215000000.0,2973000000.0,2967000000.0,6000000.0,2973000000.0,39720000000.0,43867000000.0,123000000.0,-220000000.0,,,39720000000.0,4147000000.0,308000000.0,-220000000.0,4367000000.0,-185000000.0,4182000000.0,43867000000.0,384800000.0,384800000.0,384800000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2009.0,Q3,2009-06-29,2009-09-27,2009-10-22 17:51:13+00:00,2.09,2.09,0.57,2.07,,275000000.0,797000000.0,797000000.0,,797000000.0,9884000000.0,11056000000.0,54000000.0,-89000000.0,,176000000.0,9884000000.0,1172000000.0,67000000.0,87000000.0,1085000000.0,-13000000.0,1072000000.0,11056000000.0,381300000.0,381300000.0,385000000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2009.0,Q3YTD,2009-01-01,2009-09-27,,5.68,5.68,1.71,5.63,,907000000.0,2197000000.0,2197000000.0,,2197000000.0,29150000000.0,32665000000.0,98000000.0,-212000000.0,,502000000.0,29150000000.0,3515000000.0,219000000.0,290000000.0,3225000000.0,-121000000.0,3104000000.0,32665000000.0,381300000.0,381300000.0,385000000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2009.0,Q2,2009-03-30,2009-06-28,2009-07-22 17:09:08+00:00,1.9,1.9,0.57,1.88,,320000000.0,734000000.0,734000000.0,,734000000.0,10047000000.0,11236000000.0,47000000.0,-71000000.0,,177000000.0,10047000000.0,1189000000.0,76000000.0,106000000.0,1083000000.0,-29000000.0,1054000000.0,11236000000.0,386300000.0,386300000.0,390400000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2009.0,Q2YTD,2009-01-01,2009-06-28,,3.59,3.59,1.14,3.56,,632000000.0,1400000000.0,1400000000.0,,1400000000.0,19266000000.0,21609000000.0,44000000.0,-123000000.0,,326000000.0,19266000000.0,2343000000.0,152000000.0,203000000.0,2140000000.0,-108000000.0,2032000000.0,21609000000.0,386300000.0,386300000.0,390400000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2009.0,Q1,2009-01-01,2009-03-29,2010-04-21 15:53:43+00:00,1.69,1.69,0.57,1.68,,312000000.0,666000000.0,666000000.0,,666000000.0,9219000000.0,10373000000.0,-3000000.0,-52000000.0,,149000000.0,9219000000.0,1154000000.0,76000000.0,97000000.0,1057000000.0,-79000000.0,978000000.0,10373000000.0,394100000.0,394100000.0,396400000.0
Lockheed Martin Corp,LMT,DPRBOZP0K5RM2YE8UU08,936468,2010.0,Q4,2010-09-27,2010-12-31,,2.6,2.6,0.75,2.57,,210000000.0,935000000.0,775000000.0,160000000.0,935000000.0,11477000000.0,12217000000.0,-28000000.0,-49000000.0,220000000.0,-530000000.0,11477000000.0,740000000.0,86000000.0,-359000000.0,1099000000.0,-114000000.0,985000000.0,12217000000.0,364200000.0,364200000.0,364200000.0
