company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,goodwill,grossppe,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othertaxespayable,prepaidexpenses,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2008.0,FY,,2008-12-31,2010-09-03 11:31:11+00:00,101157000.0,259082000.0,237521000.0,4709597000.0,-955000.0,125338000.0,1213000.0,,1875675000.0,2435000.0,691432000.0,7518102000.0,587630000.0,186062000.0,2928121000.0,,500945000.0,63148000.0,,,,30436000.0,129784000.0,,26473000.0,,,502000.0,510271000.0,104438000.0,2502000.0,4164933000.0,2351647000.0,514944000.0,469589000.0,2351647000.0,2351647000.0,1813286000.0,4164933000.0,721868000.0,1343697000.0,0.0,-33344000.0
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2009.0,FY,,2009-12-31,2011-08-16 11:48:48+00:00,30214000.0,227896000.0,207859000.0,5764669000.0,-19000.0,129785000.0,2544000.0,,1860090000.0,15837000.0,691432000.0,7949585000.0,392793000.0,145153000.0,2312153000.0,,348897000.0,10090000.0,13902000.0,,,33694000.0,146193000.0,,27956000.0,3907000.0,,593000.0,178035000.0,108832000.0,1238000.0,3444537000.0,2038106000.0,407258000.0,388763000.0,2038106000.0,2038106000.0,1406431000.0,3444537000.0,725126000.0,1017668000.0,0.0,
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2009.0,Q3,,2009-09-30,2009-11-03 15:08:34+00:00,19646000.0,173914000.0,202544000.0,5696671000.0,-74000.0,,2962000.0,,1854711000.0,8566000.0,691432000.0,7861488000.0,523753000.0,166021000.0,2287801000.0,,327653000.0,26303000.0,12645000.0,,,35420000.0,286711000.0,,,,,593000.0,78546000.0,90027000.0,3150000.0,3396162000.0,1933183000.0,381509000.0,324862000.0,1933183000.0,1933183000.0,1462979000.0,3396162000.0,726852000.0,1138117000.0,0.0,
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2009.0,Q2,,2009-06-30,2009-08-07 13:20:26+00:00,23973000.0,181652000.0,162287000.0,5642874000.0,-440000.0,,2960000.0,,1848043000.0,9182000.0,691432000.0,7740928000.0,706712000.0,191911000.0,2217911000.0,,273803000.0,54559000.0,528000.0,,,46425000.0,257070000.0,,,,,558000.0,44898000.0,85930000.0,6214000.0,3402804000.0,1892501000.0,447036000.0,272718000.0,1892501000.0,1892501000.0,1510303000.0,3402804000.0,737857000.0,1237585000.0,0.0,
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2010.0,FY,,2010-12-31,2012-02-22 13:39:07+00:00,47242000.0,310968000.0,285500000.0,6047019000.0,264000.0,109493000.0,114126000.0,,1883917000.0,4293000.0,691432000.0,8969377000.0,350000000.0,81871000.0,3078937000.0,,619040000.0,10193000.0,9587000.0,,,26810000.0,157569000.0,,35489000.0,33886000.0,,,725651000.0,134495000.0,5731000.0,4358247000.0,2609832000.0,561068000.0,512313000.0,2609832000.0,2609832000.0,1748415000.0,4358247000.0,718242000.0,1236102000.0,0.0,
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2010.0,Q3,,2010-09-30,2010-11-03 14:29:42+00:00,52626000.0,232235000.0,323496000.0,5969974000.0,97000.0,,148096000.0,,1887261000.0,,691432000.0,8682909000.0,350000000.0,99998000.0,2862608000.0,,531587000.0,60459000.0,438000.0,,,28472000.0,272227000.0,,,,,659000.0,614901000.0,117061000.0,25735000.0,4149694000.0,2502259000.0,567182000.0,493621000.0,2502259000.0,2502259000.0,1647435000.0,4149694000.0,719904000.0,1153814000.0,0.0,
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2010.0,Q2,,2010-06-30,2010-08-04 14:16:46+00:00,38437000.0,217822000.0,251630000.0,5896323000.0,-168000.0,,142057000.0,,1874255000.0,,691432000.0,8384985000.0,350000000.0,111143000.0,2619384000.0,,455987000.0,32308000.0,109000.0,,,32258000.0,275517000.0,,,,,659000.0,493565000.0,131301000.0,23570000.0,3870633000.0,2367652000.0,527559000.0,421477000.0,2367652000.0,2367652000.0,1502981000.0,3870633000.0,723690000.0,1081504000.0,0.0,
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2010.0,Q1,,2010-03-31,2010-05-07 14:33:54+00:00,44471000.0,267366000.0,232622000.0,5828786000.0,80000.0,,62542000.0,,1862256000.0,,691432000.0,8165712000.0,367832000.0,128207000.0,2466321000.0,,407166000.0,12890000.0,7171000.0,,,31272000.0,277886000.0,,,,,593000.0,375726000.0,132910000.0,47497000.0,3708120000.0,2238062000.0,519095000.0,417174000.0,2238062000.0,2238062000.0,1470058000.0,3708120000.0,722704000.0,1052884000.0,0.0,
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2011.0,FY,,2011-12-31,2013-02-26 14:06:24+00:00,79788000.0,359409000.0,351950000.0,6414528000.0,-14000.0,139680000.0,2406000.0,,1909364000.0,2723000.0,620232000.0,10540736000.0,405000000.0,85141000.0,4244423000.0,,903732000.0,823000.0,,,,34827000.0,162013000.0,,33946000.0,7393000.0,,,1221263000.0,150655000.0,,5357377000.0,3130613000.0,457895000.0,616339000.0,3130613000.0,3130613000.0,2226764000.0,5357377000.0,655059000.0,1610425000.0,0.0,
Cimarex Energy Co,XEC,11KYOFXPU1C4CQL1CL44,1168054,2011.0,Q3,,2011-09-30,2011-11-03 14:12:32+00:00,61705000.0,343197000.0,379344000.0,6309847000.0,-153000.0,,57160000.0,,1900582000.0,2625000.0,691432000.0,10097049000.0,350000000.0,82947000.0,3885234000.0,,906118000.0,12267000.0,,,,33010000.0,265704000.0,,,,,,1112978000.0,135274000.0,3680000.0,5111552000.0,3013407000.0,501876000.0,576323000.0,3013407000.0,3013407000.0,2098145000.0,5111552000.0,724442000.0,1521822000.0,0.0,
