company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,capitalleaseobligations,cashandequivalents,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,grossppe,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Abercrombie & Fitch Co,ANF,,1018840,2010.0,Q2,,2010-07-31,2010-09-08 16:05:37+00:00,205025000.0,83777000.0,238425000.0,-7309000.0,202949000.0,613633000.0,341785000.0,43361000.0,56025000.0,31229000.0,,75967000.0,127536000.0,480128000.0,1204349000.0,,47649000.0,85083000.0,,206332000.0,192561000.0,2160506000.0,,0.0,2856863000.0,1819697000.0,1318646000.0,518040000.0,1819697000.0,1819697000.0,1037166000.0,2856863000.0,333868000.0,519126000.0,-675285000.0
Abercrombie & Fitch Co,ANF,,1018840,2011.0,FY,,2012-01-28,2013-04-02 16:54:55+00:00,211368000.0,89350000.0,369073000.0,6291000.0,240873000.0,583495000.0,369171000.0,41047000.0,35882000.0,77918000.0,,,14858000.0,679935000.0,1197271000.0,,,84342000.0,,347249000.0,245418000.0,2389614000.0,,84650000.0,3117032000.0,1930302000.0,1557654000.0,699406000.0,1931335000.0,1931335000.0,1185697000.0,3117032000.0,362107000.0,486291000.0,-834774000.0
Abercrombie & Fitch Co,ANF,,1018840,2011.0,Q2,,2011-07-30,2011-09-07 13:06:30+00:00,221004000.0,96863000.0,300648000.0,11171000.0,194586000.0,539613000.0,348134000.0,42244000.0,47884000.0,16951000.0,,26288000.0,101923000.0,516128000.0,1196585000.0,,23519000.0,96967000.0,,330084000.0,213937000.0,2294867000.0,,,2926047000.0,1886870000.0,1297455000.0,580847000.0,1886870000.0,1886870000.0,1039177000.0,2926047000.0,432007000.0,458330000.0,-767302000.0
Abercrombie & Fitch Co,ANF,,1018840,2012.0,FY,,2013-02-02,2014-03-31 17:00:29+00:00,140396000.0,99622000.0,398868000.0,-13288000.0,232339000.0,643505000.0,404304000.0,39054000.0,32558000.0,112483000.0,,0.0,,426962000.0,1308232000.0,,,105177000.0,,371345000.0,245993000.0,2567261000.0,0.0,,2987401000.0,1818268000.0,1307824000.0,690801000.0,1818268000.0,1818268000.0,1169133000.0,2987401000.0,371345000.0,478332000.0,-1140009000.0
Abercrombie & Fitch Co,ANF,,1018840,2012.0,Q3,,2012-10-27,2012-12-04 15:22:35+00:00,165394000.0,91412000.0,358477000.0,-6420000.0,239213000.0,349670000.0,390410000.0,39822000.0,82835000.0,74102000.0,,,0.0,536315000.0,1313132000.0,,,81632000.0,,374549000.0,249672000.0,2366671000.0,60000000.0,19903000.0,2849448000.0,1661735000.0,1161767000.0,697795000.0,1662768000.0,1662768000.0,1186680000.0,2849448000.0,374549000.0,488885000.0,-1088926000.0
Abercrombie & Fitch Co,ANF,,1018840,2012.0,Q2,,2012-07-28,2012-09-05 15:04:28+00:00,186447000.0,95267000.0,350075000.0,-7527000.0,239702000.0,312153000.0,379133000.0,39996000.0,86186000.0,36062000.0,,,0.0,621740000.0,1280239000.0,,,91205000.0,,362338000.0,246120000.0,2309614000.0,75000000.0,20110000.0,2869238000.0,1695836000.0,1226661000.0,687580000.0,1695836000.0,1695836000.0,1173402000.0,2869238000.0,362338000.0,485822000.0,-985384000.0
Abercrombie & Fitch Co,ANF,,1018840,2013.0,FY,,2014-02-01,2015-03-30 16:19:31+00:00,130715000.0,67965000.0,322834000.0,-20917000.0,201525000.0,600116000.0,434653000.0,36165000.0,21835000.0,63508000.0,,120000000.0,,530192000.0,1131341000.0,,,100458000.0,,399090000.0,231757000.0,2556270000.0,15000000.0,,2850997000.0,1729493000.0,1320566000.0,568222000.0,1729493000.0,1729493000.0,1121504000.0,2850997000.0,399090000.0,553282000.0,-1240513000.0
Abercrombie & Fitch Co,ANF,,1018840,2013.0,Q3,,2013-11-02,2013-12-10 16:06:12+00:00,185438000.0,86726000.0,307962000.0,-16530000.0,215210000.0,257525000.0,425934000.0,36050000.0,56699000.0,59130000.0,,123750000.0,,768946000.0,1160904000.0,,,116714000.0,,404882000.0,234839000.0,2505445000.0,15000000.0,,2852396000.0,1673984000.0,1286610000.0,603580000.0,1675017000.0,1675017000.0,1177379000.0,2852396000.0,404882000.0,573799000.0,-1240865000.0
Abercrombie & Fitch Co,ANF,,1018840,2013.0,Q2,,2013-08-03,2013-09-09 16:14:06+00:00,195728000.0,92886000.0,291772000.0,-22918000.0,219082000.0,335023000.0,410412000.0,36994000.0,47057000.0,39733000.0,,127500000.0,,633483000.0,1252841000.0,,,107621000.0,,373932000.0,233369000.0,2536499000.0,15000000.0,,2842843000.0,1682632000.0,1216070000.0,579227000.0,1683665000.0,1683665000.0,1159178000.0,2842843000.0,373932000.0,579951000.0,-1241361000.0
Abercrombie & Fitch Co,ANF,,1018840,2013.0,Q1,,2013-05-04,2013-06-11 16:24:08+00:00,146242000.0,91303000.0,301488000.0,-21053000.0,222602000.0,555901000.0,403818000.0,38472000.0,41728000.0,32304000.0,,131250000.0,,458630000.0,1268285000.0,,,114146000.0,,365018000.0,227877000.0,2542772000.0,15000000.0,,2895011000.0,1778743000.0,1261708000.0,533506000.0,1779776000.0,1779776000.0,1115235000.0,2895011000.0,365018000.0,581729000.0,-1146794000.0
Abercrombie & Fitch Co,ANF,,1018840,2014.0,FY,,2015-01-31,2016-03-28 16:25:31+00:00,141685000.0,52910000.0,282736000.0,-83580000.0,156914000.0,520708000.0,435170000.0,26629000.0,13986000.0,32804000.0,,291310000.0,,460794000.0,967001000.0,0.0,,116574000.0,,373194000.0,181286000.0,2550673000.0,2102000.0,,2505167000.0,1389701000.0,1164972000.0,485956000.0,1389701000.0,1389701000.0,1115466000.0,2505167000.0,373194000.0,629510000.0,-1512562000.0
Abercrombie & Fitch Co,ANF,,1018840,2014.0,Q3,,2014-11-01,2014-12-11 16:03:18+00:00,197606000.0,65083000.0,273362000.0,-45117000.0,174696000.0,320564000.0,433403000.0,28972000.0,17543000.0,9251000.0,,291836000.0,,617542000.0,1050795000.0,,,116160000.0,,387882000.0,202285000.0,2520209000.0,2102000.0,,2575569000.0,1395459000.0,1136892000.0,511293000.0,1395459000.0,1395459000.0,1180110000.0,2575569000.0,387882000.0,668817000.0,-1513036000.0
Abercrombie & Fitch Co,ANF,,1018840,2014.0,Q2,,2014-08-02,2014-09-05 16:52:09+00:00,160280000.0,75679000.0,277592000.0,-15069000.0,188615000.0,310740000.0,428787000.0,31397000.0,34264000.0,14955000.0,,112500000.0,,550227000.0,1098240000.0,,,105983000.0,,388043000.0,211473000.0,2516199000.0,75000000.0,,2563176000.0,1491364000.0,1076893000.0,559224000.0,1491364000.0,1491364000.0,1071812000.0,2563176000.0,388043000.0,512588000.0,-1438553000.0
Abercrombie & Fitch Co,ANF,,1018840,2014.0,Q1,,2014-05-03,2014-06-09 17:28:43+00:00,122075000.0,69983000.0,282878000.0,-9180000.0,199261000.0,357122000.0,424545000.0,32787000.0,36770000.0,17362000.0,,116250000.0,,486026000.0,1121777000.0,,,103125000.0,,391590000.0,228180000.0,2517934000.0,15000000.0,,2566393000.0,1552600000.0,1053026000.0,470102000.0,1552600000.0,1552600000.0,1013793000.0,2566393000.0,391590000.0,543691000.0,-1380699000.0
Abercrombie & Fitch Co,ANF,,1018840,2015.0,FY,,2016-01-30,2017-03-27 17:19:28+00:00,184175000.0,56868000.0,321237000.0,-114619000.0,136696000.0,588578000.0,408062000.0,23303000.0,,5988000.0,,286235000.0,,436701000.0,894178000.0,4659000.0,,96833000.0,,359881000.0,179683000.0,2530196000.0,,,2433039000.0,1291063000.0,1178980000.0,534703000.0,1291063000.0,1295722000.0,1137317000.0,2433039000.0,359881000.0,602614000.0,-1532576000.0
