company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Abercrombie & Fitch Co,ANF,,1018840,2009.0,Q3,2009-08-02,2009-10-31,,21796000.0,,,-118391000.0,-2417000.0,52430000.0,-1508000.0,-36446000.0,109996000.0,95051000.0,-46992000.0,109996000.0,95051000.0,-46992000.0,155638000.0,85986000.0,85986000.0,-88813000.0,17238000.0,6526000.0,30712000.0,106726000.0,100000000.0,,-18201000.0,
Abercrombie & Fitch Co,ANF,,1018840,2009.0,Q2YTD,2009-02-01,2009-08-01,2010-09-08 16:05:37+00:00,-21796000.0,,,118391000.0,2417000.0,-52430000.0,1508000.0,36446000.0,-109996000.0,-95051000.0,46992000.0,-109996000.0,-95051000.0,46992000.0,-155638000.0,-85986000.0,-85986000.0,88813000.0,-17238000.0,-6526000.0,-30712000.0,-106726000.0,-100000000.0,,18201000.0,
Abercrombie & Fitch Co,ANF,,1018840,2010.0,Q4,2010-10-31,2011-01-29,,-48373000.0,,,229153000.0,2923000.0,-77222000.0,13941000.0,,-145333000.0,-92976000.0,391789000.0,-145333000.0,-92976000.0,391789000.0,156403000.0,155709000.0,155709000.0,132522000.0,-9367000.0,-16583000.0,-61656000.0,-160935000.0,-12093000.0,-76158000.0,84542000.0,
Abercrombie & Fitch Co,ANF,,1018840,2010.0,FY,2010-01-31,2011-01-29,2013-04-02 16:54:55+00:00,-48373000.0,,,229153000.0,2923000.0,-77222000.0,13941000.0,0.0,-145333000.0,-92976000.0,391789000.0,-145333000.0,-92976000.0,391789000.0,156403000.0,155709000.0,155709000.0,132522000.0,-9367000.0,-16583000.0,-61656000.0,-160935000.0,-12093000.0,-76158000.0,84542000.0,
Abercrombie & Fitch Co,ANF,,1018840,2010.0,Q3,2010-08-01,2010-10-30,,23173000.0,,,-112403000.0,344000.0,175737000.0,-494000.0,,36644000.0,7770000.0,38864000.0,36644000.0,7770000.0,38864000.0,83622000.0,-7651000.0,-7651000.0,-39992000.0,6302000.0,11583000.0,30836000.0,59754000.0,,,-63567000.0,
Abercrombie & Fitch Co,ANF,,1018840,2010.0,Q2TTM,2009-08-02,2010-07-31,,-1377000.0,,,-5988000.0,-2761000.0,-123307000.0,-1014000.0,-36446000.0,73352000.0,87281000.0,-85856000.0,73352000.0,87281000.0,-85856000.0,72016000.0,93637000.0,93637000.0,-48821000.0,10936000.0,-5057000.0,-124000.0,46972000.0,100000000.0,,45366000.0,
Abercrombie & Fitch Co,ANF,,1018840,2010.0,Q2,2010-05-02,2010-07-31,,-23173000.0,,,112403000.0,-344000.0,-175737000.0,494000.0,,-36644000.0,-7770000.0,-38864000.0,-36644000.0,-7770000.0,-38864000.0,-83622000.0,7651000.0,7651000.0,39992000.0,-6302000.0,-11583000.0,-30836000.0,-59754000.0,,,63567000.0,
Abercrombie & Fitch Co,ANF,,1018840,2010.0,Q2YTD,2010-01-31,2010-07-31,2011-09-07 13:06:30+00:00,-23173000.0,,,112403000.0,-344000.0,-175737000.0,494000.0,,-36644000.0,-7770000.0,-38864000.0,-36644000.0,-7770000.0,-38864000.0,-83622000.0,7651000.0,7651000.0,39992000.0,-6302000.0,-11583000.0,-30836000.0,-59754000.0,,,63567000.0,
Abercrombie & Fitch Co,ANF,,1018840,2011.0,Q4,2011-10-30,2012-01-28,,-15239000.0,,,59387000.0,-4587000.0,101456000.0,12751000.0,,-113229000.0,-92548000.0,305518000.0,-113229000.0,-92548000.0,305518000.0,95154000.0,35856000.0,35856000.0,124058000.0,-12969000.0,-2474000.0,-15109000.0,-91024000.0,,-97902000.0,950000.0,
Abercrombie & Fitch Co,ANF,,1018840,2011.0,FY,2011-01-30,2012-01-28,2014-03-31 17:00:29+00:00,-48258000.0,,,232956000.0,-2059000.0,-159939000.0,46530000.0,0.0,-265329000.0,-340689000.0,365219000.0,-265329000.0,-340689000.0,365219000.0,-242858000.0,143934000.0,143934000.0,196526000.0,-9296000.0,-24741000.0,-60956000.0,-318598000.0,-45002000.0,-196605000.0,2650000.0,
