company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Monster Beverage Corp,MNST,,865752,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 15:05:38+00:00,1.17,1.17,1.11,65445000.0,108032000.0,108032000.0,108032000.0,494986000.0,1033780000.0,,375203000.0,494986000.0,538794000.0,,9886000.0,375203000.0,163591000.0,9886000.0,173477000.0,1033780000.0,92300000.0,92515000.0,97530000.0
Monster Beverage Corp,MNST,,865752,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 16:12:19+00:00,,1.16,1.1,126979000.0,208716000.0,208716000.0,208716000.0,530983000.0,1143299000.0,-1614000.0,275007000.0,530983000.0,612316000.0,,-1614000.0,275007000.0,337309000.0,-3228000.0,335695000.0,1143299000.0,,179934000.0,189286000.0
Monster Beverage Corp,MNST,,865752,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 14:39:43+00:00,0.63,0.63,0.6,36251000.0,56505000.0,56505000.0,56505000.0,142897000.0,307929000.0,-159000.0,72117000.0,142897000.0,165032000.0,,-159000.0,72117000.0,92915000.0,-318000.0,92756000.0,307929000.0,89700000.0,90154000.0,94683000.0
Monster Beverage Corp,MNST,,865752,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 16:38:57+00:00,0.63,0.63,0.6,35895000.0,57289000.0,57289000.0,57289000.0,138421000.0,300250000.0,401000.0,69046000.0,138421000.0,161829000.0,,401000.0,69046000.0,92783000.0,802000.0,93184000.0,300250000.0,90900000.0,90604000.0,95282000.0
Monster Beverage Corp,MNST,,865752,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 14:49:50+00:00,,1.2,1.14,137273000.0,212029000.0,212029000.0,212029000.0,623702000.0,1303942000.0,1488000.0,332426000.0,623702000.0,680240000.0,-2246000.0,-758000.0,332426000.0,347814000.0,2976000.0,349302000.0,1303942000.0,,177028000.0,186042000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.84,1.84,1.84,106240000.0,162897000.0,162897000.0,162897000.0,469447000.0,985277000.0,135000.0,247814000.0,469447000.0,515830000.0,,1121000.0,247814000.0,268016000.0,1256000.0,269137000.0,985277000.0,,88369000.0,92865000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 12:25:53+00:00,,0.75,0.72,40873000.0,66496000.0,66496000.0,66496000.0,183540000.0,381466000.0,-186000.0,90371000.0,183540000.0,197926000.0,,-186000.0,90371000.0,107555000.0,-372000.0,107369000.0,381466000.0,,88369000.0,92865000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.09,1.09,1.09,65367000.0,96401000.0,96401000.0,96401000.0,285907000.0,603811000.0,321000.0,157443000.0,285907000.0,317904000.0,,1307000.0,157443000.0,160461000.0,1628000.0,161768000.0,603811000.0,88700000.0,88587000.0,92969000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 12:47:59+00:00,0.72,0.72,0.69,46159000.0,63838000.0,63838000.0,63838000.0,172351000.0,365701000.0,321000.0,83674000.0,172351000.0,193350000.0,,321000.0,83674000.0,109676000.0,642000.0,109997000.0,365701000.0,88700000.0,88587000.0,92969000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q1,2010-01-01,2010-03-31,2011-05-10 14:36:45+00:00,0.37,0.37,0.35,19208000.0,32563000.0,32563000.0,32563000.0,113556000.0,238110000.0,,73769000.0,113556000.0,124554000.0,,986000.0,73769000.0,50785000.0,986000.0,51771000.0,238110000.0,88000000.0,88347000.0,93031000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q4,2011-10-01,2011-12-31,,0.37,0.37,0.37,39994000.0,64536000.0,64536000.0,64536000.0,195713000.0,409957000.0,272000.0,110848000.0,195713000.0,214244000.0,-1619000.0,-485000.0,110848000.0,103396000.0,1406000.0,104530000.0,409957000.0,,176212000.0,186674000.0
Monster Beverage Corp,MNST,,865752,2011.0,FY,2011-01-01,2011-12-31,2014-03-03 15:11:28+00:00,,1.62,1.53,171051000.0,286219000.0,286219000.0,286219000.0,808921000.0,1703230000.0,847000.0,437886000.0,808921000.0,894309000.0,-1619000.0,-772000.0,437886000.0,456423000.0,1694000.0,457270000.0,1703230000.0,,176212000.0,186674000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q3YTD,2011-01-01,2011-09-30,,1.26,1.26,1.26,131057000.0,221683000.0,221683000.0,221683000.0,613208000.0,1293273000.0,575000.0,327038000.0,613208000.0,680065000.0,,-287000.0,327038000.0,353027000.0,288000.0,352740000.0,1293273000.0,,175952000.0,186640000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q3TTM,2010-10-01,2011-09-30,,1.54,1.54,1.54,162090000.0,270815000.0,270815000.0,270815000.0,767463000.0,1611938000.0,1928000.0,411650000.0,767463000.0,844475000.0,-2246000.0,-2166000.0,411650000.0,432825000.0,2008000.0,432905000.0,1611938000.0,,175952000.0,186640000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q3,2011-07-01,2011-09-30,2012-11-09 14:02:35+00:00,,0.47,0.44,48836000.0,82392000.0,82392000.0,82392000.0,224402000.0,474709000.0,,118217000.0,224402000.0,250307000.0,,-862000.0,118217000.0,132090000.0,-862000.0,131228000.0,474709000.0,,175952000.0,186640000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q2YTD,2011-01-01,2011-06-30,,0.79,0.79,0.79,82221000.0,139291000.0,139291000.0,139291000.0,388806000.0,818564000.0,575000.0,208821000.0,388806000.0,429758000.0,,575000.0,208821000.0,220937000.0,1150000.0,221512000.0,818564000.0,,176950000.0,187208000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q2TTM,2010-07-01,2011-06-30,,1.44,1.44,1.44,154127000.0,254919000.0,254919000.0,254919000.0,726601000.0,1518695000.0,1742000.0,383804000.0,726601000.0,792094000.0,-2246000.0,-1490000.0,383804000.0,408290000.0,2498000.0,409046000.0,1518695000.0,,176950000.0,187208000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q2,2011-04-01,2011-06-30,2012-08-09 16:22:35+00:00,,0.48,0.45,48508000.0,84248000.0,84248000.0,84248000.0,217924000.0,462145000.0,274000.0,111739000.0,217924000.0,244221000.0,,274000.0,111739000.0,132482000.0,548000.0,132756000.0,462145000.0,,176950000.0,187208000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q1TTM,2010-04-01,2011-03-31,,1.32,1.32,1.32,151778000.0,234509000.0,234509000.0,234509000.0,681028000.0,1422251000.0,1789000.0,355739000.0,681028000.0,741223000.0,-2246000.0,-1443000.0,355739000.0,385484000.0,2592000.0,386287000.0,1422251000.0,,177858000.0,187248000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q1,2011-01-01,2011-03-31,2012-05-10 15:06:46+00:00,,0.31,0.29,33713000.0,55043000.0,55043000.0,55043000.0,170882000.0,356419000.0,301000.0,97082000.0,170882000.0,185537000.0,,301000.0,97082000.0,88455000.0,602000.0,88756000.0,356419000.0,,177858000.0,187248000.0
Monster Beverage Corp,MNST,,865752,2012.0,FY,2012-01-01,2012-12-31,2015-03-02 14:30:36+00:00,,1.96,1.86,209134000.0,340020000.0,340020000.0,340020000.0,995046000.0,2060702000.0,-1469000.0,515033000.0,995046000.0,1065656000.0,2256000.0,787000.0,515033000.0,550623000.0,-2938000.0,549154000.0,2060702000.0,,173712000.0,183083000.0
Monster Beverage Corp,MNST,,865752,2012.0,Q3YTD,2012-01-01,2012-09-30,,1.55,1.55,1.55,165546000.0,272036000.0,272036000.0,272036000.0,767416000.0,1589185000.0,839000.0,385026000.0,767416000.0,821769000.0,-254000.0,585000.0,385026000.0,436743000.0,1678000.0,437582000.0,1589185000.0,,175026000.0,183899000.0
Monster Beverage Corp,MNST,,865752,2012.0,Q3TTM,2011-10-01,2012-09-30,,1.92,1.92,1.92,205540000.0,336572000.0,336572000.0,336572000.0,963129000.0,1999142000.0,1111000.0,495874000.0,963129000.0,1036013000.0,-1873000.0,100000.0,495874000.0,540139000.0,3084000.0,542112000.0,1999142000.0,,175026000.0,183899000.0
