company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longterminvestments,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentnonoperatingassets,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Monster Beverage Corp,MNST,,865752,2009.0,FY,,2009-12-31,2011-03-01 15:05:38+00:00,48863000.0,104206000.0,17151000.0,-4667000.0,328349000.0,,137526000.0,9125000.0,10350000.0,761000.0,7623000.0,,33512000.0,80836000.0,108143000.0,33314000.0,131388000.0,65678000.0,,4699000.0,,1226000.0,,11270000.0,670396000.0,206000.0,18487000.0,800070000.0,584953000.0,585504000.0,83729000.0,584953000.0,584953000.0,215117000.0,800070000.0,181252000.0,131388000.0,-218302000.0
Monster Beverage Corp,MNST,,865752,2010.0,FY,,2010-12-31,2012-02-29 16:12:19+00:00,90314000.0,166041000.0,84671000.0,281000.0,354842000.0,0.0,187534000.0,10140000.0,26764000.0,925000.0,7603000.0,,43316000.0,44189000.0,153241000.0,34551000.0,124899000.0,58475000.0,,413000.0,,3447000.0,,17022000.0,882425000.0,,244649000.0,1146950000.0,828398000.0,962972000.0,193653000.0,828398000.0,828398000.0,318552000.0,1146950000.0,149427000.0,124899000.0,-241842000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q3,,2010-09-30,2010-11-09 14:39:43+00:00,91024000.0,130942000.0,31918000.0,-885000.0,509629000.0,,171408000.0,9696000.0,13011000.0,,6895000.0,,42230000.0,46002000.0,148938000.0,33173000.0,124929000.0,60948000.0,,836000.0,,1794000.0,,14974000.0,833293000.0,244000.0,24203000.0,1026680000.0,761974000.0,842533000.0,139777000.0,761974000.0,761974000.0,264706000.0,1026680000.0,150974000.0,124929000.0,-241842000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q2,,2010-06-30,2010-08-09 16:38:57+00:00,87504000.0,127564000.0,36556000.0,-4185000.0,409911000.0,,157694000.0,9452000.0,10350000.0,19293000.0,5978000.0,,39752000.0,59484000.0,139233000.0,32038000.0,127513000.0,61065000.0,,3916000.0,,3343000.0,,16577000.0,766797000.0,135000.0,61662000.0,964895000.0,678464000.0,769213000.0,158918000.0,678464000.0,678464000.0,286431000.0,964895000.0,163644000.0,127513000.0,-241842000.0
Monster Beverage Corp,MNST,,865752,2011.0,FY,,2011-12-31,2013-03-01 14:49:50+00:00,113446000.0,218072000.0,119712000.0,-1547000.0,359331000.0,0.0,230295000.0,11583000.0,16798000.0,10996000.0,10353000.0,,48396000.0,23194000.0,155613000.0,45151000.0,117151000.0,58576000.0,,669000.0,,4405000.0,,20912000.0,1168644000.0,,411282000.0,1362399000.0,979158000.0,1182677000.0,266090000.0,979158000.0,979158000.0,383241000.0,1362399000.0,134571000.0,117151000.0,-418234000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q3,,2011-09-30,2011-11-09 12:25:53+00:00,108521000.0,139033000.0,32817000.0,-1504000.0,287157000.0,0.0,220827000.0,11434000.0,17004000.0,3128000.0,9035000.0,,47466000.0,26689000.0,164481000.0,44070000.0,119953000.0,57545000.0,,512000.0,,3926000.0,,18290000.0,1104108000.0,994000.0,412255000.0,1218428000.0,932546000.0,1038732000.0,165929000.0,932546000.0,932546000.0,285882000.0,1218428000.0,135626000.0,119953000.0,-390885000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q2,,2011-06-30,2011-08-09 12:47:59+00:00,102263000.0,161626000.0,32713000.0,2004000.0,418197000.0,0.0,207328000.0,11050000.0,17020000.0,8784000.0,5785000.0,,46677000.0,30202000.0,156778000.0,40931000.0,121376000.0,57545000.0,,673000.0,,4080000.0,,18623000.0,1021716000.0,1255000.0,281218000.0,1233570000.0,950344000.0,1054135000.0,161850000.0,950344000.0,950344000.0,283226000.0,1233570000.0,138504000.0,121376000.0,-280704000.0
Monster Beverage Corp,MNST,,865752,2011.0,Q1,,2011-03-31,2011-05-10 14:36:45+00:00,89708000.0,148989000.0,26356000.0,1110000.0,295505000.0,,195679000.0,10728000.0,16965000.0,21636000.0,5196000.0,,45300000.0,30462000.0,173725000.0,39037000.0,123192000.0,58412000.0,,15000.0,,2962000.0,,21635000.0,937468000.0,1623000.0,298985000.0,1131992000.0,853553000.0,955819000.0,155247000.0,853553000.0,853553000.0,278439000.0,1131992000.0,137136000.0,123192000.0,-280704000.0
Monster Beverage Corp,MNST,,865752,2012.0,FY,,2012-12-31,2014-03-03 15:11:28+00:00,127330000.0,236044000.0,130124000.0,2074000.0,222514000.0,0.0,288972000.0,12695000.0,50713000.0,5470000.0,12926000.0,,54648000.0,21393000.0,203106000.0,69137000.0,110383000.0,59503000.0,,666000.0,,3576000.0,,24983000.0,1508664000.0,,97042000.0,1043325000.0,644397000.0,835068000.0,288545000.0,644397000.0,644397000.0,398928000.0,1043325000.0,139120000.0,110383000.0,-1155313000.0
Monster Beverage Corp,MNST,,865752,2012.0,Q3,,2012-09-30,2012-11-09 14:02:35+00:00,152449000.0,288584000.0,137499000.0,905000.0,283054000.0,0.0,263818000.0,12360000.0,34852000.0,2833000.0,11897000.0,,52851000.0,19882000.0,193934000.0,57574000.0,112209000.0,56005000.0,,669000.0,,3673000.0,,20190000.0,1440681000.0,,307654000.0,1318922000.0,889675000.0,1128937000.0,317038000.0,889675000.0,889675000.0,429247000.0,1318922000.0,132411000.0,112209000.0,-815729000.0
