company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Monster Beverage Corp,MNST,,865752,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 15:05:38+00:00,-4354000.0,55000.0,118338000.0,49000.0,3417000.0,,-1071000.0,77832000.0,2257000.0,-98046000.0,143982000.0,199496000.0,-98046000.0,143982000.0,199496000.0,244361000.0,108032000.0,108032000.0,10160000.0,4334000.0,-1720000.0,-131623000.0,-6718000.0,-1170000.0,-103467000.0,288238000.0,159000.0
Monster Beverage Corp,MNST,,865752,2009.0,Q4,2009-10-01,2009-12-31,,-1850000.0,12000.0,39441000.0,5000.0,1910000.0,,91000.0,-26077000.0,765000.0,-33779000.0,11370000.0,33010000.0,-33779000.0,11370000.0,33010000.0,10692000.0,53357000.0,53357000.0,3808000.0,912000.0,659000.0,-14998000.0,-7005000.0,-240000.0,-35216000.0,33814000.0,750000.0
Monster Beverage Corp,MNST,,865752,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 16:12:19+00:00,-5215000.0,68000.0,125838000.0,50000.0,5839000.0,,1904000.0,-73754000.0,2502000.0,-82079000.0,-4469000.0,156192000.0,-82079000.0,-4469000.0,156192000.0,71548000.0,208716000.0,208716000.0,15323000.0,3131000.0,1226000.0,-74976000.0,-23554000.0,-1539000.0,-86173000.0,97173000.0,877000.0
Monster Beverage Corp,MNST,,865752,2009.0,Q3,2009-07-01,2009-09-30,,-1867000.0,12000.0,40761000.0,11000.0,1682000.0,,517000.0,30583000.0,399000.0,-50846000.0,-7492000.0,92195000.0,-50846000.0,-7492000.0,92195000.0,34374000.0,56504000.0,56504000.0,3414000.0,128000.0,12000.0,-29988000.0,-5970000.0,-416000.0,-50957000.0,30289000.0,32000.0
Monster Beverage Corp,MNST,,865752,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 14:39:43+00:00,-3365000.0,56000.0,86397000.0,45000.0,3929000.0,,1813000.0,-47677000.0,1737000.0,-48300000.0,-15839000.0,123182000.0,-48300000.0,-15839000.0,123182000.0,60856000.0,155359000.0,155359000.0,11515000.0,2219000.0,567000.0,-59978000.0,-16549000.0,-1299000.0,-50957000.0,63359000.0,127000.0
Monster Beverage Corp,MNST,,865752,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 16:38:57+00:00,-1498000.0,44000.0,45636000.0,34000.0,2247000.0,,1296000.0,-78260000.0,1338000.0,2546000.0,-8347000.0,30987000.0,2546000.0,-8347000.0,30987000.0,26482000.0,98855000.0,98855000.0,8101000.0,2091000.0,555000.0,-29990000.0,-10579000.0,-883000.0,,33070000.0,95000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q4,2010-10-01,2010-12-31,,-1098000.0,12000.0,39213000.0,4000.0,3278000.0,,955000.0,3662000.0,9917000.0,11987000.0,-225958000.0,58229000.0,11987000.0,-225958000.0,58229000.0,-154787000.0,49132000.0,49132000.0,2145000.0,2182000.0,-1602000.0,-227412000.0,-4578000.0,-112000.0,,8676000.0,56000.0
Monster Beverage Corp,MNST,,865752,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 14:49:50+00:00,-9852000.0,48000.0,136369000.0,13000.0,11728000.0,,721000.0,-1860000.0,20824000.0,9238000.0,-212510000.0,229044000.0,9238000.0,-212510000.0,229044000.0,26493000.0,212029000.0,212029000.0,7099000.0,12374000.0,-1440000.0,-317381000.0,-12545000.0,-420000.0,-23540000.0,128593000.0,115000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q3TTM,2009-10-01,2010-09-30,,-10604000.0,48000.0,136597000.0,14000.0,10360000.0,,-143000.0,-31599000.0,11672000.0,-36528000.0,24818000.0,203825000.0,-36528000.0,24818000.0,203825000.0,191972000.0,216254000.0,216254000.0,8762000.0,11104000.0,821000.0,-104967000.0,-14972000.0,-548000.0,-58756000.0,153731000.0,809000.0
Monster Beverage Corp,MNST,,865752,2010.0,Q3,2010-07-01,2010-09-30,,-2490000.0,12000.0,59577000.0,3000.0,3000000.0,,1665000.0,-26943000.0,5886000.0,9365000.0,44596000.0,44092000.0,9365000.0,44596000.0,44092000.0,99718000.0,66496000.0,66496000.0,1527000.0,3548000.0,-173000.0,,-3583000.0,-69000.0,,50830000.0,12000.0
