company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,noncontrollinginterests,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
NYSE Euronext,NYX,,1368007,2008.0,FY,,2008-12-31,2009-11-06 16:07:50+00:00,,-1222000000.0,777000000.0,,8525000000.0,3985000000.0,5866000000.0,1787000000.0,695000000.0,18000000.0,2389000000.0,,3005000000.0,1397000000.0,,,-331000000.0,1185000000.0,13948000000.0,6556000000.0,6556000000.0,6574000000.0,7374000000.0,13948000000.0,,236000000.0,-416000000.0
NYSE Euronext,NYX,,1368007,2009.0,FY,,2009-12-31,2011-02-28 16:45:13+00:00,,-813000000.0,423000000.0,,8212000000.0,4210000000.0,6184000000.0,2166000000.0,986000000.0,64000000.0,2512000000.0,,3132000000.0,1383000000.0,,,-112000000.0,766000000.0,14382000000.0,6871000000.0,6871000000.0,6935000000.0,7447000000.0,14382000000.0,0.0,67000000.0,-416000000.0
NYSE Euronext,NYX,,1368007,2009.0,Q3,,2009-09-30,2009-11-06 16:07:50+00:00,,-804000000.0,428000000.0,,8276000000.0,4199000000.0,6206000000.0,2197000000.0,853000000.0,28000000.0,2416000000.0,,3145000000.0,1257000000.0,,,-284000000.0,772000000.0,14171000000.0,6772000000.0,6772000000.0,6800000000.0,7371000000.0,14171000000.0,,69000000.0,-416000000.0
NYSE Euronext,NYX,,1368007,2009.0,Q2,,2009-06-30,2009-08-07 11:12:43+00:00,,-800000000.0,507000000.0,0.0,8350000000.0,4178000000.0,6153000000.0,2137000000.0,811000000.0,27000000.0,2511000000.0,,3133000000.0,1595000000.0,,,-409000000.0,671000000.0,14288000000.0,6725000000.0,6725000000.0,6752000000.0,7536000000.0,14288000000.0,,128000000.0,-416000000.0
NYSE Euronext,NYX,,1368007,2010.0,FY,,2010-12-31,2012-02-28 21:50:46+00:00,,-1183000000.0,327000000.0,0.0,8183000000.0,4050000000.0,5837000000.0,2074000000.0,1021000000.0,48000000.0,2091000000.0,,3006000000.0,990000000.0,0.0,,212000000.0,464000000.0,13378000000.0,6796000000.0,6796000000.0,6844000000.0,6534000000.0,13378000000.0,0.0,52000000.0,-416000000.0
NYSE Euronext,NYX,,1368007,2010.0,Q3,,2010-09-30,2010-11-05 15:35:08+00:00,,-1087000000.0,324000000.0,,8175000000.0,4090000000.0,5927000000.0,2098000000.0,1035000000.0,52000000.0,2201000000.0,,2987000000.0,1187000000.0,,,156000000.0,476000000.0,13628000000.0,6828000000.0,6828000000.0,6880000000.0,6748000000.0,13628000000.0,,51000000.0,-416000000.0
NYSE Euronext,NYX,,1368007,2010.0,Q2,,2010-06-30,2010-08-06 14:29:04+00:00,,-1582000000.0,369000000.0,,8167000000.0,3863000000.0,5532000000.0,1962000000.0,991000000.0,54000000.0,2238000000.0,,2975000000.0,1340000000.0,,,106000000.0,437000000.0,13043000000.0,6275000000.0,6275000000.0,6329000000.0,6714000000.0,13043000000.0,,50000000.0,-416000000.0
NYSE Euronext,NYX,,1368007,2010.0,Q1,,2010-03-31,2010-05-07 15:48:23+00:00,,-1228000000.0,322000000.0,,8159000000.0,4020000000.0,5863000000.0,2088000000.0,1002000000.0,66000000.0,2538000000.0,,3020000000.0,1459000000.0,,,0.0,654000000.0,13802000000.0,6515000000.0,6515000000.0,6581000000.0,7221000000.0,13802000000.0,,57000000.0,-416000000.0
NYSE Euronext,NYX,,1368007,2011.0,FY,,2011-12-31,2013-02-26 17:06:19+00:00,,-1406000000.0,396000000.0,0.0,7985000000.0,4027000000.0,5697000000.0,2036000000.0,963000000.0,57000000.0,1988000000.0,,2954000000.0,1029000000.0,295000000.0,,518000000.0,155000000.0,13107000000.0,6581000000.0,6581000000.0,6638000000.0,6174000000.0,13107000000.0,,36000000.0,-516000000.0
NYSE Euronext,NYX,,1368007,2011.0,Q3,,2011-09-30,2011-11-04 16:19:34+00:00,,-1154000000.0,340000000.0,0.0,8010000000.0,4091000000.0,5839000000.0,2084000000.0,974000000.0,63000000.0,1952000000.0,,2820000000.0,1011000000.0,256000000.0,,484000000.0,68000000.0,13226000000.0,6924000000.0,6924000000.0,6987000000.0,5983000000.0,13226000000.0,,30000000.0,-416000000.0
