company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,othergains,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
PetSmart Inc ,PETM,,863157,2009.0,FY,2008-02-04,2009-02-01,2011-03-24 16:07:00+00:00,1.55,1.55,0.12,1.52,121019000.0,192670000.0,192670000.0,192670000.0,3569860000.0,5065293000.0,2592000.0,1125579000.0,3569860000.0,1495433000.0,58757000.0,1125579000.0,369854000.0,-58757000.0,311097000.0,5065293000.0,124300000.0,124342000.0,126751000.0
PetSmart Inc ,PETM,,863157,2010.0,FY,2009-02-02,2010-01-31,2012-03-23 06:10:43+00:00,1.62,1.62,0.33,1.59,117554000.0,198325000.0,198325000.0,198325000.0,3817175000.0,5336392000.0,6548000.0,1150138000.0,3817175000.0,1519217000.0,59748000.0,1150138000.0,369079000.0,-59748000.0,309331000.0,5336392000.0,122400000.0,122363000.0,124701000.0
PetSmart Inc ,PETM,,863157,2010.0,Q3,2009-08-03,2009-11-01,2010-11-24 11:11:06+00:00,,0.31,,0.31,20453000.0,38070000.0,38070000.0,38070000.0,938174000.0,1294350000.0,2274000.0,284896000.0,938174000.0,356176000.0,15031000.0,284896000.0,71280000.0,-15031000.0,56249000.0,1294350000.0,,121661000.0,123781000.0
PetSmart Inc ,PETM,,863157,2010.0,Q2,2009-05-04,2009-08-02,2010-08-27 11:31:37+00:00,,0.32,,0.31,21392000.0,38964000.0,38964000.0,38964000.0,939373000.0,1308785000.0,1537000.0,295623000.0,939373000.0,369412000.0,14970000.0,295623000.0,73789000.0,-14970000.0,58819000.0,1308785000.0,,123474000.0,125504000.0
PetSmart Inc ,PETM,,863157,2011.0,Q4,2010-11-01,2011-01-30,,0.78,0.78,0.48,0.76,49096000.0,90276000.0,90276000.0,90276000.0,1055075000.0,1520034000.0,4167000.0,315139000.0,1055075000.0,464959000.0,14615000.0,315139000.0,149820000.0,-14615000.0,135205000.0,1520034000.0,117000000.0,116799000.0,119405000.0
PetSmart Inc ,PETM,,863157,2011.0,FY,2010-02-01,2011-01-30,2013-03-28 11:20:47+00:00,2.05,2.05,0.475,2.01,140396000.0,239867000.0,239867000.0,239867000.0,4039266000.0,5693797000.0,10372000.0,1225803000.0,4039266000.0,1654531000.0,58837000.0,1225803000.0,428728000.0,-58837000.0,369891000.0,5693797000.0,117000000.0,116799000.0,119405000.0
PetSmart Inc ,PETM,,863157,2011.0,Q3YTD,2010-02-01,2010-10-31,,1.27,1.27,,1.25,91300000.0,149591000.0,149591000.0,149591000.0,2984191000.0,4173763000.0,6205000.0,910664000.0,2984191000.0,1189572000.0,44222000.0,910664000.0,278908000.0,-44222000.0,234686000.0,4173763000.0,117000000.0,116943000.0,119360000.0
PetSmart Inc ,PETM,,863157,2011.0,Q3,2010-08-02,2010-10-31,2011-11-23 10:18:29+00:00,0.39,0.39,,0.38,26386000.0,45613000.0,45613000.0,45613000.0,999085000.0,1388070000.0,2648000.0,305345000.0,999085000.0,388985000.0,14289000.0,305345000.0,83640000.0,-14289000.0,69351000.0,1388070000.0,117000000.0,116943000.0,119360000.0
PetSmart Inc ,PETM,,863157,2011.0,Q2YTD,2010-02-01,2010-08-01,,0.88,0.88,,0.87,64914000.0,103978000.0,103978000.0,103978000.0,1985106000.0,2785693000.0,3557000.0,605319000.0,1985106000.0,800587000.0,29933000.0,605319000.0,195268000.0,-29933000.0,165335000.0,2785693000.0,118000000.0,117079000.0,119423000.0
PetSmart Inc ,PETM,,863157,2011.0,Q2,2010-05-03,2010-08-01,2011-08-25 11:12:03+00:00,0.41,0.41,,0.41,31150000.0,48386000.0,48386000.0,48386000.0,994245000.0,1390540000.0,2119000.0,304288000.0,994245000.0,396295000.0,14590000.0,304288000.0,92007000.0,-14590000.0,77417000.0,1390540000.0,118000000.0,117079000.0,119423000.0
