company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxliabilities,currentemployeebenefitliabilities,dividendspayable,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2008.0,FY,,2008-12-31,2010-02-23 14:23:08+00:00,305950000.0,515999000.0,120357000.0,510764000.0,-140591000.0,214987000.0,,22917000.0,65846000.0,59644000.0,,1232335000.0,855279000.0,,786020000.0,512507000.0,344515000.0,19144000.0,,161669000.0,92371000.0,82596000.0,81445000.0,43069000.0,,1467099000.0,439000.0,,2994159000.0,1349425000.0,1335864000.0,634832000.0,1349425000.0,1368569000.0,1625590000.0,2994159000.0,1313780000.0,990758000.0,
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2009.0,FY,,2009-12-31,2011-02-28 15:14:35+00:00,292122000.0,449591000.0,7244000.0,575187000.0,-100090000.0,384613000.0,,71542000.0,57272000.0,64143000.0,,1368672000.0,908062000.0,,753050000.0,461750000.0,332875000.0,16741000.0,,172235000.0,86671000.0,81979000.0,97242000.0,27922000.0,,1774625000.0,399000.0,37770000.0,3219184000.0,1746077000.0,1420395000.0,503159000.0,1746077000.0,1762818000.0,1456366000.0,3219184000.0,1465914000.0,953207000.0,
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2009.0,Q3,,2009-09-30,2009-10-26 14:07:11+00:00,283088000.0,465521000.0,11946000.0,,-107221000.0,307569000.0,,43904000.0,53682000.0,64469000.0,,1365176000.0,,,792011000.0,455990000.0,342924000.0,16931000.0,,175409000.0,108670000.0,83671000.0,95061000.0,32957000.0,,1689583000.0,481000.0,,3140911000.0,1626266000.0,1337750000.0,497337000.0,1626266000.0,1643197000.0,1497714000.0,3140911000.0,1460237000.0,1000377000.0,
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2009.0,Q2,,2009-06-30,2009-08-06 10:03:21+00:00,247391000.0,445073000.0,9220000.0,,-138876000.0,220765000.0,,37034000.0,48442000.0,60788000.0,,1349707000.0,,,820581000.0,449894000.0,345538000.0,19330000.0,,169695000.0,91209000.0,71227000.0,97331000.0,42918000.0,,1611240000.0,527000.0,,2999517000.0,1509398000.0,1206941000.0,437595000.0,1509398000.0,1528728000.0,1470789000.0,2999517000.0,1447038000.0,1033194000.0,
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2010.0,FY,,2010-12-31,2012-02-24 14:13:06+00:00,384963000.0,718545000.0,39615000.0,611008000.0,-84757000.0,525888000.0,0.0,145031000.0,65311000.0,75183000.0,,1533299000.0,978004000.0,,799640000.0,549169000.0,366996000.0,21860000.0,,176636000.0,100187000.0,89566000.0,123432000.0,41876000.0,,2260581000.0,352000.0,98341000.0,4015857000.0,2320855000.0,1992130000.0,654990000.0,2320855000.0,2342715000.0,1673142000.0,4015857000.0,1656731000.0,1018152000.0,
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2010.0,Q3,,2010-09-30,2010-11-05 09:02:16+00:00,395999000.0,727458000.0,54460000.0,,-86296000.0,480528000.0,,100154000.0,66101000.0,76119000.0,,1527824000.0,,,904031000.0,539728000.0,352318000.0,24204000.0,,164316000.0,102717000.0,94085000.0,130953000.0,43112000.0,,2132101000.0,385000.0,107245000.0,3968771000.0,2145959000.0,1957676000.0,687149000.0,2145959000.0,2170163000.0,1798608000.0,3968771000.0,1658777000.0,1111459000.0,
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2010.0,Q2,,2010-06-30,2010-08-06 10:27:27+00:00,377618000.0,645595000.0,16492000.0,,-135677000.0,436677000.0,,91393000.0,55749000.0,65413000.0,,1382363000.0,,,781604000.0,498552000.0,325186000.0,27855000.0,,169221000.0,176879000.0,81279000.0,91516000.0,28011000.0,,1997445000.0,365000.0,,3556768000.0,1953161000.0,1757703000.0,596916000.0,1953161000.0,1981016000.0,1575752000.0,3556768000.0,1473879000.0,978836000.0,
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2010.0,Q1,,2010-03-31,2010-05-06 15:18:34+00:00,319820000.0,572616000.0,5744000.0,,-100989000.0,431719000.0,,80572000.0,70117000.0,64045000.0,,1371800000.0,,,752543000.0,476097000.0,327211000.0,17480000.0,,171082000.0,135913000.0,83715000.0,95160000.0,26569000.0,,1870378000.0,49440000.0,,3410516000.0,1849961000.0,1616345000.0,592881000.0,1849961000.0,1867441000.0,1543075000.0,3410516000.0,1466960000.0,950194000.0,
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2011.0,FY,,2011-12-31,2013-02-22 14:14:39+00:00,377867000.0,767181000.0,,655869000.0,-120057000.0,515086000.0,0.0,189329000.0,87315000.0,83810000.0,,1746113000.0,1036370000.0,,1376831000.0,649862000.0,380501000.0,13017000.0,,207049000.0,115260000.0,93125000.0,137374000.0,34144000.0,,2102497000.0,298000.0,133848000.0,4445225000.0,2171769000.0,2181237000.0,642415000.0,2171769000.0,2184786000.0,2260439000.0,4445225000.0,1883487000.0,1618024000.0,
Amphenol Corp,APH,549300D3L3G0R4U4VT04,820313,2011.0,Q3,,2011-09-30,2011-11-04 13:43:55+00:00,418201000.0,803477000.0,,,-91955000.0,690179000.0,,179255000.0,77684000.0,76944000.0,,1559958000.0,,,1265026000.0,634814000.0,359516000.0,12975000.0,,167585000.0,108612000.0,89070000.0,114510000.0,37433000.0,,2129274000.0,304000.0,90730000.0,4361796000.0,2216574000.0,2327812000.0,662203000.0,2216574000.0,2229549000.0,2132247000.0,4361796000.0,1674468000.0,1470044000.0,
