company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 11:55:07+00:00,-7437000000.0,1366000000.0,628000000.0,886000000.0,216000000.0,52000000.0,-485000000.0,12144000000.0,5121000000.0,-8416000000.0,3571000000.0,5121000000.0,-8416000000.0,3571000000.0,328000000.0,2724000000.0,2724000000.0,446000000.0,,46000000.0,-1638000000.0,-1241000000.0,-1677000000.0,-3708000000.0,,
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2008.0,Q4,2008-10-01,2008-12-31,,,964000000.0,968000000.0,234000000.0,59000000.0,-55000000.0,657000000.0,581000000.0,-654000000.0,-396000000.0,1612000000.0,-654000000.0,-396000000.0,1612000000.0,507000000.0,180000000.0,180000000.0,541000000.0,,11000000.0,-427000000.0,-466000000.0,-808000000.0,,,
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 10:44:30+00:00,-99000000.0,964000000.0,968000000.0,986000000.0,97000000.0,-87000000.0,100000000.0,7090000000.0,-2057000000.0,-1320000000.0,4141000000.0,-2057000000.0,-1320000000.0,4141000000.0,677000000.0,2893000000.0,2893000000.0,162000000.0,,49000000.0,-1663000000.0,-1367000000.0,-6707000000.0,-777000000.0,,
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2008.0,Q3,2008-07-01,2008-09-30,,,,,245000000.0,-38000000.0,-66000000.0,295000000.0,43000000.0,-778000000.0,-307000000.0,1180000000.0,-778000000.0,-307000000.0,1180000000.0,29000000.0,1365000000.0,1365000000.0,-725000000.0,,42000000.0,-410000000.0,-311000000.0,-284000000.0,-127000000.0,,
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-03 17:10:27+00:00,-99000000.0,,,752000000.0,38000000.0,-32000000.0,-557000000.0,6509000000.0,-1403000000.0,-924000000.0,2529000000.0,-1403000000.0,-924000000.0,2529000000.0,170000000.0,2713000000.0,2713000000.0,-379000000.0,,38000000.0,-1236000000.0,-901000000.0,-5899000000.0,-777000000.0,,
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-05 11:43:35+00:00,-99000000.0,,,507000000.0,76000000.0,34000000.0,-852000000.0,6466000000.0,-625000000.0,-617000000.0,1349000000.0,-625000000.0,-617000000.0,1349000000.0,141000000.0,1348000000.0,1348000000.0,346000000.0,,-4000000.0,-826000000.0,-590000000.0,-5615000000.0,-650000000.0,,
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,Q4,2009-10-01,2009-12-31,,,1025000000.0,1308000000.0,272000000.0,35000000.0,1000000.0,714000000.0,-535000000.0,-2172000000.0,-539000000.0,1815000000.0,-2172000000.0,-539000000.0,1815000000.0,-895000000.0,711000000.0,711000000.0,118000000.0,-10000000.0,-43000000.0,-428000000.0,-581000000.0,-1199000000.0,,,50000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 10:45:56+00:00,,1025000000.0,1308000000.0,931000000.0,41000000.0,145000000.0,669000000.0,3000000.0,-3133000000.0,-1239000000.0,5084000000.0,-3133000000.0,-1239000000.0,5084000000.0,857000000.0,3028000000.0,3028000000.0,456000000.0,-10000000.0,,-1712000000.0,-1330000000.0,-1414000000.0,,,50000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,Q3TTM,2008-10-01,2009-09-30,,,964000000.0,968000000.0,893000000.0,65000000.0,89000000.0,612000000.0,1119000000.0,-1615000000.0,-1096000000.0,4881000000.0,-1615000000.0,-1096000000.0,4881000000.0,2259000000.0,2497000000.0,2497000000.0,879000000.0,,54000000.0,-1711000000.0,-1215000000.0,-1023000000.0,,,
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2009.0,Q3,2009-07-01,2009-09-30,,,,,227000000.0,,49000000.0,415000000.0,527000000.0,-64000000.0,-269000000.0,1549000000.0,-64000000.0,-269000000.0,1549000000.0,1265000000.0,826000000.0,826000000.0,81000000.0,,6000000.0,-429000000.0,-275000000.0,-162000000.0,,,
