company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2008.0,FY,2007-08-26,2008-08-30,2010-10-25 16:48:43+00:00,10.14,10.14,10.04,365783000.0,641606000.0,641606000.0,641606000.0,3254645000.0,6522706000.0,2143927000.0,3254645000.0,3268061000.0,116745000.0,,2143927000.0,1124134000.0,-116745000.0,1007389000.0,6522706000.0,63300000.0,63295000.0,63875000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2009.0,Q4,2009-05-10,2009-08-29,,4.41,4.41,4.34,133709000.0,236125000.0,236125000.0,236125000.0,1109442000.0,2232495000.0,705458000.0,1109442000.0,1123053000.0,47761000.0,,705458000.0,417595000.0,-47761000.0,369834000.0,2232495000.0,55300000.0,55282000.0,55992000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2009.0,FY,2008-08-31,2009-08-29,2011-10-24 17:27:49+00:00,11.89,11.89,11.73,376697000.0,657049000.0,657049000.0,657049000.0,3400375000.0,6816824000.0,2240387000.0,3400375000.0,3416449000.0,142316000.0,,2240387000.0,1176062000.0,-142316000.0,1033746000.0,6816824000.0,55300000.0,55282000.0,55992000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2009.0,Q3YTD,2008-08-31,2009-05-09,,7.48,7.48,7.39,242988000.0,420924000.0,420924000.0,420924000.0,2290933000.0,4584329000.0,1534929000.0,2290933000.0,2293396000.0,94555000.0,,1534929000.0,758467000.0,-94555000.0,663912000.0,4584329000.0,54600000.0,54652000.0,55456000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2009.0,Q3,2009-02-15,2009-05-09,2010-06-16 16:55:05+00:00,3.18,3.18,3.13,100061000.0,173689000.0,173689000.0,173689000.0,825253000.0,1658160000.0,527675000.0,825253000.0,832907000.0,31482000.0,,527675000.0,305232000.0,-31482000.0,273750000.0,1658160000.0,54600000.0,54652000.0,55456000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2009.0,Q2YTD,2008-08-31,2009-02-14,,4.3,4.3,4.26,142927000.0,247235000.0,247235000.0,247235000.0,1465680000.0,2926169000.0,1007254000.0,1465680000.0,1460489000.0,63073000.0,,1007254000.0,453235000.0,-63073000.0,390162000.0,2926169000.0,56500000.0,56517000.0,57165000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2009.0,Q2,2008-11-23,2009-02-14,2010-03-18 14:18:48+00:00,2.05,2.05,2.03,66925000.0,115864000.0,115864000.0,115864000.0,728579000.0,1447877000.0,504602000.0,728579000.0,719298000.0,31907000.0,,504602000.0,214696000.0,-31907000.0,182789000.0,1447877000.0,56500000.0,56517000.0,57165000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2009.0,Q1,2008-08-31,2008-11-22,2009-12-17 16:52:15+00:00,2.25,2.25,2.23,76002000.0,131371000.0,131371000.0,131371000.0,737101000.0,1478292000.0,502652000.0,737101000.0,741191000.0,31166000.0,,502652000.0,238539000.0,-31166000.0,207373000.0,1478292000.0,58400000.0,58325000.0,58915000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2010.0,Q4,2010-05-09,2010-08-28,,5.69,5.69,5.57,154380000.0,268933000.0,268933000.0,268933000.0,1210196000.0,2445159000.0,762223000.0,1210196000.0,1234963000.0,49427000.0,,762223000.0,472740000.0,-49427000.0,423313000.0,2445159000.0,48500000.0,48488000.0,49304000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2010.0,FY,2009-08-30,2010-08-28,2012-10-22 17:06:09+00:00,15.23,15.23,14.97,422194000.0,738311000.0,738311000.0,738311000.0,3650874000.0,7362618000.0,2392330000.0,3650874000.0,3711744000.0,158909000.0,,2392330000.0,1319414000.0,-158909000.0,1160505000.0,7362618000.0,48500000.0,48488000.0,49304000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2010.0,Q3YTD,2009-08-30,2010-05-08,,9.54,9.54,9.4,267814000.0,469378000.0,469378000.0,469378000.0,2440678000.0,4917459000.0,1630107000.0,2440678000.0,2476781000.0,109482000.0,,1630107000.0,846674000.0,-109482000.0,737192000.0,4917459000.0,48400000.0,48377000.0,49212000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2010.0,Q3TTM,2009-05-10,2010-05-08,,13.95,13.95,13.74,401523000.0,705503000.0,705503000.0,705503000.0,3550120000.0,7149954000.0,2335565000.0,3550120000.0,3599834000.0,157243000.0,,2335565000.0,1264269000.0,-157243000.0,1107026000.0,7149954000.0,48400000.0,48377000.0,49212000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2010.0,Q3,2010-02-14,2010-05-08,2011-06-15 16:48:57+00:00,4.19,4.19,4.12,116287000.0,202745000.0,202745000.0,202745000.0,898869000.0,1821990000.0,567256000.0,898869000.0,923121000.0,36833000.0,,567256000.0,355865000.0,-36833000.0,319032000.0,1821990000.0,48400000.0,48377000.0,49212000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2010.0,Q2YTD,2009-08-30,2010-02-13,,5.35,5.35,5.28,151527000.0,266633000.0,266633000.0,266633000.0,1541809000.0,3095469000.0,1062851000.0,1541809000.0,1553660000.0,72649000.0,,1062851000.0,490809000.0,-72649000.0,418160000.0,3095469000.0,49500000.0,49436000.0,50186000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2010.0,Q2TTM,2009-02-15,2010-02-13,,12.94,12.94,12.75,385297000.0,676447000.0,676447000.0,676447000.0,3476504000.0,6986124000.0,2295984000.0,3476504000.0,3509620000.0,151892000.0,,2295984000.0,1213636000.0,-151892000.0,1061744000.0,6986124000.0,49500000.0,49436000.0,50186000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2010.0,Q2,2009-11-22,2010-02-13,2011-03-17 16:17:29+00:00,2.49,2.49,2.46,70739000.0,123333000.0,123333000.0,123333000.0,752489000.0,1506225000.0,523355000.0,752489000.0,753736000.0,36309000.0,,523355000.0,230381000.0,-36309000.0,194072000.0,1506225000.0,49500000.0,49436000.0,50186000.0
Autozone Inc,AZO,GA3JGKJ41LJKXDN23E90,866787,2010.0,Q1TTM,2008-11-23,2009-11-21,,12.5,12.5,12.32,381483000.0,668978000.0,668978000.0,668978000.0,3452594000.0,6927776000.0,2277231000.0,3452594000.0,3475182000.0,147490000.0,,2277231000.0,1197951000.0,-147490000.0,1050461000.0,6927776000.0,50100000.0,50114000.0,50824000.0
