company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,saleofinvestments,saleofplantpropertyandequipment
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:27:31+00:00,-106942000.0,61375000.0,101908000.0,50157000.0,31805000.0,,8323000.0,-38484000.0,1763000.0,234500000.0,29548000.0,-142388000.0,343807000.0,29548000.0,-142388000.0,343807000.0,239290000.0,245705000.0,245705000.0,43406000.0,23139000.0,-6686000.0,-22954000.0,-30107000.0,-206900000.0,1347000.0,
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2008.0,Q4,2008-10-01,2008-12-31,,-2829000.0,18620000.0,144258000.0,39063000.0,9125000.0,,-11184000.0,24222000.0,1894000.0,-80431000.0,-83430000.0,-12488000.0,128899000.0,-83430000.0,-12488000.0,128899000.0,21797000.0,70871000.0,70871000.0,6061000.0,1658000.0,-961000.0,-6494000.0,-9260000.0,-57000.0,562000.0,
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 17:21:39+00:00,-704764000.0,69208000.0,144258000.0,39063000.0,33900000.0,,-13762000.0,14140000.0,1894000.0,1163487000.0,187919000.0,-739294000.0,434438000.0,187919000.0,-739294000.0,434438000.0,-130699000.0,281874000.0,281874000.0,35316000.0,16396000.0,-6229000.0,-25887000.0,-30047000.0,-967971000.0,1746000.0,
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2008.0,Q3,2008-07-01,2008-09-30,,-302227000.0,50588000.0,,,8585000.0,,-5292000.0,-10082000.0,,1109684000.0,187626000.0,-310491000.0,138243000.0,187626000.0,-310491000.0,138243000.0,10086000.0,74029000.0,74029000.0,15123000.0,3217000.0,-2552000.0,-6486000.0,-6451000.0,-918789000.0,739000.0,
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-02 15:54:54+00:00,-701935000.0,50588000.0,,,24775000.0,,-2578000.0,-10082000.0,,1243918000.0,271349000.0,-726806000.0,305539000.0,271349000.0,-726806000.0,305539000.0,-152496000.0,211003000.0,211003000.0,29255000.0,14738000.0,-5268000.0,-19393000.0,-20787000.0,-967914000.0,1184000.0,
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-17 09:30:04+00:00,-399708000.0,,,,16190000.0,,2714000.0,,,134234000.0,83723000.0,-416315000.0,167296000.0,83723000.0,-416315000.0,167296000.0,-162582000.0,136974000.0,136974000.0,14132000.0,11521000.0,-2716000.0,-12907000.0,-14336000.0,-49125000.0,445000.0,
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2009.0,Q4,2009-10-01,2009-12-31,,-353313000.0,18998000.0,103699000.0,47867000.0,8335000.0,,307000.0,-621000.0,121847000.0,,152946000.0,-361219000.0,119650000.0,152946000.0,-361219000.0,119650000.0,-88316000.0,71924000.0,71924000.0,21014000.0,7419000.0,-1358000.0,-7480000.0,-7177000.0,31160000.0,629000.0,
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 10:50:00+00:00,-354561000.0,71858000.0,103699000.0,47867000.0,34163000.0,,9929000.0,3273000.0,123143000.0,500000000.0,-13597000.0,-374192000.0,367499000.0,-13597000.0,-374192000.0,367499000.0,-10361000.0,239481000.0,239481000.0,18724000.0,13319000.0,-4964000.0,-29823000.0,-25885000.0,-620236000.0,11218000.0,
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2009.0,Q3TTM,2008-10-01,2009-09-30,,-4077000.0,71480000.0,144258000.0,39063000.0,34953000.0,,-1562000.0,28116000.0,3190000.0,419569000.0,-249973000.0,-25461000.0,376748000.0,-249973000.0,-25461000.0,376748000.0,99752000.0,238428000.0,238428000.0,3771000.0,7558000.0,-4567000.0,-28837000.0,-27968000.0,-651453000.0,11151000.0,
Roper Technologies Inc,ROP,549300LJXD867XMVE759,882835,2009.0,Q3,2009-07-01,2009-09-30,,,17199000.0,,,8308000.0,,4282000.0,4368000.0,406000.0,500000000.0,-48691000.0,-7380000.0,86987000.0,-48691000.0,-7380000.0,86987000.0,35198000.0,56410000.0,56410000.0,702000.0,2439000.0,-1433000.0,-7493000.0,-6349000.0,-544043000.0,402000.0,
