company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2008.0,FY,2008-02-03,2009-01-31,2011-03-17 16:02:21+00:00,1.69,1.69,1.69,,129600000.0,229500000.0,229500000.0,229500000.0,3052700000.0,4644900000.0,0.0,0.0,,1226400000.0,3052700000.0,1592200000.0,6700000.0,,1226400000.0,365800000.0,-6700000.0,359100000.0,4644900000.0,135400000.0,135400000.0,135400000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2009.0,FY,2009-02-01,2010-01-30,2012-03-22 08:54:25+00:00,2.39,2.39,2.37,,187100000.0,320500000.0,320500000.0,320500000.0,3374400000.0,5231200000.0,0.0,0.0,,1344000000.0,3374400000.0,1856800000.0,5200000.0,,1344000000.0,512800000.0,-5200000.0,507600000.0,5231200000.0,134100000.0,134100000.0,134100000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2009.0,Q3,2009-08-02,2009-10-31,2010-11-18 09:15:29+00:00,,0.51,0.51,,37800000.0,68200000.0,68200000.0,68200000.0,807500000.0,1248700000.0,0.0,0.0,,333600000.0,807500000.0,441200000.0,1600000.0,,333600000.0,107600000.0,-1600000.0,106000000.0,1248700000.0,,133700000.0,133700000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2009.0,Q2,2009-05-03,2009-08-01,2010-08-19 09:00:50+00:00,0.42,0.42,0.42,,31000000.0,56900000.0,56900000.0,56900000.0,801000000.0,1222800000.0,0.0,0.0,,332600000.0,801000000.0,421800000.0,1300000.0,,332600000.0,89200000.0,-1300000.0,87900000.0,1222800000.0,135500000.0,135500000.0,135500000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2010.0,Q4,2010-10-31,2011-01-29,,0.64,0.64,0.64,,95600000.0,162500000.0,162500000.0,162500000.0,1077400000.0,1725300000.0,,400000.0,,389200000.0,1077400000.0,647900000.0,1000000.0,,389200000.0,258700000.0,-600000.0,258100000.0,1725300000.0,254100000.0,254100000.0,254100000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2010.0,FY,2010-01-31,2011-01-29,2013-03-15 08:45:57+00:00,1.56,1.56,1.55,,232600000.0,397300000.0,397300000.0,397300000.0,3768500000.0,5882400000.0,26300000.0,5500000.0,,1457600000.0,3794800000.0,2087600000.0,5600000.0,,1457600000.0,630000000.0,-100000.0,629900000.0,5882400000.0,254100000.0,254100000.0,254100000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2010.0,Q3YTD,2010-01-31,2010-10-30,,1.84,1.84,1.84,,137000000.0,234800000.0,234800000.0,234800000.0,2691100000.0,4157100000.0,26300000.0,5100000.0,,1068400000.0,2717400000.0,1439700000.0,4600000.0,,1068400000.0,371300000.0,500000.0,371800000.0,4157100000.0,,127700000.0,127700000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2010.0,Q3,2010-08-01,2010-10-30,2011-11-17 09:15:32+00:00,,0.73,0.73,,51500000.0,93200000.0,93200000.0,93200000.0,920600000.0,1426600000.0,0.0,5400000.0,,365100000.0,920600000.0,506000000.0,1600000.0,,365100000.0,140900000.0,3800000.0,144700000.0,1426600000.0,,127700000.0,127700000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2010.0,Q2YTD,2010-01-31,2010-07-31,,1.11,1.11,1.11,,85500000.0,141600000.0,141600000.0,141600000.0,1770500000.0,2730500000.0,26300000.0,-300000.0,,703300000.0,1796800000.0,933700000.0,3000000.0,,703300000.0,230400000.0,-3300000.0,227100000.0,2730500000.0,127900000.0,127900000.0,127900000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2010.0,Q2,2010-05-02,2010-07-31,2011-08-18 16:16:25+00:00,0.61,0.61,0.61,,47000000.0,78000000.0,78000000.0,78000000.0,894400000.0,1377900000.0,0.0,-1200000.0,,355700000.0,894400000.0,483500000.0,1600000.0,,355700000.0,127800000.0,-2800000.0,125000000.0,1377900000.0,127900000.0,127900000.0,127900000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2010.0,Q1,2010-01-31,2010-05-01,2011-05-19 09:05:48+00:00,0.49,0.49,0.49,,38500000.0,63600000.0,63600000.0,63600000.0,876100000.0,1352600000.0,26300000.0,900000.0,,347600000.0,902400000.0,450200000.0,1400000.0,,347600000.0,102600000.0,-500000.0,102100000.0,1352600000.0,129800000.0,129800000.0,129800000.0
Dollar Tree Inc,DLTR,549300PMSTQITB1WHR43,935703,2011.0,Q4,2011-10-30,2012-01-28,,0.78,0.78,0.78,,113600000.0,187900000.0,187900000.0,187900000.0,1211100000.0,1945600000.0,,200000.0,,432500000.0,1211100000.0,734500000.0,700000.0,,432500000.0,302000000.0,-500000.0,301500000.0,1945600000.0,240600000.0,240600000.0,240600000.0
