company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Westrock Co,WRK,,1732845,2016.0,FY,2015-10-01,2016-09-30,2018-11-16 11:25:37+00:00,-1.56,-1.56,1.5,-1.54,,89800000.0,-389900000.0,154800000.0,-544700000.0,-396300000.0,6400000.0,11413200000.0,14171800000.0,14400000.0,370700000.0,,366400000.0,1591200000.0,11413200000.0,2758600000.0,209800000.0,9700000.0,2328300000.0,430300000.0,-185700000.0,244600000.0,14171800000.0,254000000.0,254000000.0,254000000.0
Westrock Co,WRK,,1732845,2017.0,FY,2016-10-01,2017-09-30,2019-11-15 17:47:47+00:00,2.81,2.81,1.6,2.77,46700000.0,159000000.0,698600000.0,698600000.0,,708200000.0,-9600000.0,12141500000.0,14859700000.0,256100000.0,,4800000.0,196700000.0,1686800000.0,12141500000.0,2718200000.0,-1800000.0,-183500000.0,1935000000.0,783200000.0,74400000.0,857600000.0,14859700000.0,252200000.0,252200000.0,252200000.0
Westrock Co,WRK,,1732845,2018.0,FY,2017-10-01,2018-09-30,2019-11-15 17:47:47+00:00,7.46,7.46,1.72,7.34,31900000.0,-874500000.0,1909300000.0,1909300000.0,,1906100000.0,3200000.0,12923100000.0,16285100000.0,108000000.0,184200000.0,10100000.0,105400000.0,1843200000.0,12923100000.0,3362000000.0,100000.0,-260300000.0,2174800000.0,1187200000.0,-152400000.0,1034800000.0,16285100000.0,255500000.0,255500000.0,255500000.0
Westrock Co,WRK,,1732845,2018.0,Q4,2018-07-01,2018-09-30,,1.09,1.09,0.43,1.07,2600000.0,95400000.0,280000000.0,280000000.0,,279600000.0,400000.0,3304600000.0,4236600000.0,24200000.0,,3500000.0,40300000.0,462600000.0,3304600000.0,932000000.0,100000.0,-71700000.0,509000000.0,423000000.0,-47600000.0,375400000.0,4236600000.0,255500000.0,255500000.0,255500000.0
Westrock Co,WRK,,1732845,2018.0,Q3YTD,2017-10-01,2018-06-30,,6.37,6.37,1.29,6.27,29300000.0,-969900000.0,1629300000.0,1629300000.0,,1626500000.0,2800000.0,9618500000.0,12048500000.0,83800000.0,184200000.0,6600000.0,65100000.0,1380600000.0,9618500000.0,2430000000.0,,-188600000.0,1665800000.0,764200000.0,-104800000.0,659400000.0,12048500000.0,255400000.0,256100000.0,260600000.0
Westrock Co,WRK,,1732845,2018.0,Q3,2018-04-01,2018-06-30,2019-08-02 16:33:50+00:00,1.05,1.05,0.43,1.03,1700000.0,84500000.0,271300000.0,271300000.0,,268200000.0,3100000.0,3270400000.0,4137500000.0,31000000.0,4200000.0,2700000.0,17100000.0,456300000.0,3270400000.0,867100000.0,-900000.0,-61200000.0,482000000.0,385100000.0,-29300000.0,355800000.0,4137500000.0,255400000.0,256100000.0,260600000.0
Westrock Co,WRK,,1732845,2018.0,Q2YTD,2017-10-01,2018-03-31,,5.32,5.32,0.86,5.24,27600000.0,-1054400000.0,1358000000.0,1358000000.0,,1358300000.0,-300000.0,6348100000.0,7911000000.0,52800000.0,180000000.0,3900000.0,48000000.0,924300000.0,6348100000.0,1562900000.0,900000.0,-127400000.0,1183800000.0,379100000.0,-75500000.0,303600000.0,7911000000.0,256600000.0,256100000.0,260300000.0
Westrock Co,WRK,,1732845,2018.0,Q2,2018-01-01,2018-03-31,2019-05-02 19:04:44+00:00,0.87,0.87,0.43,0.86,,18800000.0,224500000.0,224500000.0,,223200000.0,1300000.0,3227600000.0,4017000000.0,25700000.0,,2800000.0,31700000.0,471000000.0,3227600000.0,789400000.0,-100000.0,-66400000.0,505500000.0,283900000.0,-40600000.0,243300000.0,4017000000.0,256600000.0,256100000.0,260300000.0
Westrock Co,WRK,,1732845,2018.0,Q1,2017-10-01,2017-12-31,2019-02-07 17:53:25+00:00,4.45,4.45,0.43,4.38,27600000.0,-1073200000.0,1133500000.0,1133500000.0,,1135100000.0,-1600000.0,3120500000.0,3894000000.0,27100000.0,180000000.0,1100000.0,16300000.0,453300000.0,3120500000.0,773500000.0,1000000.0,-61000000.0,678300000.0,95200000.0,-34900000.0,60300000.0,3894000000.0,255100000.0,255000000.0,259200000.0
Westrock Co,WRK,,1732845,2019.0,FY,2018-10-01,2019-09-30,2019-11-15 17:47:47+00:00,3.36,3.36,1.82,3.33,13000000.0,276800000.0,867900000.0,867900000.0,,862900000.0,5000000.0,14540000000.0,18289000000.0,76600000.0,,-41200000.0,173700000.0,2115400000.0,14540000000.0,3749000000.0,5100000.0,-421200000.0,2260900000.0,1494400000.0,-349700000.0,1144700000.0,18289000000.0,256600000.0,256600000.0,256600000.0
