company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2008.0,FY,2007-10-01,2008-09-30,2010-11-24 14:21:48+00:00,-17404000.0,134783000.0,396693000.0,27982000.0,-1201000.0,-211879000.0,,2095000000.0,5212712000.0,-2876130000.0,227169000.0,5212712000.0,-2876130000.0,227169000.0,2562550000.0,3189198000.0,230772000.0,230772000.0,128934000.0,73843000.0,,-53151000.0,68764000.0,-3135472000.0,-51043000.0,-24935000.0,-67243000.0,310385000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2009.0,Q4,2009-07-01,2009-09-30,,-2183000.0,39540000.0,10860000.0,9224000.0,9575000.0,-114831000.0,,360393000.0,2967085000.0,-1179779000.0,-30142000.0,2967085000.0,-1179779000.0,-30142000.0,1766739000.0,1785829000.0,37914000.0,37914000.0,-4842000.0,-66944000.0,,-13676000.0,44576000.0,-1249132000.0,-6543000.0,899259000.0,2224000.0,75896000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2009.0,FY,2008-10-01,2009-09-30,2011-11-23 16:41:06+00:00,-11863000.0,137618000.0,58774000.0,34563000.0,-1450000.0,38801000.0,,360861000.0,-241816000.0,-1026084000.0,374159000.0,-241816000.0,-1026084000.0,374159000.0,-895191000.0,648930000.0,140377000.0,140377000.0,-14095000.0,28232000.0,,-54140000.0,186376000.0,-1537685000.0,-35539000.0,-1221360000.0,-4339000.0,547140000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2009.0,Q3YTD,2008-10-01,2009-06-30,2010-08-06 13:21:41+00:00,-9680000.0,98078000.0,47914000.0,25339000.0,-11025000.0,153632000.0,,468000.0,-3208901000.0,153695000.0,404301000.0,-3208901000.0,153695000.0,404301000.0,-2661930000.0,-1136899000.0,102463000.0,102463000.0,-9253000.0,95176000.0,,-40464000.0,141800000.0,-288553000.0,-28996000.0,-2120619000.0,-6563000.0,471244000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,Q4,2010-07-01,2010-09-30,,-1764000.0,-282463000.0,-94076000.0,10173000.0,-550000.0,-1087895000.0,,1704102000.0,3165331000.0,,-1039797000.0,3165331000.0,-51329000.0,-1039797000.0,2073655000.0,609991000.0,63188000.0,63188000.0,-48540000.0,-33993000.0,,-13809000.0,25041000.0,0.0,0.0,899215000.0,-175000.0,0.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,FY,2009-10-01,2010-09-30,2012-11-21 15:37:43+00:00,-14969000.0,-161345000.0,-59584000.0,39527000.0,1116000.0,-1835560000.0,0.0,1718910000.0,-712178000.0,2369609000.0,-1021393000.0,-712178000.0,2366221000.0,-1021393000.0,633766000.0,-2343669000.0,222519000.0,222519000.0,457766000.0,22197000.0,,-56009000.0,109324000.0,-130823000.0,-22287000.0,-50070000.0,-3537000.0,2522719000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,Q3YTD,2009-10-01,2010-06-30,2011-08-09 17:09:53+00:00,-13205000.0,121118000.0,34492000.0,29354000.0,1666000.0,-747665000.0,,14808000.0,-3877509000.0,2417550000.0,18404000.0,-3877509000.0,2417550000.0,18404000.0,-1439889000.0,-2953660000.0,159331000.0,159331000.0,506306000.0,56190000.0,,-42200000.0,84283000.0,-31612000.0,-17979000.0,-949285000.0,-3362000.0,2467141000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,Q3TTM,2009-07-01,2010-06-30,,-15388000.0,160658000.0,45352000.0,38578000.0,11241000.0,-862496000.0,,375201000.0,-910424000.0,1237771000.0,-11738000.0,-910424000.0,1237771000.0,-11738000.0,326850000.0,-1167831000.0,197245000.0,197245000.0,501464000.0,-10754000.0,,-55876000.0,128859000.0,-1280744000.0,-24522000.0,-50026000.0,-1138000.0,2543037000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,Q3,2010-04-01,2010-06-30,,-694000.0,231376000.0,64545000.0,5456000.0,-35000.0,76230000.0,,14738000.0,-258715000.0,125314000.0,70646000.0,-258715000.0,125314000.0,70646000.0,-62790000.0,-261732000.0,58523000.0,58523000.0,-93609000.0,11339000.0,,-13804000.0,24740000.0,-12990000.0,-4735000.0,-9257000.0,1000.0,143039000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,Q2,2010-01-01,2010-03-31,,-12871000.0,-101286000.0,-24671000.0,12140000.0,579000.0,-317927000.0,,-957000.0,-278613000.0,102162000.0,86273000.0,-278613000.0,102162000.0,86273000.0,-89599000.0,-275610000.0,60180000.0,60180000.0,322843000.0,13468000.0,,-14710000.0,21908000.0,1211000.0,-7417000.0,-763000.0,-41000.0,108368000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,Q2YTD,2009-10-01,2010-03-31,2011-05-10 19:16:52+00:00,-12511000.0,-110258000.0,-30053000.0,23898000.0,1701000.0,-823895000.0,,70000.0,-3618794000.0,2292236000.0,-52242000.0,-3618794000.0,2292236000.0,-52242000.0,-1377099000.0,-2691928000.0,100808000.0,100808000.0,599915000.0,44851000.0,,-28396000.0,59543000.0,-18622000.0,-13244000.0,-940028000.0,-3363000.0,2324102000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,Q1,2009-10-01,2009-12-31,2011-02-08 17:05:26+00:00,360000.0,-8972000.0,-5382000.0,11758000.0,1122000.0,-505968000.0,,1027000.0,-3340181000.0,2190074000.0,-138515000.0,-3340181000.0,2190074000.0,-138515000.0,-1287500000.0,-2416318000.0,40628000.0,40628000.0,277072000.0,31383000.0,,-13686000.0,37635000.0,-19833000.0,-5827000.0,-939265000.0,-3322000.0,2215734000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q4,2011-07-01,2011-09-30,,-1243000.0,39958000.0,19145000.0,10007000.0,-2625000.0,235139000.0,,317000.0,771567000.0,-396221000.0,468286000.0,771567000.0,-396221000.0,468286000.0,841007000.0,794864000.0,61780000.0,61780000.0,199089000.0,7074000.0,,-13744000.0,-36486000.0,-507839000.0,-9030000.0,-831000.0,-16113000.0,120648000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,FY,2010-10-01,2011-09-30,2013-11-26 15:37:08+00:00,-13001000.0,194233000.0,55332000.0,40337000.0,-824000.0,1112812000.0,0.0,282727000.0,-1679384000.0,-400143000.0,1558441000.0,-1679384000.0,-400143000.0,1558441000.0,-521910000.0,659604000.0,267851000.0,267851000.0,97803000.0,49489000.0,,-63090000.0,52639000.0,-642721000.0,-37200000.0,-2585003000.0,-23111000.0,279778000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q3TTM,2010-07-01,2011-06-30,,-13522000.0,-128188000.0,-57889000.0,40503000.0,1251000.0,-210222000.0,,1986512000.0,714380000.0,,50358000.0,714380000.0,-55251000.0,50358000.0,710738000.0,474731000.0,269259000.0,269259000.0,-149826000.0,8422000.0,,-63155000.0,114166000.0,0.0,0.0,-1684957000.0,-7173000.0,0.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q3,2011-04-01,2011-06-30,,-10089000.0,273025000.0,68752000.0,10528000.0,823000.0,-207278000.0,,264882000.0,472630000.0,-105477000.0,-42822000.0,472630000.0,-105477000.0,-42822000.0,325154000.0,233875000.0,49198000.0,49198000.0,55714000.0,4144000.0,,-16478000.0,59105000.0,-130724000.0,-12196000.0,-13711000.0,-82000.0,37443000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q3YTD,2010-10-01,2011-06-30,2012-08-08 15:45:43+00:00,-11758000.0,154275000.0,36187000.0,30330000.0,1801000.0,877673000.0,0.0,282410000.0,-2450951000.0,-3922000.0,1090155000.0,-2450951000.0,-3922000.0,1090155000.0,-1362917000.0,-135260000.0,206071000.0,206071000.0,-101286000.0,42415000.0,,-49346000.0,89125000.0,-134882000.0,-28170000.0,-2584172000.0,-6998000.0,159130000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q2TTM,2010-04-01,2011-03-31,,-4127000.0,-169837000.0,-62096000.0,35431000.0,393000.0,73286000.0,,1736368000.0,-16965000.0,,163826000.0,-16965000.0,175540000.0,163826000.0,322794000.0,-20876000.0,278584000.0,278584000.0,-299149000.0,15617000.0,,-60481000.0,79801000.0,0.0,0.0,-1680503000.0,-7090000.0,0.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q2,2011-01-01,2011-03-31,,-1185000.0,-112062000.0,-23778000.0,10228000.0,2671000.0,-156664000.0,,3332000.0,3529000.0,123557000.0,-79472000.0,3529000.0,123557000.0,-79472000.0,50285000.0,28187000.0,78918000.0,78918000.0,-25996000.0,20953000.0,,-16481000.0,15227000.0,58820000.0,-6474000.0,-30807000.0,-1655000.0,71211000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q2YTD,2010-10-01,2011-03-31,2012-05-09 11:56:24+00:00,-1669000.0,-118750000.0,-32565000.0,19802000.0,978000.0,1084951000.0,0.0,17528000.0,-2923581000.0,101555000.0,1132977000.0,-2923581000.0,101555000.0,1132977000.0,-1688071000.0,-369135000.0,156873000.0,156873000.0,-157000000.0,38271000.0,,-32868000.0,30020000.0,-4158000.0,-15974000.0,-2570461000.0,-6916000.0,121687000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q1TTM,2010-01-01,2010-12-31,,-15813000.0,-159061000.0,-62989000.0,37343000.0,-1699000.0,-87977000.0,,1732079000.0,-299107000.0,,329571000.0,-299107000.0,154145000.0,329571000.0,182910000.0,-324673000.0,259846000.0,259846000.0,49690000.0,8132000.0,,-58710000.0,86482000.0,0.0,0.0,-1650459000.0,-5476000.0,0.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q1,2010-10-01,2010-12-31,2012-02-08 15:45:46+00:00,-484000.0,-6688000.0,-8787000.0,9574000.0,-1693000.0,1241615000.0,,14196000.0,-2927110000.0,-22002000.0,1212449000.0,-2927110000.0,-22002000.0,1212449000.0,-1738356000.0,-397322000.0,77955000.0,77955000.0,-131004000.0,17318000.0,,-16387000.0,14793000.0,-62978000.0,-9500000.0,-2539654000.0,-5261000.0,50476000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2012.0,Q4,2012-07-01,2012-09-30,,-14240000.0,300254000.0,142860000.0,13366000.0,1959000.0,30798000.0,33811000.0,107184000.0,296138000.0,-222614000.0,175502000.0,296138000.0,-222614000.0,175502000.0,250985000.0,322409000.0,76398000.0,76398000.0,63254000.0,-23804000.0,,-18127000.0,5926000.0,-307720000.0,-23943000.0,-124964000.0,-371000.0,109849000.0
