company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherlongtermliabilities,othershorttermpayables,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2009.0,FY,,2009-09-30,2010-11-24 14:21:48+00:00,-41803000.0,2306085000.0,,421087000.0,1463136000.0,62575000.0,,1918518000.0,186232000.0,200676000.0,9423387000.0,8150972000.0,93376000.0,508648000.0,2310261000.0,1737591000.0,4049660000.0,18226728000.0,2032463000.0,2032463000.0,2233139000.0,15993589000.0,18226728000.0,0.0,3747467000.0,-84412000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,FY,,2010-09-30,2011-11-23 16:41:06+00:00,-6197000.0,2943239000.0,0.0,480722000.0,1675535000.0,62575000.0,,1131096000.0,170768000.0,294052000.0,7079718000.0,7900313000.0,131038000.0,708859000.0,3430715000.0,1909865000.0,6235502000.0,17883081000.0,2302816000.0,2302816000.0,2596868000.0,15286213000.0,17883081000.0,0.0,1699936000.0,-81574000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2010.0,Q3,,2010-06-30,2010-08-06 13:21:41+00:00,-17565000.0,866196000.0,,471389000.0,1581174000.0,62575000.0,,1733731000.0,175603000.0,246528000.0,6469727000.0,7828406000.0,85737000.0,641467000.0,2238133000.0,1854610000.0,3483597000.0,14880179000.0,2219392000.0,2219392000.0,2465920000.0,12414259000.0,14880179000.0,0.0,2128092000.0,-89042000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,FY,,2011-09-30,2012-11-21 15:37:43+00:00,-9605000.0,2439695000.0,0.0,566406000.0,1948294000.0,,72967000.0,1526539000.0,169850000.0,324226000.0,7739322000.0,8098780000.0,76150000.0,762572000.0,3548683000.0,2125818000.0,4990567000.0,18006995000.0,2587619000.0,2587619000.0,2911845000.0,15095150000.0,18006995000.0,0.0,1728726000.0,-95000000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q3,,2011-06-30,2011-08-09 17:09:53+00:00,10903000.0,1598688000.0,0.0,555187000.0,1812010000.0,71924000.0,,1419012000.0,172346000.0,306575000.0,6944458000.0,8210396000.0,195793000.0,798495000.0,2498212000.0,2074315000.0,3894112000.0,16117109000.0,2558664000.0,2558664000.0,2865239000.0,13251870000.0,16117109000.0,0.0,1753533000.0,-81741000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q2,,2011-03-31,2011-05-10 19:16:52+00:00,9931000.0,1255168000.0,,539283000.0,1797597000.0,62575000.0,,1073316000.0,168828000.0,311618000.0,6710583000.0,7932443000.0,107771000.0,643969000.0,2406869000.0,2044007000.0,3929132000.0,15284179000.0,2507790000.0,2507790000.0,2819408000.0,12464771000.0,15284179000.0,0.0,1660699000.0,-85431000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2011.0,Q1,,2010-12-31,2011-02-08 17:05:26+00:00,4204000.0,1204883000.0,,508022000.0,1628394000.0,62575000.0,,990646000.0,171569000.0,311191000.0,6682396000.0,7993454000.0,203989000.0,607280000.0,2069075000.0,1979572000.0,3647594000.0,14849838000.0,2406742000.0,2406742000.0,2717933000.0,12131905000.0,14849838000.0,0.0,1719888000.0,-85056000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2012.0,FY,,2012-09-30,2013-11-26 15:37:08+00:00,9447000.0,1980020000.0,0.0,1031692000.0,2512614000.0,,361246000.0,1834325000.0,231195000.0,411342000.0,8599713000.0,10823821000.0,232436000.0,1319388000.0,2784199000.0,2346563000.0,5494121000.0,21160265000.0,3268940000.0,3268940000.0,3680282000.0,17479983000.0,21160265000.0,0.0,2467170000.0,-118762000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2012.0,Q3,,2012-06-30,2012-08-08 15:45:43+00:00,-4996000.0,1729035000.0,0.0,999966000.0,2186737000.0,286372000.0,,1874380000.0,223560000.0,424013000.0,8277304000.0,11308129000.0,186894000.0,1755380000.0,2719026000.0,2281407000.0,5494888000.0,21170555000.0,3157696000.0,3157696000.0,3581709000.0,17588846000.0,21170555000.0,0.0,2717696000.0,-118681000.0
Raymond James Financial Inc,RJF,RGUZHJ05YTITL6D76949,720005,2012.0,Q2,,2012-03-31,2012-05-09 11:56:24+00:00,3315000.0,2875858000.0,0.0,976289000.0,1671078000.0,71924000.0,,1840987000.0,181752000.0,328018000.0,7913846000.0,9363538000.0,80423000.0,719485000.0,3458364000.0,2222857000.0,5304764000.0,19275376000.0,3087853000.0,3087853000.0,3415871000.0,15859505000.0,19275376000.0,0.0,1652862000.0,-114608000.0
