company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,investmentbankingincome,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstonetincometocommon,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,policyacquisitioncosts,salariesandemployeebenefitsexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2007.0,FY,2006-10-01,2007-09-30,2009-11-24 15:26:03+00:00,158114000.0,7.11,7.11,0.6,7.03,692363000.0,3573845000.0,189382000.0,1772938000.0,1772938000.0,1772938000.0,,317938000.0,7804000.0,397754000.0,,,231523000.0,2624120000.0,2160631000.0,1080634000.0,4138222000.0,6205769000.0,2465301000.0,6205769000.0,249400000.0,249400000.0,252200000.0
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2008.0,FY,2007-10-01,2008-09-30,2010-11-16 15:18:35+00:00,178004000.0,6.68,6.68,0.8,6.62,648376000.0,3683390000.0,184309000.0,1599819000.0,1599819000.0,1588213000.0,11606000.0,320986000.0,,149193000.0,,,192315000.0,2348996000.0,1937113000.0,1120657000.0,3933384000.0,6032386000.0,2248195000.0,6032386000.0,237800000.0,237800000.0,239900000.0
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2008.0,Q3,2008-04-01,2008-06-30,2009-08-07 11:42:10+00:00,41935000.0,1.72,1.72,0.2,1.71,150580000.0,924722000.0,44804000.0,403312000.0,403312000.0,403312000.0,,78477000.0,2768000.0,30682000.0,,,55187000.0,594159000.0,492385000.0,285651000.0,998439000.0,1521649000.0,553892000.0,1521649000.0,234500000.0,234500000.0,235900000.0
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q4,2009-07-01,2009-09-30,,-103231000.0,1.59,1.59,0.21,1.58,136180000.0,800236000.0,1474104000.0,378442000.0,378442000.0,367356000.0,3573000.0,71999000.0,-6555000.0,129900000.0,7513000.0,,98298000.0,445246000.0,-933738000.0,246773000.0,854205000.0,1238927000.0,514622000.0,1238927000.0,230334000.0,230334000.0,230334000.0
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,FY,2008-10-01,2009-09-30,2011-11-15 14:11:34+00:00,,3.87,3.87,0.84,3.85,384314000.0,2578471000.0,1552919000.0,904291000.0,904291000.0,896778000.0,,274198000.0,,86011000.0,7513000.0,,205865000.0,1615616000.0,,958511000.0,2991493000.0,4194087000.0,1288605000.0,4194087000.0,231700000.0,231700000.0,232900000.0
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q3,2009-04-01,2009-06-30,2010-08-18 13:02:23+00:00,32865000.0,1.28,1.28,0.21,1.28,116204000.0,625025000.0,27888000.0,306848000.0,306848000.0,297716000.0,9132000.0,68203000.0,2908000.0,52363000.0,,,-7705000.0,445625000.0,350675000.0,230943000.0,702869000.0,1073558000.0,423052000.0,1073558000.0,232600000.0,232600000.0,232600000.0
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q3YTD,2008-10-01,2009-06-30,,103231000.0,2.28,2.28,0.63,2.27,248134000.0,1778235000.0,78815000.0,525849000.0,525849000.0,529422000.0,-3573000.0,202199000.0,6555000.0,-43889000.0,,,107567000.0,1170370000.0,933738000.0,711738000.0,2137288000.0,2955160000.0,773983000.0,2955160000.0,232600000.0,232600000.0,232600000.0
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q2,2009-01-01,2009-03-31,2010-05-06 13:41:34+00:00,33754000.0,0.48,0.48,0.21,0.47,67159000.0,552936000.0,26700000.0,109072000.0,109072000.0,110806000.0,-1734000.0,65398000.0,1761000.0,-35985000.0,,,43938000.0,357575000.0,293534000.0,236732000.0,700056000.0,912272000.0,176231000.0,912272000.0,230800000.0,230800000.0,235800000.0
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q2YTD,2008-10-01,2009-03-31,,70366000.0,1.0,1.0,0.42,0.99,131930000.0,1153210000.0,50927000.0,219001000.0,219001000.0,231706000.0,-12705000.0,133996000.0,3647000.0,-140755000.0,,,70769000.0,724745000.0,583063000.0,480795000.0,1389916000.0,1881602000.0,350931000.0,1881602000.0,230800000.0,230800000.0,235800000.0
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2010.0,FY,2009-10-01,2010-09-30,2012-11-14 18:49:55+00:00,,6.36,6.36,3.88,6.33,618300000.0,3574600000.0,2282900000.0,1451500000.0,1451500000.0,1445700000.0,,295600000.0,,111100000.0,,,234800000.0,2278400000.0,,1081000000.0,3894300000.0,5853000000.0,2069800000.0,5853000000.0,227300000.0,227300000.0,228400000.0
