company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2007.0,FY,2006-10-01,2007-09-30,2009-11-24 15:26:03+00:00,,586587000.0,39487000.0,198619000.0,52830000.0,-138181000.0,,537206000.0,-1449247000.0,-306168000.0,1673633000.0,-1449247000.0,-306168000.0,1673633000.0,-28952000.0,-106896000.0,1772938000.0,1772938000.0,-162620000.0,229157000.0,,,-142747000.0,2877000.0,-1159535000.0,-94144000.0,-677310000.0,-1288657000.0,947511000.0,
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2008.0,Q4,2008-07-01,2008-09-30,,,101352000.0,1990000.0,58405000.0,-63815000.0,-508802000.0,13317000.0,-571028000.0,140980000.0,-591490000.0,-2237000.0,140980000.0,-591490000.0,-2237000.0,-516562000.0,24964000.0,312095000.0,312095000.0,133069000.0,480025000.0,,,-47012000.0,2996000.0,-354588000.0,-5889000.0,466800000.0,-226086000.0,-231013000.0,
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2008.0,FY,2007-10-01,2008-09-30,2010-11-16 15:18:35+00:00,,614021000.0,42812000.0,215222000.0,-69775000.0,-704237000.0,13317000.0,479151000.0,-1299975000.0,-1096122000.0,1409241000.0,-1299975000.0,-1096122000.0,1409241000.0,-1056631000.0,128268000.0,1599819000.0,1599819000.0,285030000.0,793320000.0,,,-179033000.0,13407000.0,-2264089000.0,-63498000.0,-991687000.0,-1543311000.0,1231465000.0,
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2008.0,Q3YTD,2007-10-01,2008-06-30,2009-08-07 11:42:10+00:00,,512669000.0,40822000.0,156817000.0,-5960000.0,-195435000.0,,1050179000.0,-1440955000.0,-504632000.0,1411478000.0,-1440955000.0,-504632000.0,1411478000.0,-540069000.0,103304000.0,1287724000.0,1287724000.0,151961000.0,313295000.0,,,-132021000.0,10411000.0,-1909501000.0,-57609000.0,-1458487000.0,-1317225000.0,1462478000.0,
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q4,2009-07-01,2009-09-30,,,89821000.0,2193000.0,51275000.0,3343000.0,-347442000.0,9634000.0,70701000.0,-86055000.0,664106000.0,152392000.0,-86055000.0,664106000.0,152392000.0,733786000.0,17973000.0,378442000.0,378442000.0,70280000.0,117130000.0,,,-48514000.0,-163000.0,-120581000.0,-12755000.0,-94749000.0,-158230000.0,797442000.0,
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,FY,2008-10-01,2009-09-30,2011-11-15 14:11:34+00:00,,395551000.0,9382000.0,181272000.0,-13834000.0,-589658000.0,24356000.0,196451000.0,-340608000.0,289939000.0,641402000.0,-340608000.0,289939000.0,641402000.0,576899000.0,94301000.0,904291000.0,904291000.0,139708000.0,190262000.0,0.0,,-192784000.0,5789000.0,-2078482000.0,-45183000.0,-276287000.0,-376907000.0,2413604000.0,
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q3YTD,2008-10-01,2009-06-30,2010-08-18 13:02:23+00:00,,305730000.0,7189000.0,129997000.0,-17177000.0,-242216000.0,14722000.0,125750000.0,-254553000.0,-374167000.0,489010000.0,-254553000.0,-374167000.0,489010000.0,-156887000.0,76328000.0,525849000.0,525849000.0,69428000.0,73132000.0,,,-144270000.0,5952000.0,-1957901000.0,-32428000.0,-181538000.0,-218677000.0,1616162000.0,
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q3TTM,2008-07-01,2009-06-30,,,407082000.0,9179000.0,188402000.0,-80992000.0,-751018000.0,28039000.0,-445278000.0,-113573000.0,-965657000.0,486773000.0,-113573000.0,-965657000.0,486773000.0,-673449000.0,101292000.0,837944000.0,837944000.0,202497000.0,553157000.0,,,-191282000.0,8948000.0,-2312489000.0,-38317000.0,285262000.0,-444763000.0,1385149000.0,
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q3,2009-04-01,2009-06-30,,,62172000.0,1949000.0,40854000.0,38580000.0,-69629000.0,14722000.0,36399000.0,-162510000.0,-192142000.0,242401000.0,-162510000.0,-192142000.0,242401000.0,-73671000.0,608000.0,306848000.0,306848000.0,-36427000.0,21249000.0,,,-48795000.0,755000.0,-519066000.0,-4797000.0,-76987000.0,-109706000.0,331721000.0,
Franklin Resources Inc,BEN,RIFQSET379FOGTEFKS80,38777,2009.0,Q2YTD,2008-10-01,2009-03-31,2010-05-06 13:41:34+00:00,,243558000.0,5240000.0,89143000.0,-55757000.0,-172587000.0,,89351000.0,-92043000.0,-182025000.0,246609000.0,-92043000.0,-182025000.0,246609000.0,-83216000.0,75720000.0,219001000.0,219001000.0,105855000.0,51883000.0,,,-95475000.0,5197000.0,-1438835000.0,-27631000.0,-104551000.0,-108971000.0,1284441000.0,
