company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2007.0,FY,2007-01-01,2007-12-31,2010-02-10 16:04:52+00:00,-4000000.0,10000000.0,597000000.0,,82000000.0,-265000000.0,21000000.0,0.0,,-539000000.0,-561000000.0,2077000000.0,-539000000.0,-561000000.0,2077000000.0,1059000000.0,2150000000.0,2150000000.0,-415000000.0,109000000.0,,,-158000000.0,-2152000000.0,-1267000000.0,-261000000.0,-250000000.0,2862000000.0,
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2008.0,FY,2008-01-01,2008-12-31,2011-02-10 16:06:53+00:00,-15000000.0,11000000.0,684000000.0,,26000000.0,-2510000000.0,23000000.0,,,-798000000.0,-1699000000.0,2128000000.0,-798000000.0,-1699000000.0,2128000000.0,-343000000.0,5257000000.0,5257000000.0,-1314000000.0,145000000.0,,,-313000000.0,-1865000000.0,-1921000000.0,-28000000.0,-625000000.0,2083000000.0,19000000.0
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2008.0,Q4,2008-10-01,2008-12-31,,,4000000.0,201000000.0,,51000000.0,210000000.0,4000000.0,,,-16000000.0,-1138000000.0,380000000.0,-16000000.0,-1138000000.0,380000000.0,-723000000.0,249000000.0,249000000.0,-284000000.0,66000000.0,,,-78000000.0,-567000000.0,-766000000.0,-8000000.0,,193000000.0,2000000.0
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2008.0,Q3,2008-07-01,2008-09-30,,-15000000.0,2000000.0,164000000.0,,-121000000.0,44000000.0,4000000.0,,,-576000000.0,355000000.0,763000000.0,-576000000.0,355000000.0,763000000.0,421000000.0,768000000.0,768000000.0,-215000000.0,5000000.0,,,-77000000.0,-104000000.0,-291000000.0,-8000000.0,-500000000.0,750000000.0,15000000.0
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-02 16:01:17+00:00,-15000000.0,7000000.0,483000000.0,,-25000000.0,-2720000000.0,19000000.0,0.0,,-782000000.0,-561000000.0,1748000000.0,-782000000.0,-561000000.0,1748000000.0,380000000.0,5008000000.0,5008000000.0,-1030000000.0,79000000.0,,,-235000000.0,-1298000000.0,-1155000000.0,-20000000.0,-625000000.0,1890000000.0,17000000.0
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-29 16:03:05+00:00,,5000000.0,319000000.0,,96000000.0,-2764000000.0,15000000.0,0.0,,-206000000.0,-916000000.0,985000000.0,-206000000.0,-916000000.0,985000000.0,-41000000.0,4240000000.0,4240000000.0,-815000000.0,74000000.0,,,-158000000.0,-1194000000.0,-864000000.0,-12000000.0,-125000000.0,1140000000.0,2000000.0
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2009.0,FY,2009-01-01,2009-12-31,2012-02-13 16:08:03+00:00,-410000000.0,10000000.0,782000000.0,,-24000000.0,-155000000.0,20000000.0,349000000.0,,-15000000.0,-1370000000.0,2077000000.0,-15000000.0,-1370000000.0,2077000000.0,668000000.0,2008000000.0,2008000000.0,-568000000.0,24000000.0,,,-312000000.0,-1372000000.0,-890000000.0,-96000000.0,,1281000000.0,21000000.0
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2009.0,Q4,2009-10-01,2009-12-31,,,2000000.0,196000000.0,,-41000000.0,100000000.0,2000000.0,,,-62000000.0,-231000000.0,913000000.0,-62000000.0,-231000000.0,913000000.0,579000000.0,740000000.0,740000000.0,-125000000.0,16000000.0,,,-78000000.0,-496000000.0,-163000000.0,-2000000.0,,422000000.0,6000000.0
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2009.0,Q3TTM,2008-10-01,2009-09-30,,-410000000.0,12000000.0,787000000.0,,68000000.0,-45000000.0,22000000.0,349000000.0,,31000000.0,-2277000000.0,1544000000.0,31000000.0,-2277000000.0,1544000000.0,-634000000.0,1517000000.0,1517000000.0,-727000000.0,74000000.0,,,-312000000.0,-1443000000.0,-1493000000.0,-102000000.0,,1052000000.0,17000000.0
Corning Inc,GLW,549300X2937PB0CJ7I56,24741,2009.0,Q3,2009-07-01,2009-09-30,,-410000000.0,3000000.0,227000000.0,,57000000.0,75000000.0,6000000.0,,,-87000000.0,-774000000.0,532000000.0,-87000000.0,-774000000.0,532000000.0,-272000000.0,643000000.0,643000000.0,-416000000.0,4000000.0,,,-78000000.0,-471000000.0,-236000000.0,-19000000.0,,343000000.0,
