company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2012.0,FY,2011-06-26,2012-06-30,2014-08-14 17:13:06+00:00,4.31,4.31,0.31,4.27,,119000000.0,148300000.0,401600000.0,393000000.0,8600000.0,401600000.0,2077700000.0,3173200000.0,3500000.0,39100000.0,105800000.0,8800000.0,224400000.0,2077700000.0,1095600000.0,0.0,-60700000.0,526400000.0,569200000.0,-57200000.0,512000000.0,3173200000.0,93200000.0,93200000.0,94100000.0
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2013.0,FY,2012-07-01,2013-06-29,2016-02-25 12:54:09+00:00,4.71,4.71,0.35,4.68,0.0,165800000.0,233600000.0,441900000.0,441900000.0,,441900000.0,2259800000.0,3539800000.0,-5600000.0,,124200000.0,2900000.0,240200000.0,2259800000.0,1280000000.0,65800000.0,,600900000.0,679100000.0,-71400000.0,607700000.0,3539800000.0,93800000.0,93900000.0,94500000.0
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2013.0,Q3,2012-12-30,2013-03-30,2014-05-07 12:05:20+00:00,1.19,1.19,0.09,1.18,,48200000.0,49100000.0,111900000.0,111900000.0,,111900000.0,588400000.0,919800000.0,-800000.0,,28500000.0,0.0,75200000.0,588400000.0,331400000.0,16100000.0,-1600000.0,152800000.0,178600000.0,-18500000.0,160100000.0,919800000.0,94000000.0,94000000.0,94500000.0
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2013.0,Q2,2012-09-30,2012-12-29,2014-02-06 11:34:17+00:00,1.13,1.13,0.09,1.12,,39500000.0,43100000.0,106000000.0,106000000.0,,106000000.0,575800000.0,883000000.0,-100000.0,,28300000.0,0.0,71900000.0,575800000.0,307200000.0,15300000.0,-3000000.0,143300000.0,163900000.0,-18400000.0,145500000.0,883000000.0,93800000.0,93900000.0,94500000.0
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2014.0,FY,2013-06-30,2014-06-28,2017-05-22 17:34:05+00:00,1.78,2.02,0.39,2.01,6000000.0,70800000.0,263900000.0,232800000.0,232800000.0,,232800000.0,2462000000.0,3914100000.0,1500000.0,,152500000.0,47000000.0,411300000.0,2462000000.0,1452100000.0,269300000.0,,880700000.0,571400000.0,-267800000.0,303600000.0,3914100000.0,130800000.0,115100000.0,115600000.0
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2014.0,Q4,2014-03-30,2014-06-28,,1.11,1.35,0.11,1.34,6000000.0,37300000.0,72800000.0,159300000.0,159300000.0,,159300000.0,577400000.0,997500000.0,21000000.0,,32000000.0,10500000.0,97000000.0,577400000.0,420100000.0,26200000.0,,218300000.0,201800000.0,-5200000.0,196600000.0,997500000.0,130800000.0,115100000.0,115600000.0
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2014.0,Q3YTD,2013-06-30,2014-03-29,,0.67,0.67,0.29,0.67,,33500000.0,191100000.0,73500000.0,73500000.0,,73500000.0,1884600000.0,2916600000.0,-19500000.0,,120500000.0,36500000.0,314300000.0,1884600000.0,1032000000.0,243100000.0,,662400000.0,369600000.0,-262600000.0,107000000.0,2916600000.0,133600000.0,133700000.0,134300000.0
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2014.0,Q3,2013-12-29,2014-03-29,2015-04-29 12:09:04+00:00,0.36,0.36,0.105,0.36,,14600000.0,66400000.0,48100000.0,48100000.0,,48100000.0,689200000.0,1004200000.0,-14400000.0,,44700000.0,19500000.0,81100000.0,689200000.0,315000000.0,26200000.0,,211700000.0,103300000.0,-40600000.0,62700000.0,1004200000.0,133600000.0,133700000.0,134300000.0
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2014.0,Q2YTD,2013-06-30,2013-12-28,,0.31,0.31,0.18,0.31,,18900000.0,124700000.0,25400000.0,25400000.0,,25400000.0,1195400000.0,1912400000.0,-5100000.0,,75800000.0,17000000.0,233200000.0,1195400000.0,717000000.0,216900000.0,,450700000.0,266300000.0,-222000000.0,44300000.0,1912400000.0,98900000.0,98700000.0,98700000.0
Perrigo Company PLC,PRGO,549300IFOQS6R1QLY196,1585364,2014.0,Q2,2013-09-29,2013-12-28,2015-02-05 12:42:46+00:00,-0.87,-0.87,0.09,-0.87,,-27000000.0,61300000.0,-86000000.0,-86000000.0,,-86000000.0,618300000.0,979000000.0,-4100000.0,,43500000.0,14900000.0,154400000.0,618300000.0,360700000.0,195500000.0,,274100000.0,86600000.0,-199600000.0,-113000000.0,979000000.0,98900000.0,98700000.0,98700000.0
