company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2009.0,FY,,2009-07-25,2010-09-21 07:01:32+00:00,675000000.0,3177000000.0,435000000.0,5718000000.0,,34344000000.0,6438000000.0,2320000000.0,166000000.0,2535000000.0,12925000000.0,,1702000000.0,10295000000.0,1074000000.0,4043000000.0,30000000.0,4962000000.0,,,,2605000000.0,3841000000.0,5281000000.0,539000000.0,3868000000.0,0.0,29283000000.0,68128000000.0,38647000000.0,44177000000.0,13655000000.0,38647000000.0,38677000000.0,29451000000.0,68128000000.0,19908000000.0,15796000000.0,0.0
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2010.0,FY,,2010-07-31,2011-09-14 06:34:32+00:00,895000000.0,4929000000.0,623000000.0,4581000000.0,0.0,37793000000.0,7664000000.0,2126000000.0,90000000.0,3129000000.0,16674000000.0,,3274000000.0,12188000000.0,1327000000.0,3941000000.0,18000000.0,4772000000.0,,2614000000.0,2303000000.0,875000000.0,4359000000.0,3206000000.0,652000000.0,5851000000.0,3096000000.0,35280000000.0,81130000000.0,44267000000.0,51421000000.0,19233000000.0,44267000000.0,44285000000.0,36845000000.0,81130000000.0,25768000000.0,17612000000.0,0.0
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2010.0,Q3,,2010-05-01,2010-05-26 06:02:34+00:00,902000000.0,4078000000.0,676000000.0,3961000000.0,,37584000000.0,7154000000.0,2277000000.0,167000000.0,2709000000.0,16668000000.0,,3448000000.0,12119000000.0,1250000000.0,3994000000.0,22000000.0,4203000000.0,,,,3047000000.0,4380000000.0,5424000000.0,679000000.0,5570000000.0,3127000000.0,35145000000.0,79292000000.0,43830000000.0,49758000000.0,18439000000.0,43830000000.0,43852000000.0,35440000000.0,79292000000.0,25540000000.0,17001000000.0,0.0
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2010.0,Q2,,2010-01-23,2010-02-17 06:06:50+00:00,750000000.0,4237000000.0,739000000.0,4710000000.0,,35687000000.0,6751000000.0,2233000000.0,103000000.0,2207000000.0,14423000000.0,,2661000000.0,15194000000.0,1215000000.0,3958000000.0,20000000.0,4847000000.0,,,,2816000000.0,4594000000.0,5222000000.0,425000000.0,5086000000.0,,34928000000.0,76403000000.0,41512000000.0,50139000000.0,14405000000.0,41512000000.0,41532000000.0,34871000000.0,76403000000.0,22306000000.0,20466000000.0,0.0
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2010.0,Q1,,2009-10-24,2009-11-18 06:03:33+00:00,729000000.0,3159000000.0,845000000.0,4774000000.0,,34803000000.0,6397000000.0,2205000000.0,97000000.0,2263000000.0,12942000000.0,,1552000000.0,10273000000.0,1089000000.0,3976000000.0,24000000.0,4629000000.0,,,,2879000000.0,3676000000.0,5513000000.0,590000000.0,4354000000.0,,30591000000.0,68680000000.0,40002000000.0,44697000000.0,13162000000.0,40002000000.0,40026000000.0,28654000000.0,68680000000.0,20007000000.0,15492000000.0,0.0
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2011.0,FY,,2011-07-30,2012-09-12 06:06:40+00:00,876000000.0,4698000000.0,1294000000.0,7662000000.0,0.0,38648000000.0,8025000000.0,2410000000.0,120000000.0,3163000000.0,16818000000.0,,2541000000.0,16234000000.0,1486000000.0,3916000000.0,33000000.0,5373000000.0,,3488000000.0,3111000000.0,941000000.0,4734000000.0,3101000000.0,723000000.0,7284000000.0,588000000.0,36923000000.0,87095000000.0,47226000000.0,57231000000.0,17506000000.0,47226000000.0,47259000000.0,39836000000.0,87095000000.0,25948000000.0,22330000000.0,0.0
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2011.0,Q3,,2011-04-30,2011-05-25 06:03:51+00:00,799000000.0,4413000000.0,1307000000.0,6635000000.0,,38639000000.0,7771000000.0,2120000000.0,78000000.0,2964000000.0,16880000000.0,,2702000000.0,16168000000.0,1442000000.0,4023000000.0,43000000.0,5094000000.0,,,,3862000000.0,3917000000.0,6541000000.0,772000000.0,7217000000.0,581000000.0,36732000000.0,85350000000.0,47163000000.0,55204000000.0,16110000000.0,47163000000.0,47206000000.0,38144000000.0,85350000000.0,26123000000.0,22034000000.0,0.0
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2011.0,Q2,,2011-01-29,2011-02-23 06:07:56+00:00,796000000.0,4620000000.0,976000000.0,4924000000.0,,38302000000.0,7878000000.0,2054000000.0,163000000.0,2607000000.0,16746000000.0,,2799000000.0,12152000000.0,1602000000.0,4031000000.0,45000000.0,4897000000.0,,,,3561000000.0,3972000000.0,6339000000.0,741000000.0,6363000000.0,3089000000.0,35305000000.0,81981000000.0,45641000000.0,52066000000.0,18505000000.0,45641000000.0,45686000000.0,36295000000.0,81981000000.0,25884000000.0,17790000000.0,0.0
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2011.0,Q1,,2010-10-30,2010-11-23 07:01:34+00:00,945000000.0,4471000000.0,950000000.0,3796000000.0,,37691000000.0,7420000000.0,1992000000.0,126000000.0,2497000000.0,16742000000.0,,3176000000.0,12214000000.0,1523000000.0,3984000000.0,20000000.0,4256000000.0,,,,3495000000.0,4068000000.0,5707000000.0,730000000.0,6034000000.0,3064000000.0,35129000000.0,80015000000.0,44675000000.0,50406000000.0,18120000000.0,44675000000.0,44695000000.0,35320000000.0,80015000000.0,25625000000.0,17200000000.0,0.0
Cisco Systems Inc,CSCO,8E6NF1YAL0WT6CWXXV93,858877,2012.0,FY,,2012-07-28,2013-09-10 17:10:54+00:00,859000000.0,4369000000.0,661000000.0,9799000000.0,0.0,39271000000.0,8852000000.0,2294000000.0,276000000.0,2928000000.0,16998000000.0,,1959000000.0,16297000000.0,1663000000.0,3402000000.0,15000000.0,5872000000.0,,3585000000.0,3661000000.0,1230000000.0,4785000000.0,3882000000.0,558000000.0,11354000000.0,31000000.0,38917000000.0,91759000000.0,51286000000.0,61933000000.0,17731000000.0,51286000000.0,51301000000.0,40458000000.0,91759000000.0,26424000000.0,22727000000.0,0.0
