company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2007.0,FY,2007-01-29,2008-02-03,2010-03-25 16:38:52+00:00,-13000000.0,2524000000.0,672000000.0,1906000000.0,8337000000.0,-781000000.0,276000000.0,1734000000.0,-10639000000.0,4758000000.0,5727000000.0,-10639000000.0,4758000000.0,5727000000.0,-154000000.0,4395000000.0,4395000000.0,207000000.0,,-1709000000.0,-11225000000.0,-3558000000.0,-125000000.0,-10815000000.0,10899000000.0,318000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2008.0,Q4,2008-11-03,2009-02-01,,,1265000000.0,622000000.0,470000000.0,,-133000000.0,29000000.0,-209000000.0,-685000000.0,-365000000.0,734000000.0,-685000000.0,-365000000.0,734000000.0,-316000000.0,-54000000.0,-54000000.0,451000000.0,,-380000000.0,-85000000.0,-436000000.0,-125000000.0,,137000000.0,19000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2008.0,FY,2008-02-04,2009-02-01,2011-03-24 16:21:02+00:00,,1265000000.0,622000000.0,1902000000.0,,447000000.0,84000000.0,,-3680000000.0,-1729000000.0,5528000000.0,-3680000000.0,-1729000000.0,5528000000.0,119000000.0,2260000000.0,2260000000.0,919000000.0,,-1521000000.0,-168000000.0,-1847000000.0,-2173000000.0,-70000000.0,139000000.0,147000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2008.0,Q3,2008-08-04,2008-11-02,,,,,476000000.0,,-175000000.0,4000000.0,-27000000.0,-764000000.0,-504000000.0,1110000000.0,-764000000.0,-504000000.0,1110000000.0,-158000000.0,756000000.0,756000000.0,53000000.0,,-381000000.0,-83000000.0,-451000000.0,-290000000.0,-70000000.0,,30000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2008.0,Q3YTD,2008-02-04,2008-11-02,2009-12-03 16:12:13+00:00,,,,1432000000.0,,580000000.0,55000000.0,209000000.0,-2995000000.0,-1364000000.0,4794000000.0,-2995000000.0,-1364000000.0,4794000000.0,435000000.0,2314000000.0,2314000000.0,468000000.0,,-1141000000.0,-83000000.0,-1411000000.0,-2048000000.0,-70000000.0,2000000.0,128000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2008.0,Q2YTD,2008-02-04,2008-08-03,2009-09-03 16:24:54+00:00,,,,956000000.0,,755000000.0,51000000.0,236000000.0,-2231000000.0,-860000000.0,3684000000.0,-2231000000.0,-860000000.0,3684000000.0,593000000.0,1558000000.0,1558000000.0,415000000.0,,-760000000.0,,-960000000.0,-1758000000.0,,2000000.0,98000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2009.0,Q4,2009-11-02,2010-01-31,,,2082000000.0,664000000.0,442000000.0,,-527000000.0,36000000.0,-121000000.0,-1404000000.0,-370000000.0,461000000.0,-1404000000.0,-370000000.0,461000000.0,-1313000000.0,342000000.0,342000000.0,204000000.0,,-381000000.0,,-398000000.0,-823000000.0,-115000000.0,11000000.0,17000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2009.0,FY,2009-02-02,2010-01-31,2012-03-22 16:14:41+00:00,0.0,2082000000.0,664000000.0,1806000000.0,0.0,294000000.0,73000000.0,0.0,-3503000000.0,-755000000.0,5125000000.0,-3503000000.0,-755000000.0,5125000000.0,867000000.0,2661000000.0,2661000000.0,364000000.0,,-1525000000.0,,-966000000.0,-1838000000.0,-213000000.0,33000000.0,178000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2009.0,Q3YTD,2009-02-02,2009-11-01,2010-12-02 16:05:55+00:00,,,,1364000000.0,,821000000.0,37000000.0,121000000.0,-2099000000.0,-385000000.0,4664000000.0,-2099000000.0,-385000000.0,4664000000.0,2180000000.0,2319000000.0,2319000000.0,160000000.0,,-1144000000.0,,-568000000.0,-1015000000.0,-98000000.0,22000000.0,161000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2009.0,Q3TTM,2008-11-03,2009-11-01,,,1265000000.0,622000000.0,1834000000.0,,688000000.0,66000000.0,-88000000.0,-2784000000.0,-750000000.0,5398000000.0,-2784000000.0,-750000000.0,5398000000.0,1864000000.0,2265000000.0,2265000000.0,611000000.0,,-1524000000.0,-85000000.0,-1004000000.0,-1140000000.0,-98000000.0,159000000.0,180000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2009.0,Q3,2009-08-03,2009-11-01,,,,,453000000.0,,143000000.0,3000000.0,-89000000.0,-1570000000.0,-171000000.0,1336000000.0,-1570000000.0,-171000000.0,1336000000.0,-405000000.0,689000000.0,689000000.0,51000000.0,,-382000000.0,,-215000000.0,-1004000000.0,-98000000.0,3000000.0,41000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2009.0,Q2TTM,2008-08-04,2009-08-02,,,1265000000.0,622000000.0,1857000000.0,,370000000.0,67000000.0,-26000000.0,-1978000000.0,-1083000000.0,5172000000.0,-1978000000.0,-1083000000.0,5172000000.0,2111000000.0,2332000000.0,2332000000.0,613000000.0,,-1523000000.0,-168000000.0,-1240000000.0,-426000000.0,-70000000.0,156000000.0,169000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2009.0,Q2,2009-05-04,2009-08-02,,,,,458000000.0,,-28000000.0,32000000.0,-216000000.0,-572000000.0,-131000000.0,1601000000.0,-572000000.0,-131000000.0,1601000000.0,898000000.0,1116000000.0,1116000000.0,55000000.0,,-381000000.0,,-181000000.0,-7000000.0,,,50000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2009.0,Q2YTD,2009-02-02,2009-08-02,2010-09-02 16:08:42+00:00,,,,911000000.0,,678000000.0,34000000.0,210000000.0,-529000000.0,-214000000.0,3328000000.0,-529000000.0,-214000000.0,3328000000.0,2585000000.0,1630000000.0,1630000000.0,109000000.0,,-762000000.0,,-353000000.0,-11000000.0,0.0,19000000.0,120000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2009.0,Q1,2009-02-02,2009-05-03,2010-06-03 16:22:40+00:00,,,,453000000.0,,706000000.0,2000000.0,426000000.0,43000000.0,-83000000.0,1727000000.0,43000000.0,-83000000.0,1727000000.0,1687000000.0,514000000.0,514000000.0,54000000.0,,-381000000.0,,-172000000.0,-4000000.0,,19000000.0,70000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,Q4,2010-11-01,2011-01-30,,,2067000000.0,579000000.0,426000000.0,,-467000000.0,48000000.0,,-1085000000.0,-388000000.0,599000000.0,-1085000000.0,-388000000.0,599000000.0,-874000000.0,587000000.0,587000000.0,53000000.0,,-385000000.0,,-407000000.0,-114000000.0,-634000000.0,,19000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,FY,2010-02-01,2011-01-30,2013-03-28 16:22:36+00:00,0.0,2067000000.0,579000000.0,1718000000.0,0.0,-685000000.0,104000000.0,998000000.0,-4451000000.0,-1012000000.0,4585000000.0,-4451000000.0,-1012000000.0,4585000000.0,-878000000.0,3338000000.0,3338000000.0,214000000.0,,-1569000000.0,,-1096000000.0,-1376000000.0,-2608000000.0,,84000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,Q3TTM,2009-11-02,2010-10-31,,,2082000000.0,664000000.0,1734000000.0,,-745000000.0,92000000.0,877000000.0,-4770000000.0,-994000000.0,4447000000.0,-4770000000.0,-994000000.0,4447000000.0,-1317000000.0,3093000000.0,3093000000.0,365000000.0,,-1565000000.0,,-1087000000.0,-2085000000.0,-2089000000.0,11000000.0,82000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,Q3,2010-08-02,2010-10-31,,,,,426000000.0,,-686000000.0,4000000.0,998000000.0,-1336000000.0,-261000000.0,623000000.0,-1336000000.0,-261000000.0,623000000.0,-974000000.0,834000000.0,834000000.0,49000000.0,,-391000000.0,,-282000000.0,-1182000000.0,-765000000.0,,21000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,Q3YTD,2010-02-01,2010-10-31,2011-11-29 16:15:39+00:00,,,,1292000000.0,0.0,-218000000.0,56000000.0,998000000.0,-3366000000.0,-624000000.0,3986000000.0,-3366000000.0,-624000000.0,3986000000.0,-4000000.0,2751000000.0,2751000000.0,161000000.0,,-1184000000.0,,-689000000.0,-1262000000.0,-1974000000.0,,65000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,Q2TTM,2009-08-03,2010-08-01,,,2082000000.0,664000000.0,1761000000.0,,84000000.0,91000000.0,-210000000.0,-5004000000.0,-904000000.0,5160000000.0,-5004000000.0,-904000000.0,5160000000.0,-748000000.0,2948000000.0,2948000000.0,367000000.0,,-1556000000.0,,-1020000000.0,-1907000000.0,-1422000000.0,14000000.0,102000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,Q2,2010-05-03,2010-08-01,,,,,428000000.0,,-344000000.0,41000000.0,-8000000.0,-1137000000.0,-223000000.0,1324000000.0,-1137000000.0,-223000000.0,1324000000.0,-36000000.0,1192000000.0,1192000000.0,48000000.0,,-394000000.0,,-240000000.0,-75000000.0,-701000000.0,,17000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,Q2YTD,2010-02-01,2010-08-01,2011-09-01 16:18:50+00:00,,,,866000000.0,,468000000.0,52000000.0,,-2030000000.0,-363000000.0,3363000000.0,-2030000000.0,-363000000.0,3363000000.0,970000000.0,1917000000.0,1917000000.0,112000000.0,,-793000000.0,,-407000000.0,-80000000.0,-1209000000.0,,44000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,Q1TTM,2009-05-04,2010-05-02,,,2082000000.0,664000000.0,1791000000.0,,400000000.0,82000000.0,-418000000.0,-4439000000.0,-812000000.0,5437000000.0,-4439000000.0,-812000000.0,5437000000.0,186000000.0,2872000000.0,2872000000.0,374000000.0,,-1543000000.0,,-961000000.0,-1839000000.0,-721000000.0,14000000.0,135000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2010.0,Q1,2010-02-01,2010-05-02,2011-06-02 16:06:22+00:00,,,,438000000.0,,812000000.0,11000000.0,8000000.0,-893000000.0,-140000000.0,2039000000.0,-893000000.0,-140000000.0,2039000000.0,1006000000.0,725000000.0,725000000.0,64000000.0,,-399000000.0,,-167000000.0,-5000000.0,-508000000.0,,27000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2011.0,Q4,2011-10-31,2012-01-29,,-65000000.0,1865000000.0,580000000.0,417000000.0,,-289000000.0,215000000.0,,-751000000.0,-446000000.0,960000000.0,-751000000.0,-446000000.0,960000000.0,-237000000.0,774000000.0,774000000.0,58000000.0,,-445000000.0,,-401000000.0,-107000000.0,-414000000.0,,20000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2011.0,FY,2011-01-31,2012-01-29,2014-03-27 16:14:17+00:00,-65000000.0,1865000000.0,580000000.0,1682000000.0,101000000.0,871000000.0,306000000.0,1994000000.0,-4048000000.0,-1129000000.0,6651000000.0,-4048000000.0,-1129000000.0,6651000000.0,1474000000.0,3883000000.0,3883000000.0,215000000.0,,-1632000000.0,,-1221000000.0,-1246000000.0,-3470000000.0,,56000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2011.0,Q3TTM,2010-11-01,2011-10-30,,,2067000000.0,579000000.0,1691000000.0,101000000.0,693000000.0,139000000.0,1994000000.0,-4382000000.0,-1071000000.0,6290000000.0,-4382000000.0,-1071000000.0,6290000000.0,837000000.0,3696000000.0,3696000000.0,210000000.0,,-1572000000.0,,-1227000000.0,-1253000000.0,-3690000000.0,,55000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2011.0,Q3,2011-08-01,2011-10-30,,,,,416000000.0,101000000.0,-195000000.0,8000000.0,,-1257000000.0,-241000000.0,1204000000.0,-1257000000.0,-241000000.0,1204000000.0,-294000000.0,934000000.0,934000000.0,49000000.0,,-389000000.0,,-351000000.0,-71000000.0,-805000000.0,,9000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2011.0,Q3YTD,2011-01-31,2011-10-30,2012-11-21 16:06:49+00:00,0.0,,,1265000000.0,101000000.0,1160000000.0,91000000.0,1994000000.0,-3297000000.0,-683000000.0,5691000000.0,-3297000000.0,-683000000.0,5691000000.0,1711000000.0,3109000000.0,3109000000.0,157000000.0,,-1187000000.0,,-820000000.0,-1139000000.0,-3056000000.0,,36000000.0
Home Depot Inc,HD,QEKMOTMBBKA8I816DO57,354950,2011.0,Q2TTM,2010-08-02,2011-07-31,,,2067000000.0,579000000.0,1701000000.0,,202000000.0,135000000.0,2992000000.0,-4461000000.0,-1091000000.0,5709000000.0,-4461000000.0,-1091000000.0,5709000000.0,157000000.0,3596000000.0,3596000000.0,210000000.0,,-1574000000.0,,-1158000000.0,-2364000000.0,-3650000000.0,,67000000.0
