company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Ingersoll-Rand PLC,IR,,1466258,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:43:53+00:00,13.64,13.64,0.72,13.43,0.0,204400000.0,3990000000.0,747400000.0,3242600000.0,3966700000.0,23300000.0,6272000000.0,8763100000.0,,,30200000.0,,1433300000.0,6272000000.0,2491100000.0,136200000.0,1433300000.0,1057800000.0,-106000000.0,951800000.0,8763100000.0,290800000.0,290800000.0,295400000.0
Ingersoll-Rand PLC,IR,,1466258,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 15:19:10+00:00,-8.73,-8.73,0.72,-8.73,3710000000.0,-192300000.0,-2604800000.0,-2508400000.0,-96400000.0,-2624800000.0,20000000.0,9547500000.0,13045000000.0,,,63900000.0,,2308900000.0,9547500000.0,3497500000.0,243200000.0,6018900000.0,-2521400000.0,-179300000.0,-2700700000.0,13045000000.0,300600000.0,300600000.0,300600000.0
Ingersoll-Rand PLC,IR,,1466258,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 10:28:24+00:00,0.71,0.71,0.18,0.7,,26300000.0,233200000.0,239200000.0,-6000000.0,227700000.0,5500000.0,3209400000.0,4313200000.0,,,1800000.0,,756400000.0,3209400000.0,1103800000.0,83700000.0,756400000.0,347400000.0,-81900000.0,265500000.0,4313200000.0,320700000.0,320200000.0,324100000.0
Ingersoll-Rand PLC,IR,,1466258,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 14:39:50+00:00,0.89,0.89,0.18,0.88,,79700000.0,262600000.0,269000000.0,-6400000.0,256100000.0,6500000.0,2196100000.0,3080800000.0,,,32700000.0,,523100000.0,2196100000.0,884700000.0,45600000.0,523100000.0,361600000.0,-12900000.0,348700000.0,3080800000.0,287800000.0,287400000.0,291100000.0
Ingersoll-Rand PLC,IR,,1466258,2009.0,Q4,2009-10-01,2009-12-31,,0.44,0.44,0.07,0.42,,21800000.0,147800000.0,149100000.0,-1300000.0,139300000.0,8500000.0,2252600000.0,3165600000.0,,,-4600000.0,,661400000.0,2252600000.0,913000000.0,76100000.0,661400000.0,251600000.0,-80700000.0,170900000.0,3165600000.0,321100000.0,321100000.0,321100000.0
Ingersoll-Rand PLC,IR,,1466258,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 09:32:50+00:00,1.41,1.41,0.5,1.37,,81500000.0,476200000.0,512800000.0,-36600000.0,451300000.0,24900000.0,9437100000.0,13009100000.0,,,10700000.0,0.0,2686800000.0,9437100000.0,3572000000.0,301600000.0,2686800000.0,885200000.0,-290900000.0,594300000.0,13009100000.0,321100000.0,321100000.0,321100000.0
Ingersoll-Rand PLC,IR,,1466258,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.97,0.97,0.43,0.95,,59700000.0,328400000.0,363700000.0,-35300000.0,312000000.0,16400000.0,7184500000.0,9843500000.0,,,15300000.0,,2025400000.0,7184500000.0,2659000000.0,225500000.0,2025400000.0,633600000.0,-210200000.0,423400000.0,9843500000.0,323300000.0,321000000.0,331800000.0
Ingersoll-Rand PLC,IR,,1466258,2009.0,Q3,2009-07-01,2009-09-30,2010-11-01 15:28:12+00:00,0.67,0.67,0.07,0.65,,14800000.0,222600000.0,233500000.0,-10900000.0,216600000.0,6000000.0,2462600000.0,3458900000.0,,,0.0,,671700000.0,2462600000.0,996300000.0,76300000.0,671700000.0,324600000.0,-76300000.0,248300000.0,3458900000.0,323300000.0,321000000.0,331800000.0
Ingersoll-Rand PLC,IR,,1466258,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.3,0.3,0.36,0.3,,44900000.0,105800000.0,130200000.0,-24400000.0,95400000.0,10400000.0,4721900000.0,6384600000.0,,,15300000.0,,1353700000.0,4721900000.0,1662700000.0,149200000.0,1353700000.0,309000000.0,-133900000.0,175100000.0,6384600000.0,321300000.0,320800000.0,325000000.0
Ingersoll-Rand PLC,IR,,1466258,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 12:34:48+00:00,0.38,0.38,0.0,0.38,,34400000.0,127600000.0,145700000.0,-18100000.0,122100000.0,5500000.0,2515500000.0,3451700000.0,,,2800000.0,,677100000.0,2515500000.0,936200000.0,81800000.0,677100000.0,259100000.0,-79000000.0,180100000.0,3451700000.0,321300000.0,320800000.0,325000000.0
