company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2008.0,FY,,2008-12-31,2010-02-17 13:01:33+00:00,898000000.0,3795000000.0,,,-215000000.0,1124000000.0,3150000000.0,231000000.0,246000000.0,,643000000.0,1072000000.0,2586000000.0,,1828000000.0,4782000000.0,19000000.0,,539000000.0,418000000.0,983000000.0,,1120000000.0,735000000.0,,10041000000.0,26000000.0,0.0,14385000000.0,7725000000.0,7411000000.0,2781000000.0,7725000000.0,7744000000.0,6641000000.0,14385000000.0,2192000000.0,3860000000.0,-5251000000.0
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2009.0,FY,,2009-12-31,2011-02-17 10:33:34+00:00,787000000.0,2964000000.0,,,-213000000.0,2082000000.0,3080000000.0,215000000.0,210000000.0,,514000000.0,1100000000.0,3824000000.0,,1598000000.0,5759000000.0,29000000.0,,462000000.0,472000000.0,623000000.0,,1041000000.0,606000000.0,,10863000000.0,750000000.0,1312000000.0,16538000000.0,8728000000.0,8638000000.0,2889000000.0,8728000000.0,8757000000.0,7781000000.0,16538000000.0,2141000000.0,4892000000.0,-5002000000.0
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2009.0,Q3,,2009-09-30,2009-10-23 12:43:20+00:00,800000000.0,3098000000.0,,,-202000000.0,1675000000.0,3064000000.0,194000000.0,198000000.0,,487000000.0,1093000000.0,4573000000.0,,1716000000.0,5564000000.0,27000000.0,,466000000.0,497000000.0,703000000.0,,981000000.0,538000000.0,,10702000000.0,0.0,1515000000.0,16337000000.0,8549000000.0,8699000000.0,2184000000.0,8549000000.0,8576000000.0,7761000000.0,16337000000.0,2074000000.0,5577000000.0,-5015000000.0
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2009.0,Q2,,2009-06-30,2009-07-30 11:17:55+00:00,755000000.0,3152000000.0,,,-198000000.0,1568000000.0,3062000000.0,226000000.0,179000000.0,0.0,454000000.0,1068000000.0,4573000000.0,763000000.0,1832000000.0,5357000000.0,23000000.0,0.0,521000000.0,524000000.0,758000000.0,,1019000000.0,577000000.0,,10521000000.0,27000000.0,753000000.0,16215000000.0,8301000000.0,8008000000.0,2220000000.0,8301000000.0,8324000000.0,7891000000.0,16215000000.0,2850000000.0,5671000000.0,-5084000000.0
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2010.0,FY,,2010-12-31,2012-02-16 14:27:13+00:00,1139000000.0,3924000000.0,,,-240000000.0,1398000000.0,3013000000.0,266000000.0,257000000.0,,716000000.0,1315000000.0,3824000000.0,,1940000000.0,6842000000.0,14000000.0,,487000000.0,714000000.0,636000000.0,,1254000000.0,842000000.0,,12371000000.0,,653000000.0,18297000000.0,10373000000.0,8886000000.0,2757000000.0,10373000000.0,10387000000.0,7910000000.0,18297000000.0,2569000000.0,5153000000.0,-4771000000.0
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2010.0,Q3,,2010-09-30,2010-10-22 11:24:23+00:00,1095000000.0,3723000000.0,,,-209000000.0,1875000000.0,2974000000.0,219000000.0,244000000.0,,666000000.0,1254000000.0,3824000000.0,,1889000000.0,6486000000.0,13000000.0,,445000000.0,605000000.0,603000000.0,,1242000000.0,743000000.0,,11848000000.0,750000000.0,880000000.0,18198000000.0,9840000000.0,9216000000.0,3333000000.0,9840000000.0,9853000000.0,8345000000.0,18198000000.0,2496000000.0,5012000000.0,-4773000000.0
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2010.0,Q2,,2010-06-30,2010-07-23 12:18:11+00:00,1069000000.0,3453000000.0,,,-209000000.0,1160000000.0,3027000000.0,257000000.0,274000000.0,,583000000.0,1132000000.0,3824000000.0,,1767000000.0,6175000000.0,31000000.0,,430000000.0,614000000.0,656000000.0,,1030000000.0,587000000.0,,11386000000.0,750000000.0,1935000000.0,17540000000.0,9353000000.0,9203000000.0,3315000000.0,9353000000.0,9384000000.0,8156000000.0,17540000000.0,2162000000.0,4841000000.0,-4851000000.0
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2010.0,Q1,,2010-03-31,2010-04-22 11:38:59+00:00,964000000.0,3176000000.0,,,-206000000.0,1383000000.0,3064000000.0,282000000.0,248000000.0,,520000000.0,1138000000.0,3824000000.0,,1658000000.0,5980000000.0,29000000.0,,425000000.0,541000000.0,629000000.0,,1048000000.0,626000000.0,,10988000000.0,750000000.0,1808000000.0,16980000000.0,8931000000.0,8814000000.0,3145000000.0,8931000000.0,8960000000.0,8020000000.0,16980000000.0,2186000000.0,4875000000.0,-4915000000.0
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2011.0,FY,,2011-12-31,2013-02-11 09:34:14+00:00,1826000000.0,5084000000.0,,,-273000000.0,2698000000.0,3138000000.0,309000000.0,321000000.0,,862000000.0,1776000000.0,4820000000.0,,2570000000.0,8492000000.0,18000000.0,,534000000.0,904000000.0,1124000000.0,,1832000000.0,986000000.0,,14880000000.0,,,23677000000.0,13198000000.0,11577000000.0,4121000000.0,13198000000.0,13216000000.0,10461000000.0,23677000000.0,3608000000.0,6340000000.0,-4547000000.0
Halliburton Co,HAL,ENYF8GB5SMQZ25S06U51,45012,2011.0,Q3,,2011-09-30,2011-10-21 13:47:18+00:00,1733000000.0,4769000000.0,,,-240000000.0,1775000000.0,3112000000.0,269000000.0,238000000.0,,733000000.0,1373000000.0,3824000000.0,,2412000000.0,7993000000.0,18000000.0,,477000000.0,712000000.0,921000000.0,,1532000000.0,871000000.0,,14057000000.0,,400000000.0,21204000000.0,12358000000.0,10306000000.0,3656000000.0,12358000000.0,12376000000.0,8828000000.0,21204000000.0,2905000000.0,5172000000.0,-4571000000.0
