company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accruedexpenses,aoci,capitalleaseobligations,cashandequivalents,commonequity,currentdeferredtaxliabilities,currentemployeebenefitliabilities,dividendspayable,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,notereceivable,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Genuine Parts Co,GPC,,40987,2008.0,FY,,2008-12-31,2010-02-26 11:40:00+00:00,1009423000.0,84116000.0,-478562000.0,,67777000.0,159443000.0,24685000.0,106731000.0,62148000.0,158825000.0,423265000.0,,500000000.0,2316880000.0,423265000.0,69046000.0,218503000.0,,502605000.0,1224525000.0,,114337000.0,103264000.0,262238000.0,2643451000.0,,4786350000.0,2324332000.0,3871420000.0,1287103000.0,2324332000.0,2393378000.0,2392972000.0,4786350000.0,491665000.0,1105869000.0,0.0
Genuine Parts Co,GPC,,40987,2009.0,FY,,2009-12-31,2011-02-25 08:35:16+00:00,1094347000.0,100931000.0,-309897000.0,,336803000.0,158918000.0,42988000.0,106432000.0,63586000.0,171532000.0,485024000.0,,500000000.0,2214076000.0,485024000.0,8042000.0,167722000.0,,300197000.0,1187075000.0,,147583000.0,166836000.0,294874000.0,2772309000.0,0.0,5004689000.0,2621330000.0,4032828000.0,1408284000.0,2621330000.0,2629372000.0,2375317000.0,5004689000.0,486837000.0,967033000.0,0.0
Genuine Parts Co,GPC,,40987,2009.0,Q3,,2009-09-30,2009-11-05 12:42:49+00:00,1124276000.0,,-313788000.0,,363133000.0,168233000.0,56997000.0,,63819000.0,171573000.0,,,500000000.0,2188133000.0,485647000.0,7447000.0,152787000.0,,289659000.0,1250575000.0,199419000.0,132943000.0,128729000.0,232450000.0,2752450000.0,,4977241000.0,2606895000.0,4034291000.0,1444511000.0,2606895000.0,2614342000.0,2362899000.0,4977241000.0,457303000.0,918388000.0,0.0
Genuine Parts Co,GPC,,40987,2009.0,Q2,,2009-06-30,2009-08-06 14:35:25+00:00,1063260000.0,,-366973000.0,,238589000.0,166206000.0,44687000.0,,63813000.0,166683000.0,,,500000000.0,2215709000.0,487307000.0,7822000.0,160581000.0,,305525000.0,1239318000.0,240807000.0,124358000.0,121168000.0,222399000.0,2708629000.0,,4854944000.0,2507862000.0,3916015000.0,1412567000.0,2507862000.0,2515684000.0,2339260000.0,4854944000.0,451622000.0,926693000.0,0.0
Genuine Parts Co,GPC,,40987,2010.0,FY,,2010-12-31,2012-02-27 07:08:17+00:00,1374930000.0,115659000.0,-298352000.0,,529968000.0,157636000.0,23145000.0,143480000.0,64600000.0,209548000.0,484130000.0,,250000000.0,2224717000.0,484130000.0,8895000.0,157392000.0,,258807000.0,1364406000.0,,199087000.0,181709000.0,295796000.0,2934535000.0,250000000.0,5465044000.0,2793819000.0,4414887000.0,1971814000.0,2793819000.0,2802714000.0,2662330000.0,5465044000.0,566027000.0,690516000.0,0.0
Genuine Parts Co,GPC,,40987,2010.0,Q3,,2010-09-30,2010-11-04 10:07:18+00:00,1371718000.0,,-268502000.0,,531731000.0,157535000.0,46144000.0,,64584000.0,207237000.0,,,500000000.0,2182413000.0,478436000.0,8594000.0,152248000.0,,239326000.0,1394870000.0,238439000.0,184548000.0,175777000.0,282287000.0,2880155000.0,,5413770000.0,2769188000.0,4391301000.0,1720885000.0,2769188000.0,2777782000.0,2635988000.0,5413770000.0,544033000.0,915103000.0,0.0
Genuine Parts Co,GPC,,40987,2010.0,Q2,,2010-06-30,2010-08-05 11:45:15+00:00,1286681000.0,,-308540000.0,,411872000.0,157613000.0,35494000.0,,64687000.0,201326000.0,,,500000000.0,2164548000.0,469150000.0,8707000.0,164657000.0,,296823000.0,1353918000.0,188511000.0,173730000.0,173957000.0,280159000.0,2815427000.0,,5219360000.0,2664500000.0,4210497000.0,1575373000.0,2664500000.0,2673207000.0,2546153000.0,5219360000.0,539713000.0,970780000.0,0.0
Genuine Parts Co,GPC,,40987,2010.0,Q1,,2010-03-31,2010-05-06 10:03:10+00:00,1185177000.0,,-283579000.0,,333537000.0,158792000.0,78609000.0,,65083000.0,204907000.0,,,500000000.0,2211457000.0,477269000.0,7984000.0,167632000.0,,299567000.0,1323980000.0,185260000.0,172723000.0,169500000.0,277257000.0,2802369000.0,,5168762000.0,2677582000.0,4146231000.0,1514129000.0,2677582000.0,2685566000.0,2483196000.0,5168762000.0,545262000.0,969067000.0,0.0
Genuine Parts Co,GPC,,40987,2011.0,FY,,2011-12-31,2013-02-26 15:16:25+00:00,1440762000.0,331582000.0,-482038000.0,,525054000.0,155651000.0,21081000.0,149102000.0,70021000.0,279775000.0,500204000.0,,500000000.0,2440111000.0,500204000.0,9584000.0,261608000.0,,493721000.0,1461011000.0,,406477000.0,442914000.0,328534000.0,3070394000.0,,6202774000.0,2744007000.0,4754710000.0,2012548000.0,2744007000.0,2753591000.0,3449183000.0,6202774000.0,947860000.0,1436635000.0,0.0
Genuine Parts Co,GPC,,40987,2011.0,Q3,,2011-09-30,2011-11-07 10:45:56+00:00,1587326000.0,,-325392000.0,,534801000.0,155653000.0,44812000.0,,70134000.0,277924000.0,,,250000000.0,2250309000.0,479547000.0,9663000.0,153319000.0,,212876000.0,1531046000.0,288388000.0,227615000.0,189791000.0,330157000.0,3051467000.0,250000000.0,5784718000.0,2881728000.0,4646313000.0,2240660000.0,2881728000.0,2891391000.0,2893327000.0,5784718000.0,658858000.0,652667000.0,0.0
