company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Genuine Parts Co,GPC,,40987,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 11:40:00+00:00,-44855000.0,324399000.0,31540000.0,87702000.0,5249000.0,11487000.0,39782000.0,0.0,-469496000.0,-87598000.0,641471000.0,-469496000.0,-87598000.0,641471000.0,95864000.0,506339000.0,506339000.0,7648000.0,14968000.0,0.0,,-243244000.0,-115648000.0,0.0,-241220000.0,67656000.0
Genuine Parts Co,GPC,,40987,2008.0,Q4,2008-10-01,2008-12-31,,-34869000.0,338859000.0,31297000.0,22229000.0,12575000.0,-5865000.0,-47119000.0,1335000000.0,-56582000.0,-55508000.0,61304000.0,-56582000.0,-55508000.0,61304000.0,-56651000.0,87784000.0,87784000.0,-1590000.0,-1442000.0,,,-63003000.0,-44935000.0,-1283000000.0,-44137000.0,11721000.0
Genuine Parts Co,GPC,,40987,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 08:35:16+00:00,-133604000.0,338859000.0,31297000.0,88698000.0,12575000.0,-7462000.0,-45283000.0,1335000000.0,-472573000.0,-214334000.0,530309000.0,-472573000.0,-214334000.0,530309000.0,-164060000.0,475417000.0,475417000.0,11477000.0,235000.0,,,-251808000.0,-105026000.0,-1283000000.0,-273000000.0,11721000.0
Genuine Parts Co,GPC,,40987,2008.0,Q3,2008-07-01,2008-09-30,,-45079000.0,,,21768000.0,,-906000.0,33029000.0,,-141475000.0,-60840000.0,191805000.0,-141475000.0,-60840000.0,191805000.0,-11416000.0,131017000.0,131017000.0,5991000.0,35000.0,,,-63751000.0,-15761000.0,,-77759000.0,
Genuine Parts Co,GPC,,40987,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-05 12:42:49+00:00,-98735000.0,,,66469000.0,,-1597000.0,1836000.0,,-415991000.0,-158826000.0,469005000.0,-415991000.0,-158826000.0,469005000.0,-107409000.0,387633000.0,387633000.0,13067000.0,1677000.0,0.0,,-188805000.0,-60091000.0,0.0,-228863000.0,
Genuine Parts Co,GPC,,40987,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-06 14:35:25+00:00,-53656000.0,,,44701000.0,,-691000.0,-31193000.0,,-274516000.0,-97986000.0,277200000.0,-274516000.0,-97986000.0,277200000.0,-95993000.0,256616000.0,256616000.0,7076000.0,1642000.0,,,-125054000.0,-44330000.0,0.0,-151104000.0,
Genuine Parts Co,GPC,,40987,2009.0,Q4,2009-10-01,2009-12-31,,-11156000.0,219888000.0,27626000.0,22917000.0,,4803000.0,-40231000.0,795000000.0,-90726000.0,-19202000.0,78795000.0,-90726000.0,-19202000.0,78795000.0,-26330000.0,99167000.0,99167000.0,-3058000.0,-1047000.0,-3000.0,,-63819000.0,-20085000.0,-795000000.0,-25860000.0,12042000.0
Genuine Parts Co,GPC,,40987,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 07:08:17+00:00,-134203000.0,219888000.0,27626000.0,90411000.0,,18531000.0,349807000.0,795000000.0,-330383000.0,-264420000.0,845298000.0,-330383000.0,-264420000.0,845298000.0,269026000.0,399575000.0,399575000.0,5505000.0,1194000.0,-72814000.0,,-253558000.0,-69445000.0,-847000000.0,-26019000.0,12042000.0
Genuine Parts Co,GPC,,40987,2009.0,Q3TTM,2008-10-01,2009-09-30,,-157916000.0,338859000.0,31297000.0,89723000.0,12575000.0,7863000.0,342919000.0,1335000000.0,-296239000.0,-300726000.0,827807000.0,-296239000.0,-300726000.0,827807000.0,238705000.0,388192000.0,388192000.0,6973000.0,799000.0,-72811000.0,,-252742000.0,-94295000.0,-1335000000.0,-44296000.0,11721000.0
Genuine Parts Co,GPC,,40987,2009.0,Q3,2009-07-01,2009-09-30,,-15642000.0,,,22562000.0,,11485000.0,145304000.0,,-63755000.0,-100858000.0,277672000.0,-63755000.0,-100858000.0,277672000.0,124544000.0,107639000.0,107639000.0,2167000.0,81000.0,-72811000.0,,-63813000.0,-12405000.0,,-23000.0,
Genuine Parts Co,GPC,,40987,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 10:07:18+00:00,-123047000.0,,,67494000.0,,13728000.0,390038000.0,,-239657000.0,-245218000.0,766503000.0,-239657000.0,-245218000.0,766503000.0,295356000.0,300408000.0,300408000.0,8563000.0,2241000.0,-72811000.0,,-189739000.0,-49360000.0,-52000000.0,-159000.0,
