company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2009.0,FY,2008-12-29,2009-12-31,2012-03-28 14:35:39+00:00,-549000.0,836000.0,4746000.0,5935000.0,2110000.0,-13253000.0,91565000.0,78049000.0,13757000.0,61971000.0,78049000.0,13757000.0,61971000.0,155887000.0,60179000.0,60179000.0,8274000.0,5552000.0,0.0,-137231000.0,-4589000.0,,-6300000.0,-12768000.0,156126000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 16:51:54+00:00,0.0,7349000.0,2483000.0,5696000.0,709000.0,45545000.0,29110000.0,34019000.0,-283710000.0,103383000.0,34019000.0,-283710000.0,103383000.0,-145599000.0,41245000.0,41245000.0,3548000.0,5781000.0,62000.0,-416376000.0,-3776000.0,,-872000.0,,136380000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2010.0,Q4,2010-10-01,2010-12-31,,,2415000.0,947000.0,1463000.0,396000.0,10526000.0,29110000.0,6808000.0,-48908000.0,31424000.0,6808000.0,-48908000.0,31424000.0,-10280000.0,16141000.0,16141000.0,879000.0,-22302000.0,66000.0,-104381000.0,-876000.0,,,,56283000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2010.0,Q3,2010-07-01,2010-09-30,,,2221000.0,308000.0,1391000.0,1564000.0,12655000.0,,11890000.0,-84943000.0,32193000.0,11890000.0,-84943000.0,32193000.0,-39296000.0,14017000.0,14017000.0,1909000.0,11890000.0,-4000.0,-120189000.0,-671000.0,,,,35921000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 15:45:44+00:00,0.0,4934000.0,1536000.0,4233000.0,313000.0,35019000.0,,27211000.0,-234802000.0,71959000.0,27211000.0,-234802000.0,71959000.0,-135319000.0,25104000.0,25104000.0,2669000.0,28083000.0,-4000.0,-311995000.0,-2900000.0,,-872000.0,,80097000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-04 16:07:03+00:00,0.0,2713000.0,1228000.0,2842000.0,-1251000.0,22364000.0,,15321000.0,-149859000.0,39766000.0,15321000.0,-149859000.0,39766000.0,-96023000.0,11087000.0,11087000.0,760000.0,16193000.0,,-191806000.0,-2229000.0,,-872000.0,,44176000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2011.0,FY,2011-01-01,2011-12-31,2014-02-28 20:09:17+00:00,-2623000.0,12515000.0,-305000.0,6989000.0,-682000.0,51638000.0,19968000.0,39797000.0,-166826000.0,132842000.0,39797000.0,-166826000.0,132842000.0,5131000.0,62492000.0,62492000.0,-792000.0,19829000.0,,-516906000.0,-3624000.0,,0.0,,356327000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2011.0,Q3YTD,2011-01-01,2011-09-30,2011-11-04 15:45:44+00:00,-2623000.0,9508000.0,-689000.0,5114000.0,-957000.0,46231000.0,,23282000.0,-132837000.0,110283000.0,23282000.0,-132837000.0,110283000.0,-229000.0,45998000.0,45998000.0,3432000.0,23282000.0,,-407110000.0,-2785000.0,,0.0,,279681000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2011.0,Q3TTM,2010-10-01,2011-09-30,,-2623000.0,11923000.0,258000.0,6577000.0,-561000.0,56757000.0,29110000.0,30090000.0,-181745000.0,141707000.0,30090000.0,-181745000.0,141707000.0,-10509000.0,62139000.0,62139000.0,4311000.0,980000.0,66000.0,-511491000.0,-3661000.0,,,,335964000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2011.0,Q3,2011-07-01,2011-09-30,,,3217000.0,328000.0,1778000.0,-2050000.0,12144000.0,,7572000.0,-52950000.0,36039000.0,7572000.0,-52950000.0,36039000.0,-11389000.0,17917000.0,17917000.0,983000.0,7572000.0,,-119451000.0,-1335000.0,,,,67836000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2011.0,Q2YTD,2011-01-01,2011-06-30,2011-08-04 16:07:03+00:00,-2623000.0,6291000.0,-1017000.0,3336000.0,1093000.0,34087000.0,,15710000.0,-79887000.0,74244000.0,15710000.0,-79887000.0,74244000.0,11160000.0,28081000.0,28081000.0,2449000.0,15710000.0,,-287659000.0,-1450000.0,,0.0,,211845000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2011.0,Q2TTM,2010-07-01,2011-06-30,,-2623000.0,10927000.0,238000.0,6190000.0,3053000.0,57268000.0,29110000.0,34408000.0,-213738000.0,137861000.0,34408000.0,-213738000.0,137861000.0,-38416000.0,58239000.0,58239000.0,5237000.0,5298000.0,62000.0,-512229000.0,-2997000.0,,,,304049000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2011.0,Q2,2011-04-01,2011-06-30,,-2623000.0,3030000.0,-250000.0,1658000.0,288000.0,14392000.0,,7635000.0,-32953000.0,34068000.0,7635000.0,-32953000.0,34068000.0,9038000.0,14494000.0,14494000.0,494000.0,7635000.0,,-157964000.0,-756000.0,,,,128390000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2011.0,Q1,2011-01-01,2011-03-31,2012-05-07 14:40:43+00:00,0.0,3261000.0,-767000.0,1678000.0,805000.0,19695000.0,,8075000.0,-46934000.0,40176000.0,8075000.0,-46934000.0,40176000.0,2122000.0,13587000.0,13587000.0,1955000.0,8075000.0,,-129695000.0,-694000.0,,,,83455000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2012.0,Q4,2012-10-01,2012-12-31,,-500000.0,2960000.0,6753000.0,3488000.0,-91000.0,18046000.0,38087000.0,4539000.0,-7232000.0,50293000.0,4539000.0,-7232000.0,50293000.0,47509000.0,21507000.0,21507000.0,4292000.0,-33548000.0,-25768000.0,-77698000.0,-1800000.0,,,,98534000.0
Fortinet Inc,FTNT,549300O0QJWDBAS0QX03,1262039,2012.0,FY,2012-01-01,2012-12-31,2015-02-27 21:06:38+00:00,-1249000.0,12962000.0,17088000.0,11564000.0,-326000.0,73002000.0,38087000.0,50156000.0,-182711000.0,183866000.0,50156000.0,-182711000.0,183866000.0,50985000.0,66836000.0,66836000.0,19502000.0,12069000.0,,-601087000.0,-22083000.0,,0.0,,441708000.0
