company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,customerdeposits,goodwill,intangibleassets,longtermdebt,longterminvestments,netppe,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2008.0,FY,,2008-12-31,2010-02-18 15:30:26+00:00,9041200000.0,4416800000.0,-895700000.0,2183900000.0,,16848000000.0,938900000.0,0.0,64500000.0,529000000.0,13461300000.0,8827200000.0,7833900000.0,12542300000.0,1054500000.0,2098900000.0,1741200000.0,4377900000.0,,,387900000.0,2018400000.0,5479400000.0,1007700000.0,2849200000.0,48403200000.0,21431700000.0,12130000000.0,15020300000.0,21431700000.0,21431700000.0,26971500000.0,48403200000.0,35218700000.0,11951200000.0,0.0
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2009.0,FY,,2009-12-31,2011-02-17 16:42:39+00:00,8444600000.0,4160500000.0,68100000.0,4816100000.0,,15196700000.0,523800000.0,1228700000.0,62600000.0,396600000.0,13264600000.0,8259300000.0,8338300000.0,1038200000.0,1099600000.0,2470400000.0,1663400000.0,4480400000.0,,,393000000.0,1779700000.0,9598500000.0,60800000.0,16906900000.0,52125400000.0,24863300000.0,28070700000.0,14673700000.0,24863300000.0,24863300000.0,27262100000.0,52125400000.0,22955100000.0,12588400000.0,0.0
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2009.0,Q3,,2009-09-30,2009-10-28 16:14:27+00:00,8525000000.0,3781300000.0,72500000.0,1842200000.0,,15668100000.0,361100000.0,96500000.0,61400000.0,386700000.0,13307600000.0,8341400000.0,8384400000.0,1042300000.0,1067600000.0,2229800000.0,1537900000.0,4269800000.0,1293100000.0,309200000.0,376100000.0,1889500000.0,7126800000.0,477800000.0,16546900000.0,49497500000.0,22867400000.0,25362500000.0,14126400000.0,22867400000.0,22867400000.0,26630100000.0,49497500000.0,23067400000.0,12503700000.0,0.0
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2009.0,Q2,,2009-06-30,2009-07-29 16:42:31+00:00,8659500000.0,3973200000.0,-423300000.0,1724600000.0,0.0,16036700000.0,740700000.0,,61300000.0,330900000.0,13308900000.0,8612800000.0,8513700000.0,1018200000.0,1038200000.0,2302200000.0,1467100000.0,4358200000.0,1292900000.0,274300000.0,364800000.0,1933200000.0,6639500000.0,658100000.0,15802900000.0,49344300000.0,22252900000.0,25001400000.0,14342300000.0,22252900000.0,22252900000.0,27091400000.0,49344300000.0,23304700000.0,12749100000.0,0.0
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2010.0,FY,,2010-12-31,2012-02-22 16:09:42+00:00,7794600000.0,3920200000.0,224600000.0,1788800000.0,0.0,12866400000.0,493200000.0,,56400000.0,901500000.0,13264900000.0,7996800000.0,8147800000.0,1120600000.0,1155500000.0,2586900000.0,2434400000.0,4451100000.0,,,488300000.0,1610100000.0,10721600000.0,805900000.0,17504200000.0,50166900000.0,23812600000.0,26140800000.0,14009500000.0,23812600000.0,23812600000.0,26354300000.0,50166900000.0,22870600000.0,12344800000.0,0.0
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2010.0,Q3,,2010-09-30,2010-11-03 13:55:24+00:00,7709000000.0,4084800000.0,372400000.0,2246200000.0,,13407500000.0,416000000.0,62100000.0,57900000.0,894900000.0,13265400000.0,8056500000.0,8217200000.0,1109300000.0,1206700000.0,2621600000.0,2190700000.0,4611100000.0,,,455100000.0,1690400000.0,10581800000.0,806500000.0,18001700000.0,51032400000.0,24361700000.0,26939400000.0,14141500000.0,24361700000.0,24361700000.0,26670700000.0,51032400000.0,22886300000.0,12529200000.0,
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2010.0,Q2,,2010-06-30,2010-08-03 15:38:09+00:00,7714800000.0,4723600000.0,140700000.0,2027900000.0,,13652300000.0,545400000.0,,61000000.0,734400000.0,13265500000.0,8116900000.0,7334800000.0,1085600000.0,1171200000.0,2481000000.0,2051700000.0,5112500000.0,,,439100000.0,1717200000.0,9997500000.0,1213800000.0,16733100000.0,50160000000.0,23790500000.0,26081700000.0,14836500000.0,23790500000.0,23790500000.0,26369500000.0,50160000000.0,22907100000.0,11533000000.0,0.0
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2010.0,Q1,,2010-03-31,2010-04-28 12:15:47+00:00,8174000000.0,4336700000.0,166800000.0,3526200000.0,,14556800000.0,481600000.0,380800000.0,59400000.0,602000000.0,13265700000.0,8177800000.0,7630400000.0,1063900000.0,1144500000.0,2501000000.0,1924300000.0,4834400000.0,,,412500000.0,1719800000.0,9795600000.0,759900000.0,16847700000.0,51180900000.0,24519200000.0,27116500000.0,14810500000.0,24519200000.0,24519200000.0,26661700000.0,51180900000.0,22919900000.0,11851200000.0,0.0
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2011.0,FY,,2011-12-31,2013-02-22 13:56:49+00:00,8613100000.0,4346800000.0,114900000.0,2201600000.0,0.0,11682600000.0,530600000.0,,55100000.0,872500000.0,13858700000.0,7931700000.0,8465700000.0,1378900000.0,1418100000.0,2724000000.0,2730400000.0,4983500000.0,,,478400000.0,1786600000.0,11490700000.0,1374500000.0,17288000000.0,52163200000.0,23288200000.0,27097400000.0,15898700000.0,23288200000.0,23288200000.0,28875000000.0,52163200000.0,23647700000.0,12976300000.0,0.0
Anthem Inc,ANTM,8MYN82XMYQH89CTMTH67,1156039,2011.0,Q3,,2011-09-30,2011-10-26 13:12:32+00:00,8274500000.0,4301400000.0,132200000.0,2508400000.0,0.0,12013100000.0,532100000.0,,58600000.0,773100000.0,13846900000.0,7994200000.0,8622300000.0,1300500000.0,1316900000.0,2754700000.0,2372400000.0,5306000000.0,,,539100000.0,1668500000.0,11572800000.0,1374100000.0,17838000000.0,52549900000.0,23718100000.0,27552300000.0,15786300000.0,23718100000.0,23718100000.0,28831800000.0,52549900000.0,23680700000.0,13045500000.0,0.0
