company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 15:03:44+00:00,-273000000.0,764000000.0,,,508000000.0,,706000000.0,,-6783000000.0,553000000.0,6247000000.0,-6783000000.0,553000000.0,6247000000.0,17000000.0,3433000000.0,3433000000.0,836000000.0,,1870000000.0,,-1943000000.0,-356000000.0,-6783000000.0,,1255000000.0
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2012.0,Q4,2012-10-01,2012-12-31,,92000000.0,136000000.0,,61000000.0,173000000.0,16000000.0,-995000000.0,15586000000.0,2389000000.0,-206000000.0,941000000.0,2389000000.0,-206000000.0,941000000.0,3140000000.0,1540000000.0,1540000000.0,87000000.0,,-1000000.0,,-725000000.0,-95000000.0,-13197000000.0,,523000000.0
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2012.0,FY,2012-01-01,2012-12-31,2015-02-20 15:18:31+00:00,-688000000.0,625000000.0,,61000000.0,525000000.0,16000000.0,-621000000.0,15586000000.0,1931000000.0,-2418000000.0,6345000000.0,1931000000.0,-2418000000.0,6345000000.0,5874000000.0,5275000000.0,5275000000.0,541000000.0,,,,-2550000000.0,-333000000.0,-13655000000.0,,1153000000.0
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2012.0,Q3,2012-07-01,2012-09-30,,,134000000.0,,,93000000.0,,395000000.0,,2244000000.0,-1806000000.0,2249000000.0,2244000000.0,-1806000000.0,2249000000.0,2687000000.0,1585000000.0,1585000000.0,42000000.0,,1000000.0,,-1825000000.0,18000000.0,2244000000.0,,
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-11-12 16:57:14+00:00,-780000000.0,489000000.0,,,352000000.0,,374000000.0,,-458000000.0,-2212000000.0,5404000000.0,-458000000.0,-2212000000.0,5404000000.0,2734000000.0,3735000000.0,3735000000.0,454000000.0,,1000000.0,,-1825000000.0,-238000000.0,-458000000.0,,630000000.0
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2012.0,Q2,2012-04-01,2012-06-30,,-109000000.0,176000000.0,,,119000000.0,,-160000000.0,,-1326000000.0,-202000000.0,1561000000.0,-1326000000.0,-202000000.0,1561000000.0,33000000.0,1267000000.0,1267000000.0,159000000.0,,,,,-94000000.0,-1326000000.0,,1000000.0
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-08-09 14:48:29+00:00,-780000000.0,355000000.0,,,259000000.0,,-21000000.0,,-2702000000.0,-406000000.0,3155000000.0,-2702000000.0,-406000000.0,3155000000.0,47000000.0,2150000000.0,2150000000.0,412000000.0,,,,,-256000000.0,-2702000000.0,,630000000.0
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2012.0,Q1,2012-01-01,2012-03-31,2013-05-08 16:53:00+00:00,-671000000.0,179000000.0,,,140000000.0,,139000000.0,,-1376000000.0,-204000000.0,1594000000.0,-1376000000.0,-204000000.0,1594000000.0,14000000.0,883000000.0,883000000.0,253000000.0,,,,,-162000000.0,-1376000000.0,,629000000.0
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2013.0,FY,2013-01-01,2013-12-31,2016-02-19 12:32:59+00:00,,509000000.0,1305000000.0,283000000.0,388000000.0,-10000000.0,658000000.0,,-3442000000.0,879000000.0,6267000000.0,-3442000000.0,879000000.0,6267000000.0,3694000000.0,4128000000.0,4128000000.0,584000000.0,347000000.0,,-2555000000.0,-1335000000.0,-491000000.0,-914000000.0,-320000000.0,2705000000.0
AbbVie Inc,ABBV,FR5LCKFTG8054YNNRU85,1551152,2013.0,Q4,2013-10-01,2013-12-31,,358000000.0,101000000.0,1305000000.0,283000000.0,99000000.0,-1000000.0,-174000000.0,,-747000000.0,123000000.0,1245000000.0,-747000000.0,123000000.0,1245000000.0,620000000.0,1128000000.0,1128000000.0,91000000.0,103000000.0,,-641000000.0,-704000000.0,-151000000.0,-8000000.0,-201000000.0,620000000.0
