company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2007.0,FY,2006-10-29,2007-11-03,2009-11-24 15:37:04+00:00,,1.54,1.54,0.7,1.5,159553000.0,496907000.0,502123000.0,-5216000.0,497126000.0,-219000.0,956445000.0,2464721000.0,15727000.0,509553000.0,40495000.0,389505000.0,956445000.0,1508276000.0,0.0,77007000.0,939553000.0,568723000.0,92734000.0,661457000.0,2464721000.0,322800000.0,323255000.0,332301000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2008.0,FY,2007-11-04,2008-11-01,2010-11-22 16:19:46+00:00,,2.69,2.69,0.76,2.65,140925000.0,786284000.0,525177000.0,261107000.0,786284000.0,,1005656000.0,2582931000.0,36000.0,533480000.0,3088000.0,415682000.0,1005656000.0,1577275000.0,,41041000.0,952250000.0,625025000.0,41077000.0,666102000.0,2582931000.0,292300000.0,292688000.0,297110000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2008.0,Q3,2008-05-04,2008-08-02,2009-08-18 16:25:33+00:00,,0.48,0.48,0.2,0.47,39536000.0,138608000.0,129195000.0,9413000.0,138608000.0,,257192000.0,658986000.0,-664000.0,135837000.0,0.0,104767000.0,257192000.0,401794000.0,0.0,8205000.0,240604000.0,161190000.0,7541000.0,168731000.0,658986000.0,288800000.0,290376000.0,295001000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2009.0,FY,2008-11-02,2009-10-31,2011-11-22 10:51:07+00:00,,0.85,0.85,0.8,0.85,50036000.0,247772000.0,247408000.0,364000.0,247772000.0,,896271000.0,2014908000.0,1100000.0,446980000.0,53656000.0,333184000.0,896271000.0,1118637000.0,4094000.0,15621000.0,833820000.0,284817000.0,12627000.0,297444000.0,2014908000.0,291500000.0,291385000.0,292698000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2009.0,Q4,2009-08-02,2009-10-31,,,0.36,0.36,0.2,0.36,21617000.0,105609000.0,105609000.0,,105609000.0,,249746000.0,571600000.0,-160000.0,110126000.0,,83356000.0,249746000.0,321854000.0,2726000.0,1740000.0,193482000.0,128372000.0,-1146000.0,127226000.0,571600000.0,291500000.0,291385000.0,292698000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2009.0,Q3,2009-05-03,2009-08-01,2010-08-17 16:16:16+00:00,,0.22,0.22,0.2,0.22,14567000.0,65460000.0,65460000.0,,65460000.0,,225762000.0,491991000.0,-108000.0,107578000.0,,79706000.0,225762000.0,266229000.0,1368000.0,2558000.0,187284000.0,78945000.0,1082000.0,80027000.0,491991000.0,297500000.0,291387000.0,293084000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2009.0,Q3YTD,2008-11-02,2009-08-01,,,0.49,0.49,0.6,0.49,28419000.0,142163000.0,141799000.0,364000.0,142163000.0,,646525000.0,1443308000.0,1260000.0,336854000.0,53656000.0,249828000.0,646525000.0,796783000.0,1368000.0,13881000.0,640338000.0,156445000.0,13773000.0,170218000.0,1443308000.0,297500000.0,291387000.0,293084000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2009.0,Q2YTD,2008-11-02,2009-05-02,,,0.27,0.27,0.4,0.27,13852000.0,76703000.0,76339000.0,364000.0,76703000.0,,420763000.0,951317000.0,1368000.0,229276000.0,53656000.0,170122000.0,420763000.0,530554000.0,,11323000.0,453054000.0,77500000.0,12691000.0,90191000.0,951317000.0,287500000.0,291227000.0,292446000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2009.0,Q2,2009-02-01,2009-05-02,2010-05-18 16:34:16+00:00,,0.18,0.18,0.2,0.18,10479000.0,51754000.0,51754000.0,,51754000.0,,213196000.0,474748000.0,797000.0,109448000.0,11919000.0,82276000.0,213196000.0,261552000.0,,3527000.0,203643000.0,57909000.0,4324000.0,62233000.0,474748000.0,287500000.0,291227000.0,292446000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2009.0,Q1,2008-11-02,2009-01-31,2010-02-17 16:55:53+00:00,,0.09,0.09,0.2,0.09,3373000.0,24949000.0,24585000.0,364000.0,24949000.0,,207567000.0,476569000.0,571000.0,119828000.0,41737000.0,87846000.0,207567000.0,269002000.0,0.0,7796000.0,249411000.0,19591000.0,8367000.0,27958000.0,476569000.0,277200000.0,291187000.0,291248000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2010.0,Q4,2010-08-01,2010-10-30,,,0.75,0.75,0.22,0.73,63063000.0,224994000.0,224994000.0,,224994000.0,,253761000.0,769990000.0,2600000.0,128140000.0,,102349000.0,253761000.0,516229000.0,2709000.0,2426000.0,230489000.0,285740000.0,2317000.0,288057000.0,769990000.0,297900000.0,297387000.0,305861000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2010.0,FY,2009-11-01,2010-10-30,2012-11-27 16:14:09+00:00,,2.39,2.39,0.84,2.33,190440000.0,712084000.0,711225000.0,859000.0,712084000.0,,962081000.0,2761503000.0,2183000.0,492305000.0,16483000.0,390560000.0,962081000.0,1799422000.0,10429000.0,9837000.0,899348000.0,900074000.0,1591000.0,901665000.0,2761503000.0,297900000.0,297387000.0,305861000.0
Analog Devices Inc,ADI,GYVOE5EZ4GDAVTU4CQ61,6281,2010.0,Q3,2010-05-02,2010-07-31,2011-08-16 16:33:01+00:00,,0.67,0.67,0.22,0.65,51830000.0,199491000.0,199491000.0,,199491000.0,,240088000.0,720290000.0,-416000.0,126987000.0,,102070000.0,240088000.0,480202000.0,2614000.0,3206000.0,229057000.0,251145000.0,176000.0,251321000.0,720290000.0,297700000.0,298027000.0,306168000.0
