company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Arista Networks Inc,ANET,,1596532,2012.0,FY,2012-01-01,2012-12-31,2015-05-14 19:03:04+00:00,0.39,0.39,0.39,11626000.0,28603000.0,21349000.0,21349000.0,9622000.0,61252000.0,193408000.0,11727000.0,135000.0,,,55155000.0,8501000.0,61252000.0,132156000.0,7057000.0,92259000.0,39897000.0,-6922000.0,32975000.0,193408000.0,24700000.0,24711000.0,24901000.0
Arista Networks Inc,ANET,,1596532,2013.0,FY,2013-01-01,2013-12-31,2016-02-25 17:08:19+00:00,0.76,0.76,0.72,15815000.0,55115000.0,42460000.0,42460000.0,20777000.0,122686000.0,361224000.0,21683000.0,-754000.0,,,98587000.0,18688000.0,122686000.0,238538000.0,7119000.0,172390000.0,66148000.0,-7873000.0,58275000.0,361224000.0,27300000.0,27320000.0,30051000.0
Arista Networks Inc,ANET,,1596532,2013.0,Q3,2013-07-01,2013-09-30,2014-11-06 19:16:18+00:00,0.21,0.21,0.2,4960000.0,14523000.0,11856000.0,11856000.0,5838000.0,36589000.0,101625000.0,6018000.0,-23000.0,,,26635000.0,5242000.0,36589000.0,65036000.0,1797000.0,46400000.0,18636000.0,-1820000.0,16816000.0,101625000.0,27800000.0,27557000.0,30412000.0
Arista Networks Inc,ANET,,1596532,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 20:40:07+00:00,0.18,0.18,0.18,4240000.0,13045000.0,10251000.0,10251000.0,4948000.0,29584000.0,83485000.0,5303000.0,-1000.0,,,21086000.0,3506000.0,29584000.0,53901000.0,1772000.0,37637000.0,16264000.0,-1773000.0,14491000.0,83485000.0,27500000.0,26926000.0,29252000.0
Arista Networks Inc,ANET,,1596532,2014.0,FY,2014-01-01,2014-12-31,2017-02-17 17:17:51+00:00,1.42,1.42,1.29,34658000.0,85338000.0,86850000.0,86850000.0,68889000.0,192015000.0,584106000.0,17961000.0,2275000.0,,,148909000.0,32331000.0,192015000.0,392091000.0,6280000.0,266578000.0,125513000.0,-4005000.0,121508000.0,584106000.0,48500000.0,48427000.0,54590000.0
Arista Networks Inc,ANET,,1596532,2014.0,Q4,2014-10-01,2014-12-31,,0.49,0.49,0.45,7046000.0,25016000.0,31037000.0,31037000.0,27130000.0,57049000.0,173489000.0,3907000.0,-150000.0,,,44344000.0,8078000.0,57049000.0,116440000.0,769000.0,77438000.0,39002000.0,-919000.0,38083000.0,173489000.0,48500000.0,48427000.0,54590000.0
Arista Networks Inc,ANET,,1596532,2014.0,Q3YTD,2014-01-01,2014-09-30,,0.93,0.93,0.84,27612000.0,60322000.0,55813000.0,55813000.0,41759000.0,134966000.0,410617000.0,14054000.0,2425000.0,,,104565000.0,24253000.0,134966000.0,275651000.0,5511000.0,189140000.0,86511000.0,-3086000.0,83425000.0,410617000.0,62300000.0,62402000.0,69737000.0
Arista Networks Inc,ANET,,1596532,2014.0,Q3,2014-07-01,2014-09-30,2015-11-05 18:24:38+00:00,0.34,0.34,0.3,10420000.0,20956000.0,21866000.0,21866000.0,21185000.0,54506000.0,155463000.0,681000.0,-824000.0,,,36231000.0,9896000.0,54506000.0,100957000.0,764000.0,67083000.0,33874000.0,-1588000.0,32286000.0,155463000.0,62300000.0,62402000.0,69737000.0
Arista Networks Inc,ANET,,1596532,2014.0,Q2YTD,2014-01-01,2014-06-30,,0.59,0.59,0.54,17192000.0,39366000.0,33947000.0,33947000.0,20574000.0,80460000.0,255154000.0,13373000.0,3249000.0,,,68334000.0,14357000.0,80460000.0,174694000.0,4747000.0,122057000.0,52637000.0,-1498000.0,51139000.0,255154000.0,38400000.0,38491000.0,44057000.0
Arista Networks Inc,ANET,,1596532,2014.0,Q2,2014-04-01,2014-06-30,2015-08-06 18:37:02+00:00,0.37,0.37,0.34,10074000.0,20711000.0,21618000.0,21618000.0,14212000.0,44567000.0,137947000.0,7406000.0,3241000.0,,,34888000.0,7126000.0,44567000.0,93380000.0,2204000.0,62725000.0,30655000.0,1037000.0,31692000.0,137947000.0,38400000.0,38491000.0,44057000.0
